Altersgruppe, Week, difference, trend, value
>=80, 2022-W44, -85, -0.4497, 673
>=80, 2022-W45, 59, 0.1681, 732
>=80, 2022-W46, -1, -0.0053, 731
>=80, 2022-W47, -111, -0.5873, 620
>=80, 2022-W48, -152, -0.8042, 468
>=80, 2022-W49, 89, 0.2536, 557
>=80, 2022-W50, 79, 0.2251, 636
>=80, 2022-W51, -42, -0.2222, 594
>=80, 2022-W52, -110, -0.582, 484
>=80, 2023-W01, 351, 1, 835
>=80, 2023-W02, -88, -0.4656, 747
>=80, 2023-W03, -103, -0.545, 644
>=80, 2023-W04, -152, -0.8042, 492
>=80, 2023-W05, -71, -0.3757, 421
>=80, 2023-W06, 8, 0.0228, 429
>=80, 2023-W07, -58, -0.3069, 371
>=80, 2023-W08, -10, -0.0529, 361
>=80, 2023-W09, 36, 0.1026, 397
>=80, 2023-W10, 70, 0.1994, 467
>=80, 2023-W11, -63, -0.3333, 404
>=80, 2023-W12, 39, 0.1111, 443
>=80, 2023-W13, 18, 0.0513, 461
>=80, 2023-W14, -189, -1, 272
>=80, 2023-W15, 123, 0.3504, 395
>=80, 2023-W16, -17, -0.0899, 378
>=80, 2023-W17, -32, -0.1693, 346
>=80, 2023-W18, -120, -0.6349, 226
>=80, 2023-W19, 45, 0.1282, 271
>=80, 2023-W20, -143, -0.7566, 128
>=80, 2023-W21, 36, 0.1026, 164
