Altersgruppe, Week, difference, trend, value
>=80, 2022-35, -1.2, -0.2, 13.2
>=80, 2022-36, 0.1, 0.0104, 13.3
>=80, 2022-37, 0.8, 0.0833, 14.1
>=80, 2022-38, 3.1, 0.3229, 17.2
>=80, 2022-39, 9.6, 1, 26.8
>=80, 2022-40, 7.5, 0.7813, 34.3
>=80, 2022-41, 2.8, 0.2917, 37.1
>=80, 2022-42, -1.3, -0.2167, 35.8
>=80, 2022-43, -5.3, -0.8833, 30.5
>=80, 2022-44, -6, -1, 24.5
>=80, 2022-45, -4.7, -0.7833, 19.8
