Altersgruppe, Week, difference, trend, value
>=80, 2020-12, , , 10.9
>=80, 2020-13, 4.2, 0.4468, 15.1
>=80, 2020-14, -0.8, -0.2, 14.3
>=80, 2020-15, -3.8, -0.95, 10.5
>=80, 2020-16, -2.2, -0.55, 8.3
>=80, 2020-17, -2.3, -0.575, 6
>=80, 2020-18, -1.5, -0.375, 4.5
>=80, 2020-19, -1.8, -0.45, 2.7
>=80, 2020-20, -0.8, -0.2, 1.9
>=80, 2020-21, -0.5, -0.125, 1.4
>=80, 2020-22, -0.6, -0.15, 0.8
>=80, 2020-23, -0.3, -0.075, 0.5
>=80, 2020-24, , , 0.5
>=80, 2020-25, -0.2, -0.05, 0.3
>=80, 2020-26, , , 0.3
>=80, 2020-27, -0.1, -0.025, 0.2
>=80, 2020-28, , , 0.2
>=80, 2020-29, 0.1, 0.0106, 0.3
>=80, 2020-30, , , 0.3
>=80, 2020-31, , , 0.3
>=80, 2020-32, , , 0.3
>=80, 2020-33, , , 0.3
>=80, 2020-34, -0.1, -0.025, 0.2
>=80, 2020-35, , , 0.2
>=80, 2020-36, 0.1, 0.0106, 0.3
>=80, 2020-37, 0.1, 0.0106, 0.4
>=80, 2020-38, 0.2, 0.0213, 0.6
>=80, 2020-39, 0.2, 0.0213, 0.8
>=80, 2020-40, 0.1, 0.0106, 0.9
>=80, 2020-41, 0.6, 0.0638, 1.5
>=80, 2020-42, 1.1, 0.117, 2.6
>=80, 2020-43, 2.3, 0.2447, 4.9
>=80, 2020-44, 1.7, 0.1809, 6.6
>=80, 2020-45, 1.9, 0.2021, 8.5
>=80, 2020-46, 1.4, 0.1489, 9.9
>=80, 2020-47, 2, 0.2128, 11.9
>=80, 2020-48, 1.9, 0.2021, 13.8
>=80, 2020-49, 1.8, 0.1915, 15.6
>=80, 2020-50, 2.4, 0.2553, 18
>=80, 2020-51, 1.4, 0.1489, 19.4
>=80, 2020-52, 2.7, 0.2872, 22.1
>=80, 2020-53, -0.3, -0.075, 21.8
>=80, 2021-01, -3, -0.75, 18.8
>=80, 2021-02, -2.1, -0.525, 16.7
