Altersgruppe, Meldedatum, difference, trend, value
>=80, 2023-04-24, -4.6959, -0.167, 17.64
>=80, 2023-04-23, -5.0396, -0.1792, 18.26
>=80, 2023-04-22, -5.6122, -0.1995, 18.67
>=80, 2023-04-21, -1.5871, -0.0564, 21.37
>=80, 2023-04-20, 1.7998, 0.0397, 24.22
>=80, 2023-04-19, 7.6248, 0.1683, 26.77
>=80, 2023-04-18, 17.8675, 0.3944, 35.28
>=80, 2023-04-17, 3.1088, 0.0686, 29.27
>=80, 2023-04-16, 3.1088, 0.0686, 29.71
>=80, 2023-04-15, 3.1252, 0.069, 30.38
>=80, 2023-04-14, -4.9577, -0.1763, 27.23
>=80, 2023-04-13, -7.1503, -0.2542, 26.24
>=80, 2023-04-12, -12.3534, -0.4392, 25.64
>=80, 2023-04-11, -16.3131, -0.58, 19.11
>=80, 2023-04-10, -12.0262, -0.4276, 28.73
>=80, 2023-04-09, -12.468, -0.4433, 28.85
>=80, 2023-04-08, -12.5498, -0.4462, 28.98
>=80, 2023-04-07, -8.8192, -0.3136, 33.54
>=80, 2023-04-06, -9.3919, -0.3339, 34.52
>=80, 2023-04-05, -8.5574, -0.3042, 36.8
>=80, 2023-04-04, -8.4429, -0.3002, 38.25
>=80, 2023-04-03, -8.1647, -0.2903, 42.15
>=80, 2023-04-02, -8.3938, -0.2984, 42.59
>=80, 2023-04-01, -9.2446, -0.3287, 42.53
>=80, 2023-03-31, -8.4429, -0.3002, 44.51
>=80, 2023-03-30, -8.7374, -0.3106, 47.02
>=80, 2023-03-29, -8.1975, -0.2914, 48.84
>=80, 2023-03-28, -8.6392, -0.3072, 52.33
>=80, 2023-03-27, -7.543, -0.2682, 56.02
>=80, 2023-03-26, -7.8375, -0.2787, 56.24
>=80, 2023-03-25, -7.6902, -0.2734, 57.4
>=80, 2023-03-24, -6.4303, -0.2286, 59.31
>=80, 2023-03-23, -2.3398, -0.0832, 61.69
>=80, 2023-03-22, -1.1944, -0.0425, 63.98
>=80, 2023-03-21, 2.3562, 0.052, 65.76
>=80, 2023-03-20, 5.8249, 0.1286, 67.1
>=80, 2023-03-19, 6.2013, 0.1369, 67.4
>=80, 2023-03-18, 6.3158, 0.1394, 67.08
>=80, 2023-03-17, 7.3793, 0.1629, 67.18
>=80, 2023-03-16, 7.4448, 0.1643, 67.25
>=80, 2023-03-15, 7.1503, 0.1578, 64.97
>=80, 2023-03-14, 3.796, 0.0838, 63.86
>=80, 2023-03-13, 1.9307, 0.0426, 60.92
>=80, 2023-03-12, 1.2435, 0.0274, 60.49
>=80, 2023-03-11, 0.8836, 0.0195, 60.25
>=80, 2023-03-10, -1.5871, -0.0564, 58.9
>=80, 2023-03-09, -4.565, -0.1623, 56.73
>=80, 2023-03-08, -7.0521, -0.2507, 57.43
>=80, 2023-03-07, -7.1994, -0.256, 57.22
>=80, 2023-03-06, -4.6141, -0.164, 58.51
>=80, 2023-03-05, -4.8105, -0.171, 59.18
>=80, 2023-03-04, -4.7123, -0.1675, 59.77
>=80, 2023-03-03, -2.847, -0.1012, 60.93
>=80, 2023-03-02, -1.1454, -0.0407, 62.65
>=80, 2023-03-01, 5.3668, 0.1185, 65.51
>=80, 2023-02-28, 8.2956, 0.1831, 68.13
>=80, 2023-02-27, 3.616, 0.0798, 65.56
>=80, 2023-02-26, 4.2214, 0.0932, 66.04
>=80, 2023-02-25, 4.3851, 0.0968, 65.97
>=80, 2023-02-24, 5.6122, 0.1239, 66.43
>=80, 2023-02-23, 6.4467, 0.1423, 65.94
>=80, 2023-02-22, 4.0087, 0.0885, 64.7
>=80, 2023-02-21, 3.567, 0.0787, 61.62
>=80, 2023-02-20, 7.6902, 0.1697, 62.52
>=80, 2023-02-19, 8.2302, 0.1817, 61.88
>=80, 2023-02-18, 8.721, 0.1925, 61.52
>=80, 2023-02-17, 6.5612, 0.1448, 59.02
>=80, 2023-02-16, 6.5449, 0.1445, 57.35
>=80, 2023-02-15, 4.9414, 0.1091, 54.37
>=80, 2023-02-14, 4.8759, 0.1076, 52.06
>=80, 2023-02-13, 6.2013, 0.1369, 48.87
>=80, 2023-02-12, 6.1195, 0.1351, 48.12
>=80, 2023-02-11, 6.3322, 0.1398, 47.6
>=80, 2023-02-10, 6.8067, 0.1502, 47.37
>=80, 2023-02-09, 4.2705, 0.0943, 45.16
>=80, 2023-02-08, 5.0559, 0.1116, 44.39
>=80, 2023-02-07, 4.8759, 0.1076, 42.77
>=80, 2023-02-06, 3.387, 0.0748, 39.63
>=80, 2023-02-05, 3.6979, 0.0816, 39.61
>=80, 2023-02-04, 3.8451, 0.0849, 39.33
>=80, 2023-02-03, 4.1396, 0.0914, 37.89
>=80, 2023-02-02, 4.1396, 0.0914, 37.99
>=80, 2023-02-01, 2.847, 0.0628, 35.74
>=80, 2023-01-31, 1.0963, 0.0242, 34.93
>=80, 2023-01-30, -1.3253, -0.0471, 34.05
>=80, 2023-01-29, -1.129, -0.0401, 33.79
>=80, 2023-01-28, -0.9817, -0.0349, 33.66
>=80, 2023-01-27, -2.0289, -0.0721, 32.32
>=80, 2023-01-26, -2.3071, -0.082, 31.84
>=80, 2023-01-25, -4.745, -0.1687, 31.91
>=80, 2023-01-24, -5.1868, -0.1844, 31.63
>=80, 2023-01-23, -7.8866, -0.2804, 33.79
>=80, 2023-01-22, -8.4102, -0.299, 33.56
>=80, 2023-01-21, -9.3428, -0.3322, 33.4
>=80, 2023-01-20, -9.2937, -0.3304, 34.9
>=80, 2023-01-19, -11.9935, -0.4264, 35.54
>=80, 2023-01-18, -11.6008, -0.4124, 37.67
>=80, 2023-01-17, -12.9916, -0.4619, 40.55
>=80, 2023-01-16, -11.1917, -0.3979, 45.27
>=80, 2023-01-15, -11.9608, -0.4252, 45.86
>=80, 2023-01-14, -12.3371, -0.4386, 46.88
>=80, 2023-01-13, -15.6259, -0.5556, 47.45
>=80, 2023-01-12, -14.546, -0.5172, 52.11
>=80, 2023-01-11, -14.5296, -0.5166, 56.51
>=80, 2023-01-10, -17.6384, -0.6271, 61.64
>=80, 2023-01-09, 0.4254, 0.0094, 66.64
>=80, 2023-01-08, 0.7199, 0.0159, 67.74
>=80, 2023-01-07, 0.769, 0.017, 68.51
>=80, 2023-01-06, 3.5997, 0.0795, 73.61
>=80, 2023-01-05, 5.6122, 0.1239, 78.16
>=80, 2023-01-04, 10.2427, 0.2261, 83.46
>=80, 2023-01-03, 16.5913, 0.3662, 94.03
>=80, 2023-01-02, -19.6019, -0.6969, 76.35
>=80, 2023-01-01, -20.8127, -0.74, 76.25
>=80, 2022-12-31, -22.0235, -0.783, 76.43
>=80, 2022-12-30, -20.6163, -0.733, 79.85
>=80, 2022-12-29, -17.982, -0.6393, 81.27
>=80, 2022-12-28, -16.6731, -0.5928, 80.8
>=80, 2022-12-27, -15.2168, -0.541, 77
>=80, 2022-12-26, 5.3668, 0.1185, 99.99
>=80, 2022-12-25, 5.9067, 0.1304, 101.12
>=80, 2022-12-24, 5.9231, 0.1307, 102.2
>=80, 2022-12-23, 6.3813, 0.1408, 101.02
>=80, 2022-12-22, 6.594, 0.1455, 98.86
>=80, 2022-12-21, 5.465, 0.1206, 97.06
>=80, 2022-12-20, 6.9703, 0.1538, 94.79
>=80, 2022-12-19, 9.0646, 0.2001, 92.27
>=80, 2022-12-18, 9.0319, 0.1993, 91.68
>=80, 2022-12-17, 10.3573, 0.2286, 91.42
>=80, 2022-12-16, 10.7827, 0.238, 90.2
>=80, 2022-12-15, 10.1118, 0.2232, 88.96
>=80, 2022-12-14, 8.9501, 0.1975, 87.29
>=80, 2022-12-13, 8.2465, 0.182, 82.94
>=80, 2022-12-12, 7.1503, 0.1578, 79.13
>=80, 2022-12-11, 7.8866, 0.1741, 79.21
>=80, 2022-12-10, 7.8375, 0.173, 77.82
>=80, 2022-12-09, 6.3976, 0.1412, 74.86
>=80, 2022-12-08, 5.7431, 0.1268, 72.5
>=80, 2022-12-07, 5.6286, 0.1242, 70.5
>=80, 2022-12-06, 5.7758, 0.1275, 68.48
>=80, 2022-12-05, 6.6103, 0.1459, 66.53
>=80, 2022-12-04, 6.9376, 0.1531, 65.47
>=80, 2022-12-03, 7.4121, 0.1636, 65.47
>=80, 2022-12-02, 7.8538, 0.1733, 64.89
>=80, 2022-12-01, 7.363, 0.1625, 63.6
>=80, 2022-11-30, 7.3793, 0.1629, 60.93
>=80, 2022-11-29, 4.2542, 0.0939, 57.95
>=80, 2022-11-28, 2.9288, 0.0646, 54.58
>=80, 2022-11-27, 2.6016, 0.0574, 54.18
>=80, 2022-11-26, 2.5689, 0.0567, 53.7
>=80, 2022-11-25, 1.0308, 0.0228, 52.08
>=80, 2022-11-24, 1.6526, 0.0365, 51.05
>=80, 2022-11-23, -1.9798, -0.0704, 50.18
>=80, 2022-11-22, -2.3071, -0.082, 50.12
>=80, 2022-11-21, -3.0925, -0.1099, 49.14
>=80, 2022-11-20, -3.027, -0.1076, 49.64
>=80, 2022-11-19, -3.4524, -0.1227, 49.56
>=80, 2022-11-18, -2.8961, -0.103, 50
>=80, 2022-11-17, -6.9867, -0.2484, 49.17
>=80, 2022-11-16, -9.4246, -0.3351, 50.79
>=80, 2022-11-15, -8.6883, -0.3089, 51.49
>=80, 2022-11-14, -4.6632, -0.1658, 53.03
>=80, 2022-11-13, -5.4159, -0.1926, 52.85
>=80, 2022-11-12, -5.6777, -0.2019, 53.55
>=80, 2022-11-11, -4.4832, -0.1594, 54.86
>=80, 2022-11-10, 0.6054, 0.0134, 57.99
>=80, 2022-11-09, 9.7028, 0.2142, 62.9
>=80, 2022-11-08, 1.2926, 0.0285, 63.44
>=80, 2022-11-07, -13.2861, -0.4724, 60.82
>=80, 2022-11-06, -14.0224, -0.4985, 61.87
>=80, 2022-11-05, -14.6605, -0.5212, 62
>=80, 2022-11-04, -17.9657, -0.6387, 63.29
>=80, 2022-11-03, -21.6472, -0.7696, 64.99
>=80, 2022-11-02, -28.1266, -1, 64.27
>=80, 2022-11-01, -24.3633, -0.8662, 69.98
>=80, 2022-10-31, -17.9493, -0.6382, 83.23
>=80, 2022-10-30, -17.9493, -0.6382, 84.28
>=80, 2022-10-29, -18.9474, -0.6736, 85.28
>=80, 2022-10-28, -18.2275, -0.6481, 90.19
>=80, 2022-10-27, -16.5094, -0.587, 94.59
>=80, 2022-10-26, -13.057, -0.4642, 100.14
>=80, 2022-10-25, -5.285, -0.1879, 109.63
>=80, 2022-10-24, -1.538, -0.0547, 119.23
>=80, 2022-10-23, -1.8817, -0.0669, 119.48
>=80, 2022-10-22, -1.6362, -0.0582, 120.95
>=80, 2022-10-21, 1.4562, 0.0321, 124.83
>=80, 2022-10-20, 4.7778, 0.1055, 128.61
>=80, 2022-10-19, 5.6286, 0.1242, 132.19
>=80, 2022-10-18, -2.667, -0.0948, 130.82
>=80, 2022-10-17, 14.9387, 0.3297, 128.97
>=80, 2022-10-16, 15.6913, 0.3463, 129.34
>=80, 2022-10-15, 16.5258, 0.3648, 128.95
>=80, 2022-10-14, 20.1582, 0.4449, 126.92
>=80, 2022-10-13, 26.6867, 0.589, 127.17
>=80, 2022-10-12, 34.7042, 0.766, 128.41
>=80, 2022-10-11, 45.3069, 1, 137.38
>=80, 2022-10-10, 14.9714, 0.3304, 109.43
>=80, 2022-10-09, 15.675, 0.346, 108.38
>=80, 2022-10-08, 16.0349, 0.3539, 107.27
>=80, 2022-10-07, 13.8424, 0.3055, 102.82
>=80, 2022-10-06, 9.6537, 0.2131, 94.67
>=80, 2022-10-05, 0.9326, 0.0206, 83.89
>=80, 2022-10-04, -0.4418, -0.0157, 64.19
>=80, 2022-10-03, 17.5075, 0.3864, 76.33
>=80, 2022-10-02, 18.4729, 0.4077, 75.38
>=80, 2022-10-01, 19.651, 0.4337, 74.71
>=80, 2022-09-30, 19.111, 0.4218, 69.65
