Altersgruppe, Meldedatum, value
15-34, 2023-01-10, 1.59
15-34, 2023-01-09, 2.01
15-34, 2023-01-08, 2.05
15-34, 2023-01-07, 2.11
15-34, 2023-01-06, 2.28
15-34, 2023-01-05, 2.45
15-34, 2023-01-04, 2.6
15-34, 2023-01-03, 2.93
15-34, 2023-01-02, 2.37
15-34, 2023-01-01, 2.38
15-34, 2022-12-31, 2.4
15-34, 2022-12-30, 2.47
15-34, 2022-12-29, 2.54
15-34, 2022-12-28, 2.65
15-34, 2022-12-27, 2.65
15-34, 2022-12-26, 3.38
15-34, 2022-12-25, 3.39
15-34, 2022-12-24, 3.41
15-34, 2022-12-23, 3.4
15-34, 2022-12-22, 3.35
15-34, 2022-12-21, 3.23
15-34, 2022-12-20, 3.11
15-34, 2022-12-19, 3.08
15-34, 2022-12-18, 3.09
15-34, 2022-12-17, 3.03
15-34, 2022-12-16, 3.04
15-34, 2022-12-15, 3.04
15-34, 2022-12-14, 2.92
15-34, 2022-12-13, 2.77
15-34, 2022-12-12, 2.65
15-34, 2022-12-11, 2.64
15-34, 2022-12-10, 2.66
15-34, 2022-12-09, 2.63
15-34, 2022-12-08, 2.57
15-34, 2022-12-07, 2.64
15-34, 2022-12-06, 2.7
15-34, 2022-12-05, 2.71
15-34, 2022-12-04, 2.76
15-34, 2022-12-03, 2.75
15-34, 2022-12-02, 2.64
15-34, 2022-12-01, 2.52
15-34, 2022-11-30, 2.43
15-34, 2022-11-29, 2.29
15-34, 2022-11-28, 2.21
15-34, 2022-11-27, 2.14
15-34, 2022-11-26, 2.13
15-34, 2022-11-25, 2.15
15-34, 2022-11-24, 2.21
15-34, 2022-11-23, 2.21
15-34, 2022-11-22, 2.25
15-34, 2022-11-21, 2.15
15-34, 2022-11-20, 2.14
15-34, 2022-11-19, 2.1
15-34, 2022-11-18, 2.05
15-34, 2022-11-17, 1.96
15-34, 2022-11-16, 1.95
15-34, 2022-11-15, 1.86
15-34, 2022-11-14, 1.97
15-34, 2022-11-13, 1.97
15-34, 2022-11-12, 2.06
15-34, 2022-11-11, 2.23
15-34, 2022-11-10, 2.45
