Altersgruppe, Week, difference, trend, value
>=80, 2020-W11, , , 3
>=80, 2020-W12, 38, 0.1086, 41
>=80, 2020-W13, 167, 0.4771, 208
>=80, 2020-W14, 365, 1.0429, 573
>=80, 2020-W15, 267, 0.7629, 840
>=80, 2020-W16, 198, 0.5657, 1038
>=80, 2020-W17, -154, -0.7163, 884
>=80, 2020-W18, -233, -1.0837, 651
>=80, 2020-W19, -184, -0.8558, 467
>=80, 2020-W20, -159, -0.7395, 308
>=80, 2020-W21, -108, -0.5023, 200
>=80, 2020-W22, -46, -0.214, 154
>=80, 2020-W23, -50, -0.2326, 104
>=80, 2020-W24, -48, -0.2233, 56
>=80, 2020-W25, 3, 0.0086, 59
>=80, 2020-W26, -16, -0.0744, 43
>=80, 2020-W27, -14, -0.0651, 29
>=80, 2020-W28, -8, -0.0372, 21
>=80, 2020-W29, -8, -0.0372, 13
>=80, 2020-W30, 8, 0.0229, 21
>=80, 2020-W31, -8, -0.0372, 13
>=80, 2020-W32, 17, 0.0486, 30
>=80, 2020-W33, -10, -0.0465, 20
>=80, 2020-W34, 7, 0.02, 27
>=80, 2020-W35, -15, -0.0698, 12
>=80, 2020-W36, -2, -0.0093, 10
>=80, 2020-W37, -2, -0.0093, 8
>=80, 2020-W38, 8, 0.0229, 16
>=80, 2020-W39, 25, 0.0714, 41
>=80, 2020-W40, 8, 0.0229, 49
>=80, 2020-W41, , , 49
>=80, 2020-W42, 59, 0.1686, 108
>=80, 2020-W43, 70, 0.2, 178
>=80, 2020-W44, 134, 0.3829, 312
>=80, 2020-W45, 239, 0.6829, 551
>=80, 2020-W46, 297, 0.8486, 848
>=80, 2020-W47, 210, 0.6, 1058
>=80, 2020-W48, 384, 1.0971, 1442
>=80, 2020-W49, 434, 1.24, 1876
>=80, 2020-W50, 252, 0.72, 2128
>=80, 2020-W51, 917, 2.62, 3045
>=80, 2020-W52, -370, -1.7209, 2675
>=80, 2020-W53, 553, 1.58, 3228
>=80, 2021-W01, 1148, 3.28, 4376
>=80, 2021-W02, -21, -0.0977, 4355
>=80, 2021-W03, -500, -2.3256, 3855
>=80, 2021-W04, -246, -1.1442, 3609
>=80, 2021-W05, -441, -2.0512, 3168
>=80, 2021-W06, -781, -3.6326, 2387
>=80, 2021-W07, -382, -1.7767, 2005
>=80, 2021-W08, -459, -2.1349, 1546
>=80, 2021-W09, -367, -1.707, 1179
>=80, 2021-W10, -223, -1.0372, 956
>=80, 2021-W11, -188, -0.8744, 768
>=80, 2021-W12, -79, -0.3674, 689
>=80, 2021-W13, -41, -0.1907, 648
>=80, 2021-W14, 80, 0.2286, 728
>=80, 2021-W15, 71, 0.2029, 799
>=80, 2021-W16, -3, -0.014, 796
>=80, 2021-W17, -52, -0.2419, 744
>=80, 2021-W18, 21, 0.06, 765
>=80, 2021-W19, -148, -0.6884, 617
>=80, 2021-W20, -76, -0.3535, 541
>=80, 2021-W21, -82, -0.3814, 459
>=80, 2021-W22, -88, -0.4093, 371
>=80, 2021-W23, -99, -0.4605, 272
>=80, 2021-W24, -6, -0.0279, 266
>=80, 2021-W25, -109, -0.507, 157
>=80, 2021-W26, -40, -0.186, 117
>=80, 2021-W27, -32, -0.1488, 85
>=80, 2021-W28, -37, -0.1721, 48
>=80, 2021-W29, 37, 0.1057, 85
>=80, 2021-W30, -33, -0.1535, 52
>=80, 2021-W31, 11, 0.0314, 63
>=80, 2021-W32, -22, -0.1023, 41
>=80, 2021-W33, 13, 0.0371, 54
>=80, 2021-W34, 20, 0.0571, 74
>=80, 2021-W35, 54, 0.1543, 128
>=80, 2021-W36, 15, 0.0429, 143
>=80, 2021-W37, 63, 0.18, 206
>=80, 2021-W38, -13, -0.0605, 193
>=80, 2021-W39, 5, 0.0143, 198
>=80, 2021-W40, 21, 0.06, 219
>=80, 2021-W41, 11, 0.0314, 230
>=80, 2021-W42, 74, 0.2114, 304
>=80, 2021-W43, 85, 0.2429, 389
>=80, 2021-W44, 100, 0.2857, 489
