Altersgruppe, Week, difference, trend, value
15-34, 2020-W11, , , 
15-34, 2020-W12, , , 
15-34, 2020-W13, 1, 0.25, 1
15-34, 2020-W14, , , 1
15-34, 2020-W15, , , 1
15-34, 2020-W16, 1, 0.25, 2
15-34, 2020-W17, , , 2
15-34, 2020-W18, 2, 0.5, 4
15-34, 2020-W19, -1, -0.25, 3
15-34, 2020-W20, -2, -0.5, 1
15-34, 2020-W21, -1, -0.25, 
15-34, 2020-W22, 1, 0.25, 1
15-34, 2020-W23, -1, -0.25, 
15-34, 2020-W24, 1, 0.25, 1
15-34, 2020-W25, -1, -0.25, 
15-34, 2020-W26, , , 
15-34, 2020-W27, , , 
15-34, 2020-W28, , , 
15-34, 2020-W29, , , 
15-34, 2020-W30, , , 
15-34, 2020-W31, , , 
15-34, 2020-W32, 1, 0.25, 1
15-34, 2020-W33, -1, -0.25, 
15-34, 2020-W34, , , 
15-34, 2020-W35, , , 
15-34, 2020-W36, , , 
15-34, 2020-W37, , , 
15-34, 2020-W38, 1, 0.25, 1
15-34, 2020-W39, -1, -0.25, 
15-34, 2020-W40, , , 
15-34, 2020-W41, 1, 0.25, 1
15-34, 2020-W42, , , 1
15-34, 2020-W43, , , 1
15-34, 2020-W44, -1, -0.25, 
15-34, 2020-W45, 1, 0.25, 1
15-34, 2020-W46, , , 1
15-34, 2020-W47, 5, 1.25, 6
15-34, 2020-W48, -5, -1.25, 1
15-34, 2020-W49, 3, 0.75, 4
15-34, 2020-W50, , , 4
15-34, 2020-W51, , , 4
15-34, 2020-W52, 1, 0.25, 5
15-34, 2020-W53, -3, -0.75, 2
15-34, 2021-W01, 2, 0.5, 4
15-34, 2021-W02, 2, 0.5, 6
15-34, 2021-W03, -1, -0.25, 5
15-34, 2021-W04, -1, -0.25, 4
15-34, 2021-W05, 1, 0.25, 5
15-34, 2021-W06, -3, -0.75, 2
15-34, 2021-W07, 2, 0.5, 4
15-34, 2021-W08, , , 4
15-34, 2021-W09, -3, -0.75, 1
15-34, 2021-W10, 5, 1.25, 6
15-34, 2021-W11, 1, 0.25, 7
15-34, 2021-W12, -3, -0.75, 4
15-34, 2021-W13, 1, 0.25, 5
15-34, 2021-W14, 2, 0.5, 7
15-34, 2021-W15, -1, -0.25, 6
