Meldedatum, difference, group, quantity, trend, value
2022-06-08, , fallend, 24, , 
2022-06-15, , fallend, 28, , 
2022-06-22, 6.9, fallend, 29, 0.1667, 6.9
2022-06-29, , fallend, 29, , 6.9
2022-07-06, , fallend, 29, , 6.9
2022-07-13, 6.9, fallend, 29, 0.1667, 13.8
2022-07-20, 3.4, fallend, 29, 0.0821, 17.2
2022-07-27, 41.4, fallend, 29, 1, 58.6
2022-08-03, 20.7, fallend, 29, 0.5, 79.3
2022-08-10, 3.5, fallend, 29, 0.0845, 82.8
2022-08-17, -13.8, fallend, 29, -0.4437, 69
2022-08-24, -31.1, fallend, 29, -1, 37.9
2022-08-31, -13.8, fallend, 29, -0.4437, 24.1
2022-09-07, -17.2, fallend, 29, -0.5531, 6.9
2022-09-14, 6.9, fallend, 29, 0.1667, 13.8
2022-09-21, -10.6, fallend, 31, -0.3408, 3.2
2022-09-28, -3.2, fallend, 31, -0.1029, 
2022-10-05, 6.5, fallend, 31, 0.157, 6.5
2022-10-12, 0.3, fallend, 44, 0.0072, 6.8
2022-10-19, 15.4, fallend, 45, 0.372, 22.2
2022-10-26, 25.6, fallend, 46, 0.6184, 47.8
2022-11-02, -1, fallend, 47, -0.0322, 46.8
2022-11-09, 2.1, fallend, 47, 0.0507, 48.9
2022-11-16, -5.1, fallend, 48, -0.164, 43.8
2022-11-23, -17.3, fallend, 49, -0.5563, 26.5
2022-11-30, -10.2, fallend, 49, -0.328, 16.3
2022-12-07, -12.3, fallend, 50, -0.3955, 4
2022-12-14, -0.1, fallend, 51, -0.0032, 3.9
2022-12-21, 2, fallend, 51, 0.0483, 5.9
2022-12-28, 19.1, fallend, 52, 0.4614, 25
2023-01-04, 38.5, fallend, 52, 0.93, 63.5
2023-01-11, -9.7, fallend, 52, -0.3119, 53.8
2023-01-18, -19.2, fallend, 52, -0.6174, 34.6
2023-01-25, -23.1, fallend, 52, -0.7428, 11.5
2023-02-01, -9.6, fallend, 52, -0.3087, 1.9
2023-02-08, 3.9, fallend, 52, 0.0942, 5.8
2023-02-15, 3.8, fallend, 52, 0.0918, 9.6
2023-02-22, -1.9, fallend, 52, -0.0611, 7.7
2023-03-01, 5.8, fallend, 52, 0.1401, 13.5
2023-03-08, 7.7, fallend, 52, 0.186, 21.2
2023-03-15, 10.2, fallend, 51, 0.2464, 31.4
2023-03-22, 17.6, fallend, 49, 0.4251, 49
2023-03-29, 15.3, fallend, 42, 0.3696, 64.3
