Meldedatum, difference, group, quantity, trend, value
2022-06-08, , trend, 17, , 70.6
2022-06-15, -3.9, trend, 21, -0.097, 66.7
2022-06-22, -3.1, trend, 22, -0.0771, 63.6
2022-06-29, -18.1, trend, 22, -0.4502, 45.5
2022-07-06, -18.2, trend, 22, -0.4527, 27.3
2022-07-13, 13.6, trend, 22, 0.5965, 40.9
2022-07-20, -13.6, trend, 22, -0.3383, 27.3
2022-07-27, -27.3, trend, 22, -0.6791, 
2022-08-03, , trend, 22, , 
2022-08-10, , trend, 22, , 
2022-08-17, 4.5, trend, 22, 0.1974, 4.5
2022-08-24, 9.1, trend, 22, 0.3991, 13.6
2022-08-31, , trend, 22, , 13.6
2022-09-07, 18.2, trend, 22, 0.7982, 31.8
2022-09-14, 22.7, trend, 22, 0.9956, 54.5
2022-09-21, 22.8, trend, 22, 1, 77.3
2022-09-28, -4.6, trend, 22, -0.1144, 72.7
2022-10-05, -18.2, trend, 22, -0.4527, 54.5
2022-10-12, -40.2, trend, 21, -1, 14.3
2022-10-19, -14.3, trend, 20, -0.3557, 
2022-10-26, , trend, 20, , 
2022-11-02, 10.5, trend, 19, 0.4605, 10.5
2022-11-09, 9.5, trend, 15, 0.4167, 20
2022-11-16, -20, trend, 5, -0.4975, 
