Altersgruppe, Week, difference, trend, value
35-59, 2020-12, , , 8.5
35-59, 2020-13, 0.7, 0.0619, 9.2
35-59, 2020-14, -0.8, -0.0941, 8.4
35-59, 2020-15, -1.2, -0.1412, 7.2
35-59, 2020-16, -1.4, -0.1647, 5.8
35-59, 2020-17, -1.8, -0.2118, 4
35-59, 2020-18, -1, -0.1176, 3
35-59, 2020-19, -1.1, -0.1294, 1.9
35-59, 2020-20, -0.4, -0.0471, 1.5
35-59, 2020-21, -0.2, -0.0235, 1.3
35-59, 2020-22, -0.4, -0.0471, 0.9
35-59, 2020-23, -0.1, -0.0118, 0.8
35-59, 2020-24, -0.1, -0.0118, 0.7
35-59, 2020-25, 0.3, 0.0265, 1
35-59, 2020-26, -0.3, -0.0353, 0.7
35-59, 2020-27, -0.1, -0.0118, 0.6
35-59, 2020-28, , , 0.6
35-59, 2020-29, 0.1, 0.0088, 0.7
35-59, 2020-30, 0.1, 0.0088, 0.8
35-59, 2020-31, 0.1, 0.0088, 0.9
35-59, 2020-32, 0.1, 0.0088, 1
35-59, 2020-33, -0.1, -0.0118, 0.9
35-59, 2020-34, -0.1, -0.0118, 0.8
35-59, 2020-35, -0.1, -0.0118, 0.7
35-59, 2020-36, -0.1, -0.0118, 0.6
35-59, 2020-37, 0.2, 0.0177, 0.8
35-59, 2020-38, 0.3, 0.0265, 1.1
35-59, 2020-39, , , 1.1
35-59, 2020-40, 0.4, 0.0354, 1.5
35-59, 2020-41, 0.7, 0.0619, 2.2
35-59, 2020-42, 1.5, 0.1327, 3.7
35-59, 2020-43, 2.2, 0.1947, 5.9
35-59, 2020-44, 1.5, 0.1327, 7.4
35-59, 2020-45, 0.5, 0.0442, 7.9
35-59, 2020-46, 1, 0.0885, 8.9
35-59, 2020-47, 0.5, 0.0442, 9.4
35-59, 2020-48, -0.4, -0.0471, 9
35-59, 2020-49, 0.8, 0.0708, 9.8
35-59, 2020-50, 1.3, 0.115, 11.1
35-59, 2020-51, -0.8, -0.0941, 10.3
35-59, 2020-52, 1.8, 0.1593, 12.1
35-59, 2020-53, 3, 0.2655, 15.1
35-59, 2021-01, -2.8, -0.3294, 12.3
35-59, 2021-02, -3.1, -0.3647, 9.2
35-59, 2021-03, -0.5, -0.0588, 8.7
35-59, 2021-04, -0.9, -0.1059, 7.8
35-59, 2021-05, -1.3, -0.1529, 6.5
35-59, 2021-06, -0.7, -0.0824, 5.8
35-59, 2021-07, -0.2, -0.0235, 5.6
35-59, 2021-08, 0.4, 0.0354, 6
35-59, 2021-09, 0.2, 0.0177, 6.2
35-59, 2021-10, 1, 0.0885, 7.2
35-59, 2021-11, 1.4, 0.1239, 8.6
35-59, 2021-12, 1.4, 0.1239, 10
35-59, 2021-13, 1.9, 0.1681, 11.9
35-59, 2021-14, 1.5, 0.1327, 13.4
35-59, 2021-15, -0.7, -0.0824, 12.7
35-59, 2021-16, 0.7, 0.0619, 13.4
35-59, 2021-17, -0.9, -0.1059, 12.5
35-59, 2021-18, -1.3, -0.1529, 11.2
35-59, 2021-19, -1.2, -0.1412, 10
35-59, 2021-20, -3, -0.3529, 7
35-59, 2021-21, -1.9, -0.2235, 5.1
35-59, 2021-22, -1.4, -0.1647, 3.7
35-59, 2021-23, -1, -0.1176, 2.7
35-59, 2021-24, -1, -0.1176, 1.7
35-59, 2021-25, -0.5, -0.0588, 1.2
35-59, 2021-26, -0.3, -0.0353, 0.9
35-59, 2021-27, , , 0.9
35-59, 2021-28, 0.5, 0.0442, 1.4
35-59, 2021-29, 0.5, 0.0442, 1.9
35-59, 2021-30, 0.8, 0.0708, 2.7
35-59, 2021-31, 1, 0.0885, 3.7
35-59, 2021-32, 2, 0.177, 5.7
35-59, 2021-33, 2.7, 0.2389, 8.4
35-59, 2021-34, 1.6, 0.1416, 10
35-59, 2021-35, 0.5, 0.0442, 10.5
35-59, 2021-36, -0.8, -0.0941, 9.7
35-59, 2021-37, -1.1, -0.1294, 8.6
35-59, 2021-38, -1.2, -0.1412, 7.4
35-59, 2021-39, 0.2, 0.0177, 7.6
35-59, 2021-40, 0.1, 0.0088, 7.7
35-59, 2021-41, 1.2, 0.1062, 8.9
35-59, 2021-42, 2.9, 0.2566, 11.8
35-59, 2021-43, 2.7, 0.2389, 14.5
35-59, 2021-44, 3.8, 0.3363, 18.3
35-59, 2021-45, 1.4, 0.1239, 19.7
35-59, 2021-46, 2.8, 0.2478, 22.5
35-59, 2021-47, 1.6, 0.1416, 24.1
35-59, 2021-48, -0.3, -0.0353, 23.8
35-59, 2021-49, -1.1, -0.1294, 22.7
35-59, 2021-50, -2.1, -0.2471, 20.6
35-59, 2021-51, -1.5, -0.1765, 19.1
35-59, 2021-52, 2.9, 0.2566, 22
35-59, 2022-01, -0.5, -0.0588, 21.5
35-59, 2022-02, 4.4, 0.3894, 25.9
35-59, 2022-03, 11.3, 1, 37.2
35-59, 2022-04, 8.9, 0.7876, 46.1
35-59, 2022-05, 3.7, 0.3274, 49.8
35-59, 2022-06, , , 49.8
35-59, 2022-07, 2, 0.177, 51.8
35-59, 2022-08, -0.4, -0.0471, 51.4
35-59, 2022-09, 2.8, 0.2478, 54.2
35-59, 2022-10, 4.4, 0.3894, 58.6
35-59, 2022-11, 3, 0.2655, 61.6
35-59, 2022-12, -0.4, -0.0471, 61.2
35-59, 2022-13, -4.2, -0.4941, 57
35-59, 2022-14, -2.4, -0.2824, 54.6
35-59, 2022-15, 2.8, 0.2478, 57.4
35-59, 2022-16, -4.1, -0.4824, 53.3
35-59, 2022-17, -8.5, -1, 44.8
35-59, 2022-18, -1.8, -0.2118, 43
35-59, 2022-19, -3.2, -0.3765, 39.8
35-59, 2022-20, -6.7, -0.7882, 33.1
35-59, 2022-21, -3.9, -0.4588, 29.2
35-59, 2022-22, 5.1, 0.4513, 34.3
35-59, 2022-23, 10.2, 0.9027, 44.5
35-59, 2022-24, 5.3, 0.469, 49.8
35-59, 2022-25, 4.3, 0.3805, 54.1
35-59, 2022-26, 2.8, 0.2478, 56.9
35-59, 2022-27, 0.5, 0.0442, 57.4
35-59, 2022-28, 1.3, 0.115, 58.7
35-59, 2022-29, -1.5, -0.1765, 57.2
35-59, 2022-30, -4.9, -0.5765, 52.3
35-59, 2022-31, -5.6, -0.6588, 46.7
35-59, 2022-32, -3.3, -0.3882, 43.4
35-59, 2022-33, -2.7, -0.3176, 40.7
35-59, 2022-34, -4, -0.4706, 36.7
35-59, 2022-35, -3.4, -0.4, 33.3
35-59, 2022-36, 0.4, 0.0354, 33.7
35-59, 2022-37, 1.4, 0.1239, 35.1
35-59, 2022-38, 5.3, 0.469, 40.4
35-59, 2022-39, 10.5, 0.9292, 50.9
35-59, 2022-40, 6.6, 0.5841, 57.5
35-59, 2022-41, -3, -0.3529, 54.5
35-59, 2022-42, -3.5, -0.4118, 51
35-59, 2022-43, -6.3, -0.7412, 44.7
35-59, 2022-44, -7.2, -0.8471, 37.5
35-59, 2022-45, -7.8, -0.9176, 29.7
