Meldedatum, difference, group, quantity, trend, value
2022-06-08, , fallend, 22, , 
2022-06-15, , fallend, 26, , 
2022-06-22, 3.7, fallend, 27, 0.0907, 3.7
2022-06-29, 3.7, fallend, 27, 0.0907, 7.4
2022-07-06, , fallend, 27, , 7.4
2022-07-13, 11.1, fallend, 27, 0.2721, 18.5
2022-07-20, , fallend, 27, , 18.5
2022-07-27, 40.8, fallend, 27, 1, 59.3
2022-08-03, 18.5, fallend, 27, 0.4534, 77.8
2022-08-10, 7.4, fallend, 27, 0.1814, 85.2
2022-08-17, -18.5, fallend, 27, -0.6446, 66.7
2022-08-24, -22.3, fallend, 27, -0.777, 44.4
2022-08-31, -22.2, fallend, 27, -0.7735, 22.2
2022-09-07, -11.1, fallend, 27, -0.3868, 11.1
2022-09-14, , fallend, 27, , 11.1
2022-09-21, -11.1, fallend, 29, -0.3868, 
2022-09-28, , fallend, 29, , 
2022-10-05, 6.9, fallend, 29, 0.1691, 6.9
2022-10-12, 2.6, fallend, 42, 0.0637, 9.5
2022-10-19, 20.7, fallend, 43, 0.5074, 30.2
2022-10-26, 15.3, fallend, 44, 0.375, 45.5
2022-11-02, 10.1, fallend, 45, 0.2475, 55.6
2022-11-09, -4.5, fallend, 45, -0.1568, 51.1
2022-11-16, -1.1, fallend, 46, -0.0383, 50
2022-11-23, -28.7, fallend, 47, -1, 21.3
2022-11-30, -8.5, fallend, 47, -0.2962, 12.8
2022-12-07, -10.7, fallend, 48, -0.3728, 2.1
2022-12-14, 2, fallend, 49, 0.049, 4.1
2022-12-21, , fallend, 49, , 4.1
2022-12-28, 19.9, fallend, 50, 0.4877, 24
2023-01-04, 40, fallend, 50, 0.9804, 64
2023-01-11, -10, fallend, 50, -0.3484, 54
2023-01-18, -22, fallend, 50, -0.7666, 32
2023-01-25, -24, fallend, 50, -0.8362, 8
2023-02-01, -6, fallend, 50, -0.2091, 2
2023-02-08, 2, fallend, 50, 0.049, 4
2023-02-15, 2, fallend, 50, 0.049, 6
2023-02-22, 4, fallend, 50, 0.098, 10
2023-03-01, , fallend, 50, , 10
2023-03-08, 10, fallend, 50, 0.2451, 20
2023-03-15, 14, fallend, 50, 0.3431, 34
2023-03-22, 28, fallend, 50, 0.6863, 62
2023-03-29, -2.4, fallend, 47, -0.0836, 59.6
2023-04-05, -0.1, fallend, 37, -0.0035, 59.5
2023-04-12, -3.6, fallend, 34, -0.1254, 55.9
2023-04-19, -0.3, fallend, 18, -0.0105, 55.6
