Week, difference, trend, value
2020-11, , , 9
2020-12, 39, 0.0741, 48
2020-13, 286, 0.5437, 334
2020-14, 601, 1.1426, 935
2020-15, 400, 0.7605, 1335
2020-16, 272, 0.5171, 1607
2020-17, -247, -0.8697, 1360
2020-18, -366, -1.2887, 994
2020-19, -268, -0.9437, 726
2020-20, -226, -0.7958, 500
2020-21, -171, -0.6021, 329
2020-22, -72, -0.2535, 257
2020-23, -86, -0.3028, 171
2020-24, -58, -0.2042, 113
2020-25, -14, -0.0493, 99
2020-26, -24, -0.0845, 75
2020-27, -21, -0.0739, 54
2020-28, -3, -0.0106, 51
2020-29, -27, -0.0951, 24
2020-30, 11, 0.0209, 35
2020-31, -12, -0.0423, 23
2020-32, 23, 0.0437, 46
2020-33, -13, -0.0458, 33
2020-34, 5, 0.0095, 38
2020-35, -7, -0.0246, 31
2020-36, , , 31
2020-37, -6, -0.0211, 25
2020-38, 9, 0.0171, 34
2020-39, 35, 0.0665, 69
2020-40, 3, 0.0057, 72
2020-41, 16, 0.0304, 88
2020-42, 70, 0.1331, 158
2020-43, 92, 0.1749, 250
2020-44, 202, 0.384, 452
2020-45, 350, 0.6654, 802
2020-46, 395, 0.751, 1197
2020-47, 331, 0.6293, 1528
2020-48, 555, 1.0551, 2083
2020-49, 563, 1.0703, 2646
2020-50, 337, 0.6407, 2983
2020-51, 1264, 2.403, 4247
2020-52, -544, -1.9155, 3703
2020-53, 769, 1.462, 4472
2021-01, 1556, 2.9582, 6028
2021-02, 21, 0.0399, 6049
2021-03, -646, -2.2746, 5403
2021-04, -378, -1.331, 5025
2021-05, -504, -1.7746, 4521
2021-06, -1089, -3.8345, 3432
2021-07, -494, -1.7394, 2938
2021-08, -682, -2.4014, 2256
2021-09, -400, -1.4085, 1856
2021-10, -362, -1.2746, 1494
2021-11, -212, -0.7465, 1282
2021-12, -85, -0.2993, 1197
2021-13, -108, -0.3803, 1089
2021-14, 294, 0.5589, 1383
2021-15, 173, 0.3289, 1556
2021-16, 100, 0.1901, 1656
2021-17, -26, -0.0915, 1630
2021-18, -29, -0.1021, 1601
2021-19, -268, -0.9437, 1333
2021-20, -37, -0.1303, 1296
2021-21, -258, -0.9085, 1038
2021-22, -215, -0.757, 823
2021-23, -198, -0.6972, 625
