Altersgruppe, Meldedatum, value
60-79, 2020-03-02, 0.1
60-79, 2020-03-03, 0.1
60-79, 2020-03-04, 0.2
60-79, 2020-03-05, 0.3
60-79, 2020-03-06, 0.4
60-79, 2020-03-07, 0.5
60-79, 2020-03-08, 0.7
60-79, 2020-03-09, 0.7
60-79, 2020-03-10, 0.9
60-79, 2020-03-11, 1.3
60-79, 2020-03-12, 2
60-79, 2020-03-13, 2.7
60-79, 2020-03-14, 3.7
60-79, 2020-03-15, 4.4
60-79, 2020-03-16, 5
60-79, 2020-03-17, 6.5
60-79, 2020-03-18, 8.3
60-79, 2020-03-19, 10.6
60-79, 2020-03-20, 13.4
60-79, 2020-03-21, 15.9
60-79, 2020-03-22, 18.5
60-79, 2020-03-23, 20.1
60-79, 2020-03-24, 22.4
60-79, 2020-03-25, 25.2
60-79, 2020-03-26, 28.1
60-79, 2020-03-27, 31
60-79, 2020-03-28, 34.4
60-79, 2020-03-29, 36.5
60-79, 2020-03-30, 37.7
60-79, 2020-03-31, 38.5
60-79, 2020-04-01, 40.5
60-79, 2020-04-02, 42
60-79, 2020-04-03, 43
60-79, 2020-04-04, 43.2
60-79, 2020-04-05, 42.5
60-79, 2020-04-06, 41.9
60-79, 2020-04-07, 41.3
60-79, 2020-04-08, 39.7
60-79, 2020-04-09, 38
60-79, 2020-04-10, 35.6
60-79, 2020-04-11, 31.8
60-79, 2020-04-12, 29.7
60-79, 2020-04-13, 28.7
60-79, 2020-04-14, 26.2
60-79, 2020-04-15, 23.2
60-79, 2020-04-16, 21
60-79, 2020-04-17, 19.1
60-79, 2020-04-18, 18.6
60-79, 2020-04-19, 18.1
60-79, 2020-04-20, 17.6
60-79, 2020-04-21, 17.5
60-79, 2020-04-22, 17.2
60-79, 2020-04-23, 16
60-79, 2020-04-24, 14.7
60-79, 2020-04-25, 13.6
60-79, 2020-04-26, 12.7
60-79, 2020-04-27, 11.9
60-79, 2020-04-28, 11.4
60-79, 2020-04-29, 10.6
60-79, 2020-04-30, 9.7
60-79, 2020-05-01, 9.1
60-79, 2020-05-02, 8.2
60-79, 2020-05-03, 7.4
60-79, 2020-05-04, 7.1
60-79, 2020-05-05, 6.5
60-79, 2020-05-06, 6.2
60-79, 2020-05-07, 5.9
60-79, 2020-05-08, 5.6
60-79, 2020-05-09, 5.5
60-79, 2020-05-10, 5.6
60-79, 2020-05-11, 5.6
60-79, 2020-05-12, 5.4
60-79, 2020-05-13, 5.2
60-79, 2020-05-14, 4.8
60-79, 2020-05-15, 4.4
60-79, 2020-05-16, 4.2
60-79, 2020-05-17, 3.9
60-79, 2020-05-18, 3.8
60-79, 2020-05-19, 3.6
60-79, 2020-05-20, 3.3
60-79, 2020-05-21, 3.3
60-79, 2020-05-22, 2.9
60-79, 2020-05-23, 2.7
60-79, 2020-05-24, 2.8
60-79, 2020-05-25, 2.7
60-79, 2020-05-26, 2.7
60-79, 2020-05-27, 2.7
60-79, 2020-05-28, 2.6
60-79, 2020-05-29, 2.7
60-79, 2020-05-30, 2.6
60-79, 2020-05-31, 2.4
60-79, 2020-06-01, 2.4
60-79, 2020-06-02, 2.2
60-79, 2020-06-03, 1.9
60-79, 2020-06-04, 1.6
60-79, 2020-06-05, 1.5
60-79, 2020-06-06, 1.5
60-79, 2020-06-07, 1.5
60-79, 2020-06-08, 1.5
60-79, 2020-06-09, 1.5
60-79, 2020-06-10, 1.5
60-79, 2020-06-11, 1.6
60-79, 2020-06-12, 1.5
60-79, 2020-06-13, 1.3
60-79, 2020-06-14, 1.3
60-79, 2020-06-15, 1.2
60-79, 2020-06-16, 1.2
