Altersgruppe, Meldedatum, value, difference, trend
60-79, 2020-03-02, 0.1, , 
60-79, 2020-03-03, 0.1, , 
60-79, 2020-03-04, 0.2, , 
60-79, 2020-03-05, 0.3, , 
60-79, 2020-03-06, 0.4, , 
60-79, 2020-03-07, 0.5, , 
60-79, 2020-03-08, 0.7, , 
60-79, 2020-03-09, 0.7, , 
60-79, 2020-03-10, 0.9, 0.262, 0.0006
60-79, 2020-03-11, 1.3, 0.5513, 0.0013
60-79, 2020-03-12, 2, 1.1354, 0.0026
60-79, 2020-03-13, 2.7, 1.6267, 0.0037
60-79, 2020-03-14, 3.7, 2.2327, 0.0051
60-79, 2020-03-15, 4.4, 2.6475, 0.0061
60-79, 2020-03-16, 5.1, 3.4554, 0.0079
60-79, 2020-03-17, 6.5, 4.4926, 0.0103
60-79, 2020-03-18, 8.3, 4.4217, 0.0102
60-79, 2020-03-19, 10.6, 5.246, 0.0121
60-79, 2020-03-20, 13.4, 6.4797, 0.0149
60-79, 2020-03-21, 15.9, 7.1838, 0.0165
60-79, 2020-03-22, 18.5, 7.6861, 0.0177
60-79, 2020-03-23, 20.1, 10.0006, 0.023
60-79, 2020-03-24, 22.4, 11.9603, 0.0275
60-79, 2020-03-25, 25.2, 13.5652, 0.0312
60-79, 2020-03-26, 28.1, 14.4277, 0.0332
60-79, 2020-03-27, 31.1, 15.4267, 0.0355
60-79, 2020-03-28, 34.4, 17.5174, 0.0403
60-79, 2020-03-29, 36.5, 17.5775, 0.0404
60-79, 2020-03-30, 37.7, 17.6594, 0.0406
60-79, 2020-03-31, 38.6, 16.1473, 0.0371
60-79, 2020-04-01, 40.5, 15.2684, 0.0351
60-79, 2020-04-02, 42, 14.1985, 0.0326
60-79, 2020-04-03, 43, 12.266, 0.0282
60-79, 2020-04-04, 43.2, 8.827, 0.0203
60-79, 2020-04-05, 42.5, 8.9034, 0.0205
60-79, 2020-04-06, 41.9, 6.1794, 0.0142
60-79, 2020-04-07, 41.3, 4.2961, 0.0099
60-79, 2020-04-08, 39.8, 0.8352, 0.0019
60-79, 2020-04-09, 38, -2.3309, -0.0085
60-79, 2020-04-10, 35.6, -5.0713, -0.0186
60-79, 2020-04-11, 31.9, -7.7297, -0.0283
60-79, 2020-04-12, 29.7, -10.7266, -0.0393
60-79, 2020-04-13, 28.7, -11.6273, -0.0426
60-79, 2020-04-14, 26.2, -13.4943, -0.0495
60-79, 2020-04-15, 23.2, -13.7508, -0.0504
60-79, 2020-04-16, 20.9, -14.6788, -0.0538
60-79, 2020-04-17, 19.1, -14.7334, -0.054
60-79, 2020-04-18, 18.6, -11.944, -0.0438
60-79, 2020-04-19, 18.1, -10.5629, -0.0387
60-79, 2020-04-20, 17.6, -10.0607, -0.0369
60-79, 2020-04-21, 17.5, -7.8826, -0.0289
60-79, 2020-04-22, 17.2, -5.4261, -0.0199
60-79, 2020-04-23, 16, -3.7393, -0.0137
60-79, 2020-04-24, 14.7, -2.855, -0.0105
60-79, 2020-04-25, 13.6, -4.0887, -0.015
60-79, 2020-04-26, 12.7, -4.1269, -0.0151
60-79, 2020-04-27, 11.9, -4.7164, -0.0173
60-79, 2020-04-28, 11.4, -5.3388, -0.0196
60-79, 2020-04-29, 10.6, -6.1139, -0.0224
60-79, 2020-04-30, 9.7, -5.7645, -0.0211
60-79, 2020-05-01, 9.1, -5.0822, -0.0186
60-79, 2020-05-02, 8.2, -4.9621, -0.0182
60-79, 2020-05-03, 7.4, -4.8584, -0.0178
60-79, 2020-05-04, 7.1, -4.5035, -0.0165
60-79, 2020-05-05, 6.5, -4.4981, -0.0165
