Meldedatum, difference, group, quantity, trend, value
2022-06-08, , gleichbleibend, 24, , 20.8
2022-06-15, 7.8, gleichbleibend, 28, 0.3012, 28.6
2022-06-22, -7.9, gleichbleibend, 29, -0.229, 20.7
2022-06-29, 17.2, gleichbleibend, 29, 0.6641, 37.9
2022-07-06, 13.8, gleichbleibend, 29, 0.5328, 51.7
2022-07-13, 3.5, gleichbleibend, 29, 0.1351, 55.2
2022-07-20, 13.8, gleichbleibend, 29, 0.5328, 69
2022-07-27, -34.5, gleichbleibend, 29, -1, 34.5
2022-08-03, -13.8, gleichbleibend, 29, -0.4, 20.7
2022-08-10, -3.5, gleichbleibend, 29, -0.1014, 17.2
2022-08-17, 6.9, gleichbleibend, 29, 0.2664, 24.1
2022-08-24, 17.3, gleichbleibend, 29, 0.668, 41.4
2022-08-31, 10.3, gleichbleibend, 29, 0.3977, 51.7
2022-09-07, 10.4, gleichbleibend, 29, 0.4015, 62.1
2022-09-14, -34.5, gleichbleibend, 29, -1, 27.6
2022-09-21, -5, gleichbleibend, 31, -0.1449, 22.6
2022-09-28, 6.4, gleichbleibend, 31, 0.2471, 29
2022-10-05, 6.5, gleichbleibend, 31, 0.251, 35.5
2022-10-12, 25.9, gleichbleibend, 44, 1, 61.4
2022-10-19, -10.3, gleichbleibend, 45, -0.2986, 51.1
2022-10-26, -9.8, gleichbleibend, 46, -0.2841, 41.3
2022-11-02, 5.5, gleichbleibend, 47, 0.2124, 46.8
2022-11-09, -4.2, gleichbleibend, 47, -0.1217, 42.6
2022-11-16, 1.2, gleichbleibend, 48, 0.0463, 43.8
2022-11-23, 15.4, gleichbleibend, 49, 0.5946, 59.2
2022-11-30, -10.2, gleichbleibend, 49, -0.2957, 49
2022-12-07, -7, gleichbleibend, 50, -0.2029, 42
2022-12-14, -2.8, gleichbleibend, 51, -0.0812, 39.2
2022-12-21, 17.7, gleichbleibend, 51, 0.6834, 56.9
2022-12-28, 2.7, gleichbleibend, 52, 0.1042, 59.6
2023-01-04, -26.9, gleichbleibend, 52, -0.7797, 32.7
2023-01-11, 11.5, gleichbleibend, 52, 0.444, 44.2
2023-01-18, 3.9, gleichbleibend, 52, 0.1506, 48.1
2023-01-25, -1.9, gleichbleibend, 52, -0.0551, 46.2
2023-02-01, -9.7, gleichbleibend, 52, -0.2812, 36.5
2023-02-08, -9.6, gleichbleibend, 52, -0.2783, 26.9
2023-02-15, , gleichbleibend, 52, , 26.9
2023-02-22, 17.3, gleichbleibend, 52, 0.668, 44.2
2023-03-01, 17.3, gleichbleibend, 52, 0.668, 61.5
2023-03-08, -3.8, gleichbleibend, 52, -0.1101, 57.7
2023-03-15, 1.1, gleichbleibend, 51, 0.0425, 58.8
2023-03-22, -11.9, gleichbleibend, 49, -0.3449, 46.9
2023-03-29, -18.3, gleichbleibend, 42, -0.5304, 28.6
