Altersgruppe, Meldedatum, value
35-59, 2023-04-04, 1.53
35-59, 2023-04-03, 1.99
35-59, 2023-04-02, 2.03
35-59, 2023-04-01, 2.07
35-59, 2023-03-31, 2.18
35-59, 2023-03-30, 2.26
35-59, 2023-03-29, 2.38
35-59, 2023-03-28, 2.72
35-59, 2023-03-27, 3
35-59, 2023-03-26, 2.99
35-59, 2023-03-25, 3.01
35-59, 2023-03-24, 3.21
35-59, 2023-03-23, 3.39
35-59, 2023-03-22, 3.48
35-59, 2023-03-21, 3.74
35-59, 2023-03-20, 3.9
35-59, 2023-03-19, 3.95
35-59, 2023-03-18, 4
35-59, 2023-03-17, 4.01
35-59, 2023-03-16, 4.02
35-59, 2023-03-15, 4.02
35-59, 2023-03-14, 3.76
35-59, 2023-03-13, 3.65
35-59, 2023-03-12, 3.64
35-59, 2023-03-11, 3.58
35-59, 2023-03-10, 3.51
35-59, 2023-03-09, 3.49
35-59, 2023-03-08, 3.61
35-59, 2023-03-07, 3.96
35-59, 2023-03-06, 4.31
35-59, 2023-03-05, 4.37
35-59, 2023-03-04, 4.45
35-59, 2023-03-03, 4.65
35-59, 2023-03-02, 4.8
35-59, 2023-03-01, 5.06
35-59, 2023-02-28, 4.95
35-59, 2023-02-27, 4.78
35-59, 2023-02-26, 4.78
35-59, 2023-02-25, 4.73
35-59, 2023-02-24, 4.68
35-59, 2023-02-23, 4.7
35-59, 2023-02-22, 4.52
35-59, 2023-02-21, 4.59
35-59, 2023-02-20, 4.63
35-59, 2023-02-19, 4.6
35-59, 2023-02-18, 4.63
35-59, 2023-02-17, 4.56
35-59, 2023-02-16, 4.44
35-59, 2023-02-15, 4.26
35-59, 2023-02-14, 4.02
35-59, 2023-02-13, 3.81
35-59, 2023-02-12, 3.79
35-59, 2023-02-11, 3.8
35-59, 2023-02-10, 3.74
35-59, 2023-02-09, 3.67
35-59, 2023-02-08, 3.56
35-59, 2023-02-07, 3.41
35-59, 2023-02-06, 3.2
35-59, 2023-02-05, 3.15
35-59, 2023-02-04, 3.11
35-59, 2023-02-03, 3.01
35-59, 2023-02-02, 2.91
35-59, 2023-02-01, 2.75
35-59, 2023-01-31, 2.63
35-59, 2023-01-30, 2.49
35-59, 2023-01-29, 2.47
35-59, 2023-01-28, 2.43
35-59, 2023-01-27, 2.31
35-59, 2023-01-26, 2.21
35-59, 2023-01-25, 2.27
35-59, 2023-01-24, 2.24
35-59, 2023-01-23, 2.3
35-59, 2023-01-22, 2.29
35-59, 2023-01-21, 2.33
35-59, 2023-01-20, 2.46
35-59, 2023-01-19, 2.45
35-59, 2023-01-18, 2.5
35-59, 2023-01-17, 2.67
35-59, 2023-01-16, 3.01
35-59, 2023-01-15, 3.04
35-59, 2023-01-14, 3.06
35-59, 2023-01-13, 3.07
35-59, 2023-01-12, 3.39
35-59, 2023-01-11, 3.68
35-59, 2023-01-10, 3.93
35-59, 2023-01-09, 4.08
35-59, 2023-01-08, 4.14
35-59, 2023-01-07, 4.2
35-59, 2023-01-06, 4.38
35-59, 2023-01-05, 4.56
35-59, 2023-01-04, 4.87
35-59, 2023-01-03, 5.45
35-59, 2023-01-02, 4.41
35-59, 2023-01-01, 4.43
35-59, 2022-12-31, 4.39
35-59, 2022-12-30, 4.69
35-59, 2022-12-29, 4.81
35-59, 2022-12-28, 4.99
35-59, 2022-12-27, 4.88
35-59, 2022-12-26, 6.26
35-59, 2022-12-25, 6.31
35-59, 2022-12-24, 6.38
35-59, 2022-12-23, 6.32
35-59, 2022-12-22, 6.28
35-59, 2022-12-21, 6.02
35-59, 2022-12-20, 5.88
35-59, 2022-12-19, 5.88
35-59, 2022-12-18, 5.87
35-59, 2022-12-17, 5.85
35-59, 2022-12-16, 5.82
35-59, 2022-12-15, 5.59
35-59, 2022-12-14, 5.52
35-59, 2022-12-13, 5.39
35-59, 2022-12-12, 5.12
35-59, 2022-12-11, 5.07
35-59, 2022-12-10, 5.04
35-59, 2022-12-09, 4.91
35-59, 2022-12-08, 5.02
35-59, 2022-12-07, 4.97
35-59, 2022-12-06, 4.85
35-59, 2022-12-05, 4.75
35-59, 2022-12-04, 4.71
35-59, 2022-12-03, 4.7
35-59, 2022-12-02, 4.6
35-59, 2022-12-01, 4.3
35-59, 2022-11-30, 4.07
35-59, 2022-11-29, 3.87
35-59, 2022-11-28, 3.63
35-59, 2022-11-27, 3.64
