Meldedatum, difference, group, quantity, trend, value
2022-06-08, , trend, 26, , 69.2
2022-06-15, 2.7, trend, 32, 0.0993, 71.9
2022-06-22, -12.5, trend, 32, -0.5297, 59.4
2022-06-29, -21.9, trend, 32, -0.928, 37.5
2022-07-06, , trend, 32, , 37.5
2022-07-13, -12.5, trend, 32, -0.5297, 25
2022-07-20, -3.8, trend, 33, -0.161, 21.2
2022-07-27, -15.1, trend, 33, -0.6398, 6.1
2022-08-03, -6.1, trend, 33, -0.2585, 
2022-08-10, , trend, 33, , 
2022-08-17, 9.1, trend, 33, 0.3346, 9.1
2022-08-24, 3, trend, 33, 0.1103, 12.1
2022-08-31, 9.1, trend, 33, 0.3346, 21.2
2022-09-07, , trend, 33, , 21.2
2022-09-14, 24.3, trend, 33, 0.8934, 45.5
2022-09-21, 27.2, trend, 33, 1, 72.7
2022-09-28, -3, trend, 33, -0.1271, 69.7
2022-10-05, -15.2, trend, 33, -0.6441, 54.5
2022-10-12, -13.2, trend, 46, -0.5593, 41.3
2022-10-19, -13.6, trend, 47, -0.5763, 27.7
2022-10-26, -23.6, trend, 49, -1, 4.1
2022-11-02, 7.9, trend, 50, 0.2904, 12
2022-11-09, , trend, 50, , 12
2022-11-16, 4, trend, 50, 0.1471, 16
2022-11-23, 5.6, trend, 51, 0.2059, 21.6
2022-11-30, 15.7, trend, 51, 0.5772, 37.3
2022-12-07, 11.7, trend, 51, 0.4301, 49
2022-12-14, 3.9, trend, 51, 0.1434, 52.9
2022-12-21, -19.6, trend, 51, -0.8305, 33.3
2022-12-28, -23.1, trend, 49, -0.9788, 10.2
2023-01-04, -1.9, trend, 48, -0.0805, 8.3
2023-01-11, -0.6, trend, 39, -0.0254, 7.7
2023-01-18, 5.6, trend, 15, 0.2059, 13.3
