Meldedatum, difference, group, quantity, trend, value
2022-06-08, , fallend, 26, , 
2022-06-15, , fallend, 32, , 
2022-06-22, 6.2, fallend, 32, 0.1703, 6.2
2022-06-29, , fallend, 32, , 6.2
2022-07-06, 3.2, fallend, 32, 0.0879, 9.4
2022-07-13, 9.4, fallend, 32, 0.2582, 18.8
2022-07-20, 2.4, fallend, 33, 0.0659, 21.2
2022-07-27, 36.4, fallend, 33, 1, 57.6
2022-08-03, 24.2, fallend, 33, 0.6648, 81.8
2022-08-10, , fallend, 33, , 81.8
2022-08-17, -24.2, fallend, 33, -1, 57.6
2022-08-24, -18.2, fallend, 33, -0.7521, 39.4
2022-08-31, -12.1, fallend, 33, -0.5, 27.3
2022-09-07, -12.1, fallend, 33, -0.5, 15.2
2022-09-14, -6.1, fallend, 33, -0.2521, 9.1
2022-09-21, -9.1, fallend, 33, -0.376, 
2022-09-28, , fallend, 33, , 
2022-10-05, 9.1, fallend, 33, 0.25, 9.1
2022-10-12, 1.8, fallend, 46, 0.0495, 10.9
2022-10-19, 16.8, fallend, 47, 0.4615, 27.7
2022-10-26, 23.3, fallend, 49, 0.6401, 51
2022-11-02, -5, fallend, 50, -0.2066, 46
2022-11-09, 2, fallend, 50, 0.0549, 48
2022-11-16, -18, fallend, 50, -0.7438, 30
2022-11-23, -6.5, fallend, 51, -0.2686, 23.5
2022-11-30, -5.9, fallend, 51, -0.2438, 17.6
2022-12-07, -11.7, fallend, 51, -0.4835, 5.9
2022-12-14, -2, fallend, 51, -0.0826, 3.9
2022-12-21, 5.9, fallend, 51, 0.1621, 9.8
2022-12-28, 18.8, fallend, 49, 0.5165, 28.6
2023-01-04, 27.6, fallend, 48, 0.7582, 56.2
2023-01-11, 7.9, fallend, 39, 0.217, 64.1
2023-01-18, 9.2, fallend, 15, 0.2527, 73.3
