Meldedatum, difference, group, quantity, trend, value
2022-06-08, , gleichbleibend, 16, , 31.2
2022-06-15, -4.9, gleichbleibend, 19, -0.1373, 26.3
2022-06-22, -1.3, gleichbleibend, 20, -0.0364, 25
2022-06-29, 20, gleichbleibend, 20, 0.8, 45
2022-07-06, 15, gleichbleibend, 20, 0.6, 60
2022-07-13, -15, gleichbleibend, 20, -0.4202, 45
2022-07-20, 25, gleichbleibend, 20, 1, 70
2022-07-27, -25, gleichbleibend, 20, -0.7003, 45
2022-08-03, -25, gleichbleibend, 20, -0.7003, 20
2022-08-10, 5, gleichbleibend, 20, 0.2, 25
2022-08-17, -5, gleichbleibend, 20, -0.1401, 20
2022-08-24, 15, gleichbleibend, 20, 0.6, 35
2022-08-31, 25, gleichbleibend, 20, 1, 60
2022-09-07, -15, gleichbleibend, 20, -0.4202, 45
2022-09-14, -15, gleichbleibend, 20, -0.4202, 30
2022-09-21, , gleichbleibend, 20, , 30
2022-09-28, 5, gleichbleibend, 20, 0.2, 35
2022-10-05, , gleichbleibend, 20, , 35
2022-10-12, 12.1, gleichbleibend, 17, 0.484, 47.1
2022-10-19, 19.6, gleichbleibend, 15, 0.784, 66.7
2022-10-26, -31, gleichbleibend, 14, -0.8683, 35.7
2022-11-02, -35.7, gleichbleibend, 7, -1, 
