Meldedatum, difference, group, quantity, trend, value
2022-06-08, , steigend, 24, , 62.5
2022-06-15, 6.5, steigend, 29, 0.2444, 69
2022-06-22, -2.3, steigend, 30, -0.0885, 66.7
2022-06-29, -13.4, steigend, 30, -0.5154, 53.3
2022-07-06, -6.6, steigend, 30, -0.2538, 46.7
2022-07-13, -6.7, steigend, 30, -0.2577, 40
2022-07-20, -16.7, steigend, 30, -0.6423, 23.3
2022-07-27, -16.6, steigend, 30, -0.6385, 6.7
2022-08-03, -6.7, steigend, 30, -0.2577, 
2022-08-10, , steigend, 30, , 
2022-08-17, 10, steigend, 30, 0.3759, 10
2022-08-24, 10, steigend, 30, 0.3759, 20
2022-08-31, , steigend, 30, , 20
2022-09-07, 10, steigend, 30, 0.3759, 30
2022-09-14, 16.7, steigend, 30, 0.6278, 46.7
2022-09-21, 26.6, steigend, 30, 1, 73.3
2022-09-28, -3.3, steigend, 30, -0.1269, 70
2022-10-05, -13.3, steigend, 30, -0.5115, 56.7
2022-10-12, -12.5, steigend, 43, -0.4808, 44.2
2022-10-19, -16.9, steigend, 44, -0.65, 27.3
2022-10-26, -22.9, steigend, 45, -0.8808, 4.4
2022-11-02, 2.1, steigend, 46, 0.0789, 6.5
2022-11-09, 10.9, steigend, 46, 0.4098, 17.4
2022-11-16, -4.6, steigend, 47, -0.1769, 12.8
2022-11-23, -0.3, steigend, 48, -0.0115, 12.5
2022-11-30, 16.7, steigend, 48, 0.6278, 29.2
2022-12-07, 23.9, steigend, 49, 0.8985, 53.1
2022-12-14, 12.9, steigend, 50, 0.485, 66
2022-12-21, -26, steigend, 50, -1, 40
2022-12-28, -22.4, steigend, 51, -0.8615, 17.6
2023-01-04, -13.7, steigend, 51, -0.5269, 3.9
2023-01-11, , steigend, 51, , 3.9
2023-01-18, 13.7, steigend, 51, 0.515, 17.6
2023-01-25, 19.7, steigend, 51, 0.7406, 37.3
2023-02-01, 21.5, steigend, 51, 0.8083, 58.8
2023-02-08, , steigend, 51, , 58.8
2023-02-15, 3.9, steigend, 51, 0.1466, 62.7
2023-02-22, -16.7, steigend, 50, -0.6423, 46
2023-03-01, -5.1, steigend, 44, -0.1962, 40.9
2023-03-08, 18.4, steigend, 27, 0.6917, 59.3
