Altersgruppe, Meldedatum, value
60-79, 2022-12-22, 17.41
60-79, 2022-12-21, 19.55
60-79, 2022-12-20, 20.11
60-79, 2022-12-19, 20.81
60-79, 2022-12-18, 20.82
60-79, 2022-12-17, 20.9
60-79, 2022-12-16, 21.01
60-79, 2022-12-15, 20.81
60-79, 2022-12-14, 20.55
60-79, 2022-12-13, 20.06
60-79, 2022-12-12, 19.26
60-79, 2022-12-11, 19.3
60-79, 2022-12-10, 19.14
60-79, 2022-12-09, 18.54
60-79, 2022-12-08, 18.22
60-79, 2022-12-07, 17.78
60-79, 2022-12-06, 17.16
60-79, 2022-12-05, 16.7
60-79, 2022-12-04, 16.53
60-79, 2022-12-03, 16.5
60-79, 2022-12-02, 16.35
60-79, 2022-12-01, 16.02
60-79, 2022-11-30, 15.57
60-79, 2022-11-29, 15.26
60-79, 2022-11-28, 14.65
60-79, 2022-11-27, 14.48
60-79, 2022-11-26, 14.47
60-79, 2022-11-25, 14.15
60-79, 2022-11-24, 13.91
60-79, 2022-11-23, 13.73
60-79, 2022-11-22, 13.31
60-79, 2022-11-21, 12.89
60-79, 2022-11-20, 12.92
60-79, 2022-11-19, 12.87
60-79, 2022-11-18, 13.07
60-79, 2022-11-17, 13.08
60-79, 2022-11-16, 13.45
60-79, 2022-11-15, 13.82
60-79, 2022-11-14, 14.43
60-79, 2022-11-13, 14.5
60-79, 2022-11-12, 14.71
60-79, 2022-11-11, 14.96
60-79, 2022-11-10, 15.78
60-79, 2022-11-09, 17.17
60-79, 2022-11-08, 17.35
60-79, 2022-11-07, 16.5
60-79, 2022-11-06, 16.67
60-79, 2022-11-05, 16.69
60-79, 2022-11-04, 17.15
60-79, 2022-11-03, 17.72
60-79, 2022-11-02, 17.68
60-79, 2022-11-01, 19.6
60-79, 2022-10-31, 23.44
60-79, 2022-10-30, 23.72
60-79, 2022-10-29, 24.07
60-79, 2022-10-28, 25.18
60-79, 2022-10-27, 26.43
60-79, 2022-10-26, 27.35
60-79, 2022-10-25, 29.12
60-79, 2022-10-24, 31.35
60-79, 2022-10-23, 31.58
60-79, 2022-10-22, 31.85
60-79, 2022-10-21, 32.71
60-79, 2022-10-20, 33.4
60-79, 2022-10-19, 34.67
60-79, 2022-10-18, 34.5
60-79, 2022-10-17, 33.8
60-79, 2022-10-16, 33.76
60-79, 2022-10-15, 33.74
60-79, 2022-10-14, 33.36
60-79, 2022-10-13, 33.16
60-79, 2022-10-12, 33.59
60-79, 2022-10-11, 35.61
60-79, 2022-10-10, 28.4
60-79, 2022-10-09, 28.16
60-79, 2022-10-08, 27.8
60-79, 2022-10-07, 26.47
60-79, 2022-10-06, 24.71
