Altersgruppe, Week, difference, trend, value
35-59, 2020-W11, , , 1
35-59, 2020-W12, -1, -0.0476, 
35-59, 2020-W13, 19, 0.6786, 19
35-59, 2020-W14, 23, 0.8214, 42
35-59, 2020-W15, 21, 0.75, 63
35-59, 2020-W16, -3, -0.1429, 60
35-59, 2020-W17, -18, -0.8571, 42
35-59, 2020-W18, 11, 0.3929, 53
35-59, 2020-W19, -24, -1.1429, 29
35-59, 2020-W20, -6, -0.2857, 23
35-59, 2020-W21, -4, -0.1905, 19
35-59, 2020-W22, -5, -0.2381, 14
35-59, 2020-W23, -4, -0.1905, 10
35-59, 2020-W24, 1, 0.0357, 11
35-59, 2020-W25, -6, -0.2857, 5
35-59, 2020-W26, 4, 0.1429, 9
35-59, 2020-W27, -5, -0.2381, 4
35-59, 2020-W28, 1, 0.0357, 5
35-59, 2020-W29, -5, -0.2381, 
35-59, 2020-W30, 7, 0.25, 7
35-59, 2020-W31, -6, -0.2857, 1
35-59, 2020-W32, , , 1
35-59, 2020-W33, 1, 0.0357, 2
35-59, 2020-W34, 2, 0.0714, 4
35-59, 2020-W35, -1, -0.0476, 3
35-59, 2020-W36, 2, 0.0714, 5
35-59, 2020-W37, -1, -0.0476, 4
35-59, 2020-W38, 1, 0.0357, 5
35-59, 2020-W39, -2, -0.0952, 3
35-59, 2020-W40, 4, 0.1429, 7
35-59, 2020-W41, -1, -0.0476, 6
35-59, 2020-W42, 2, 0.0714, 8
35-59, 2020-W43, -2, -0.0952, 6
35-59, 2020-W44, 11, 0.3929, 17
35-59, 2020-W45, 16, 0.5714, 33
35-59, 2020-W46, 11, 0.3929, 44
35-59, 2020-W47, 5, 0.1786, 49
35-59, 2020-W48, 27, 0.9643, 76
35-59, 2020-W49, -13, -0.619, 63
35-59, 2020-W50, 22, 0.7857, 85
35-59, 2020-W51, 33, 1.1786, 118
35-59, 2020-W52, -15, -0.7143, 103
35-59, 2020-W53, 21, 0.75, 124
35-59, 2021-W01, 33, 1.1786, 157
35-59, 2021-W02, -8, -0.381, 149
35-59, 2021-W03, 28, 1, 177
35-59, 2021-W04, -61, -2.9048, 116
35-59, 2021-W05, 25, 0.8929, 141
35-59, 2021-W06, -37, -1.7619, 104
