Week, difference, trend, value
2020-W10, , , 194
2020-W11, -6, -0.3, 188
2020-W12, -9, -0.45, 179
2020-W13, 4, 0.2353, 183
2020-W14, -10, -0.5, 173
2020-W15, 8, 0.4706, 181
2020-W16, -7, -0.35, 174
2020-W17, 4, 0.2353, 178
2020-W18, 5, 0.2941, 183
2020-W19, 8, 0.4706, 191
2020-W20, -6, -0.3, 185
2020-W21, 2, 0.1176, 187
2020-W22, 6, 0.3529, 193
2020-W23, 6, 0.3529, 199
2020-W24, -2, -0.1, 197
2020-W25, -1, -0.05, 196
2020-W26, 4, 0.2353, 200
2020-W27, 5, 0.2941, 205
2020-W28, -15, -0.75, 190
2020-W29, 9, 0.5294, 199
2020-W30, 2, 0.1176, 201
2020-W31, -3, -0.15, 198
2020-W32, -2, -0.1, 196
2020-W33, -2, -0.1, 194
2020-W34, 4, 0.2353, 198
2020-W35, -7, -0.35, 191
2020-W36, , , 191
2020-W37, 2, 0.1176, 193
2020-W38, 8, 0.4706, 201
2020-W39, -9, -0.45, 192
2020-W40, 13, 0.7647, 205
2020-W41, -2, -0.1, 203
2020-W42, -5, -0.25, 198
2020-W43, 6, 0.3529, 204
2020-W44, -10, -0.5, 194
2020-W45, 11, 0.6471, 205
2020-W46, -5, -0.25, 200
2020-W47, -2, -0.1, 198
2020-W48, -4, -0.2, 194
2020-W49, 11, 0.6471, 205
2020-W50, 1, 0.0588, 206
2020-W51, 3, 0.1765, 209
2020-W52, -23, -1.15, 186
2020-W53, 16, 0.9412, 202
2021-W01, -5, -0.25, 197
2021-W02, -4, -0.2, 193
2021-W03, -7, -0.35, 186
2021-W04, 4, 0.2353, 190
2021-W05, -4, -0.2, 186
2021-W06, 8, 0.4706, 194
2021-W07, 1, 0.0588, 195
2021-W08, -6, -0.3, 189
2021-W09, 1, 0.0588, 190
2021-W10, 2, 0.1176, 192
2021-W11, -1, -0.05, 191
2021-W12, -1, -0.05, 190
2021-W13, 7, 0.4118, 197
2021-W14, -6, -0.3, 191
2021-W15, 1, 0.0588, 192
2021-W16, 4, 0.2353, 196
2021-W17, -2, -0.1, 194
2021-W18, 2, 0.1176, 196
2021-W19, -4, -0.2, 192
2021-W20, 3, 0.1765, 195
2021-W21, -1, -0.05, 194
2021-W22, 8, 0.4706, 202
2021-W23, -15, -0.75, 187
2021-W24, 6, 0.3529, 193
2021-W25, -4, -0.2, 189
2021-W26, -3, -0.15, 186
2021-W27, 2, 0.1176, 188
2021-W28, 7, 0.4118, 195
2021-W29, -2, -0.1, 193
2021-W30, -7, -0.35, 186
2021-W31, 5, 0.2941, 191
2021-W32, 6, 0.3529, 197
2021-W33, 2, 0.1176, 199
2021-W34, -3, -0.15, 196
2021-W35, 2, 0.1176, 198
2021-W36, 6, 0.3529, 204
2021-W37, -12, -0.6, 192
2021-W38, 6, 0.3529, 198
2021-W39, 5, 0.2941, 203
2021-W40, 10, 0.5882, 213
2021-W41, -7, -0.35, 206
2021-W42, -4, -0.2, 202
2021-W43, 6, 0.3529, 208
2021-W44, -4, -0.2, 204
2021-W45, 11, 0.6471, 215
2021-W46, -9, -0.45, 206
2021-W47, -1, -0.05, 205
2021-W48, 6, 0.3529, 211
2021-W49, -10, -0.5, 201
2021-W50, 13, 0.7647, 214
2021-W51, -11, -0.55, 203
2021-W52, -16, -0.8, 187
2022-W01, 16, 0.9412, 203
2022-W02, -5, -0.25, 198
2022-W03, -10, -0.5, 188
2022-W04, 5, 0.2941, 193
2022-W05, 6, 0.3529, 199
2022-W06, 3, 0.1765, 202
2022-W07, -2, -0.1, 200
2022-W08, 1, 0.0588, 201
2022-W09, -2, -0.1, 199
2022-W10, -3, -0.15, 196
2022-W11, 6, 0.3529, 202
2022-W12, 1, 0.0588, 203
2022-W13, -3, -0.15, 200
2022-W14, 1, 0.0588, 201
