Altersgruppe, Meldedatum, value, difference, trend
15-34, 2020-03-02, 0.3, , 
15-34, 2020-03-03, 0.4, , 
15-34, 2020-03-04, 0.5, , 
15-34, 2020-03-05, 0.8, , 
15-34, 2020-03-06, 1.1, , 
15-34, 2020-03-07, 1.2, , 
15-34, 2020-03-08, 1.3, , 
15-34, 2020-03-09, 1.4, , 
15-34, 2020-03-10, 1.8, 0.6225, 0.0013
15-34, 2020-03-11, 2.4, 1.0694, 0.0022
15-34, 2020-03-12, 3.2, 1.7823, 0.0036
15-34, 2020-03-13, 4, 2.1494, 0.0044
15-34, 2020-03-14, 5.6, 2.7985, 0.0057
15-34, 2020-03-15, 7.3, 3.5965, 0.0074
15-34, 2020-03-16, 8.5, 5.0756, 0.0104
15-34, 2020-03-17, 10.8, 6.6983, 0.0137
15-34, 2020-03-18, 14.3, 6.9377, 0.0142
15-34, 2020-03-19, 18.5, 9.1722, 0.0188
15-34, 2020-03-20, 23.2, 11.8643, 0.0243
15-34, 2020-03-21, 27.3, 13.2263, 0.027
15-34, 2020-03-22, 30.3, 13.636, 0.0279
15-34, 2020-03-23, 32.1, 16.7005, 0.0341
15-34, 2020-03-24, 34.5, 19.1106, 0.0391
15-34, 2020-03-25, 36.8, 19.8608, 0.0406
15-34, 2020-03-26, 39.1, 18.9084, 0.0387
15-34, 2020-03-27, 41.2, 17.7965, 0.0364
15-34, 2020-03-28, 43.1, 18.1104, 0.037
15-34, 2020-03-29, 44.4, 17.2006, 0.0352
15-34, 2020-03-30, 45.4, 15.6418, 0.032
15-34, 2020-03-31, 45.4, 12.3378, 0.0252
15-34, 2020-04-01, 46, 10.7896, 0.0221
15-34, 2020-04-02, 46.2, 8.8211, 0.018
15-34, 2020-04-03, 46.3, 6.8473, 0.014
15-34, 2020-04-04, 45.9, 3.538, 0.0072
15-34, 2020-04-05, 44.8, 4.0434, 0.0083
15-34, 2020-04-06, 43.7, 1.2237, 0.0025
15-34, 2020-04-07, 43.1, -0.4309, -0.0008
15-34, 2020-04-08, 42, -2.7666, -0.0052
15-34, 2020-04-09, 40.6, -4.5276, -0.0085
15-34, 2020-04-10, 38.9, -5.9641, -0.0112
15-34, 2020-04-11, 35.7, -7.4378, -0.014
15-34, 2020-04-12, 34.2, -9.8213, -0.0185
15-34, 2020-04-13, 33.3, -9.933, -0.0187
15-34, 2020-04-14, 30.7, -11.2578, -0.0212
15-34, 2020-04-15, 27.5, -12.1942, -0.023
15-34, 2020-04-16, 25.4, -12.9071, -0.0243
15-34, 2020-04-17, 23.8, -13.3913, -0.0253
15-34, 2020-04-18, 24.1, -10.5555, -0.0199
15-34, 2020-04-19, 23.3, -9.401, -0.0177
15-34, 2020-04-20, 22.9, -9.1244, -0.0172
15-34, 2020-04-21, 23.1, -6.6344, -0.0125
15-34, 2020-04-22, 23, -3.6604, -0.0069
15-34, 2020-04-23, 22.6, -1.894, -0.0036
15-34, 2020-04-24, 20.6, -1.7131, -0.0032
15-34, 2020-04-25, 19.2, -3.5699, -0.0067
15-34, 2020-04-26, 18, -3.5593, -0.0067
15-34, 2020-04-27, 17.3, -4.2084, -0.0079
15-34, 2020-04-28, 16.9, -5.0437, -0.0095
15-34, 2020-04-29, 16.1, -5.7885, -0.0109
15-34, 2020-04-30, 14.6, -6.7089, -0.0127
15-34, 2020-05-01, 13.9, -5.3416, -0.0101
15-34, 2020-05-02, 12.2, -5.6236, -0.0106
15-34, 2020-05-03, 11.4, -6.0971, -0.0115
15-34, 2020-05-04, 11.2, -5.5491, -0.0105
15-34, 2020-05-05, 10.6, -5.8258, -0.011
15-34, 2020-05-06, 10.1, -5.6076, -0.0106
15-34, 2020-05-07, 9.7, -4.4744, -0.0084
15-34, 2020-05-08, 9.4, -4.5861, -0.0087
15-34, 2020-05-09, 9.7, -2.192, -0.0041
15-34, 2020-05-10, 9.7, -1.495, -0.0028
15-34, 2020-05-11, 9.5, -1.761, -0.0033
15-34, 2020-05-12, 9.5, -1.1439, -0.0022
15-34, 2020-05-13, 9.1, -0.6863, -0.0013
15-34, 2020-05-14, 8.6, -0.7182, -0.0014
15-34, 2020-05-15, 7.8, -1.0002, -0.0019
15-34, 2020-05-16, 7.6, -2.325, -0.0044
15-34, 2020-05-17, 7.3, -2.2079, -0.0042
15-34, 2020-05-18, 7.4, -2.2452, -0.0042
15-34, 2020-05-19, 7.2, -2.591, -0.0049
15-34, 2020-05-20, 7.1, -1.8515, -0.0035
15-34, 2020-05-21, 7.1, -1.6599, -0.0031
15-34, 2020-05-22, 6.8, -1.2503, -0.0024
15-34, 2020-05-23, 6.5, -0.7661, -0.0014
15-34, 2020-05-24, 6.2, -0.7555, -0.0014
15-34, 2020-05-25, 6, -0.798, -0.0015
15-34, 2020-05-26, 5.6, -0.7076, -0.0013
15-34, 2020-05-27, 5.5, -1.6599, -0.0031
15-34, 2020-05-28, 5.3, -1.4205, -0.0027
15-34, 2020-05-29, 5.5, -0.8832, -0.0017
15-34, 2020-05-30, 5.3, -0.8566, -0.0016
15-34, 2020-05-31, 5.5, -0.947, -0.0018
15-34, 2020-06-01, 5.5, -0.6172, -0.0012
15-34, 2020-06-02, 5.1, -0.5161, -0.001
15-34, 2020-06-03, 4.7, -0.3618, -0.0007
15-34, 2020-06-04, 4.5, -0.8247, -0.0016
15-34, 2020-06-05, 4.6, -1.0321, -0.0019
15-34, 2020-06-06, 4.7, -0.7714, -0.0015
15-34, 2020-06-07, 4.5, -0.9045, -0.0017
15-34, 2020-06-08, 4.3, -1.1439, -0.0022
15-34, 2020-06-09, 4.6, -0.6172, -0.0012
15-34, 2020-06-10, 4.9, -0.0745, -0.0001
15-34, 2020-06-11, 4.9, 0.5108, 0.001
15-34, 2020-06-12, 4.4, -0.0532, -0.0001
15-34, 2020-06-13, 4.2, -0.3192, -0.0006
15-34, 2020-06-14, 4.3, -0.117, -0.0002
15-34, 2020-06-15, 4.4, -0.0426, -0.0001
15-34, 2020-06-16, 4.3, -0.2341, -0.0004
15-34, 2020-06-17, 4.4, -0.5267, -0.001
15-34, 2020-06-18, 4.9, -0.548, -0.001
15-34, 2020-06-19, 5.9, 0.8672, 0.0018
15-34, 2020-06-20, 7.1, 1.3248, 0.0027
15-34, 2020-06-21, 7.7, 2.1813, 0.0045
15-34, 2020-06-22, 7.7, 2.7879, 0.0057
15-34, 2020-06-23, 8, 3.0911, 0.0063
15-34, 2020-06-24, 7.9, 3.1443, 0.0064
15-34, 2020-06-25, 7.4, 2.2345, 0.0046
15-34, 2020-06-26, 7, 0.9843, 0.002
15-34, 2020-06-27, 6.2, 0.3245, 0.0007
15-34, 2020-06-28, 5.7, -0.9204, -0.0017
15-34, 2020-06-29, 5.7, -1.5216, -0.0029
15-34, 2020-06-30, 5.7, -1.9366, -0.0037
15-34, 2020-07-01, 5.7, -1.7876, -0.0034
15-34, 2020-07-02, 5.7, -1.0481, -0.002
