Altersgruppe, Week, difference, trend, value
0-4, 2020-W11, , , 
0-4, 2020-W12, , , 
0-4, 2020-W13, , , 
0-4, 2020-W14, , , 
0-4, 2020-W15, 1, 0.5, 1
0-4, 2020-W16, -1, -0.5, 
0-4, 2020-W17, , , 
0-4, 2020-W18, , , 
0-4, 2020-W19, , , 
0-4, 2020-W20, , , 
0-4, 2020-W21, , , 
0-4, 2020-W22, , , 
0-4, 2020-W23, , , 
0-4, 2020-W24, , , 
0-4, 2020-W25, , , 
0-4, 2020-W26, , , 
0-4, 2020-W27, , , 
0-4, 2020-W28, , , 
0-4, 2020-W29, , , 
0-4, 2020-W30, , , 
0-4, 2020-W31, , , 
0-4, 2020-W32, , , 
0-4, 2020-W33, , , 
0-4, 2020-W34, , , 
0-4, 2020-W35, , , 
0-4, 2020-W36, , , 
0-4, 2020-W37, , , 
0-4, 2020-W38, , , 
0-4, 2020-W39, , , 
0-4, 2020-W40, , , 
0-4, 2020-W41, , , 
0-4, 2020-W42, , , 
0-4, 2020-W43, , , 
0-4, 2020-W44, , , 
0-4, 2020-W45, , , 
0-4, 2020-W46, , , 
0-4, 2020-W47, , , 
0-4, 2020-W48, , , 
0-4, 2020-W49, , , 
0-4, 2020-W50, 1, 0.5, 1
0-4, 2020-W51, -1, -0.5, 
0-4, 2020-W52, , , 
0-4, 2020-W53, , , 
0-4, 2021-W01, 2, 1, 2
0-4, 2021-W02, -2, -1, 
0-4, 2021-W03, , , 
0-4, 2021-W04, , , 
0-4, 2021-W05, , , 
0-4, 2021-W06, , , 
0-4, 2021-W07, , , 
0-4, 2021-W08, , , 
0-4, 2021-W09, , , 
0-4, 2021-W10, , , 
0-4, 2021-W11, 1, 0.5, 1
0-4, 2021-W12, , , 1
0-4, 2021-W13, -1, -0.5, 
0-4, 2021-W14, , , 
0-4, 2021-W15, , , 
0-4, 2021-W16, , , 
0-4, 2021-W17, , , 
0-4, 2021-W18, 1, 0.5, 1
0-4, 2021-W19, -1, -0.5, 
0-4, 2021-W20, 1, 0.5, 1
0-4, 2021-W21, -1, -0.5, 
0-4, 2021-W22, , , 
0-4, 2021-W23, , , 
0-4, 2021-W24, 1, 0.5, 1
0-4, 2021-W25, , , 1
0-4, 2021-W26, -1, -0.5, 
0-4, 2021-W27, , , 
0-4, 2021-W28, , , 
0-4, 2021-W29, , , 
0-4, 2021-W30, , , 
0-4, 2021-W31, , , 
0-4, 2021-W32, , , 
0-4, 2021-W33, , , 
0-4, 2021-W34, 1, 0.5, 1
0-4, 2021-W35, , , 1
0-4, 2021-W36, -1, -0.5, 
0-4, 2021-W37, , , 
0-4, 2021-W38, , , 
0-4, 2021-W39, , , 
0-4, 2021-W40, , , 
0-4, 2021-W41, , , 
0-4, 2021-W42, 1, 0.5, 1
0-4, 2021-W43, -1, -0.5, 
0-4, 2021-W44, , , 
0-4, 2021-W45, , , 
0-4, 2021-W46, , , 
0-4, 2021-W47, , , 
0-4, 2021-W48, , , 
0-4, 2021-W49, 1, 0.5, 1
0-4, 2021-W50, , , 1
0-4, 2021-W51, -1, -0.5, 
0-4, 2021-W52, , , 
0-4, 2022-W01, , , 
0-4, 2022-W02, 2, 1, 2
0-4, 2022-W03, -1, -0.5, 1
0-4, 2022-W04, -1, -0.5, 
0-4, 2022-W05, , , 
0-4, 2022-W06, 3, 1.5, 3
0-4, 2022-W07, -2, -1, 1
0-4, 2022-W08, , , 1
0-4, 2022-W09, -1, -0.5, 
0-4, 2022-W10, , , 
0-4, 2022-W11, 1, 0.5, 1
0-4, 2022-W12, -1, -0.5, 
0-4, 2022-W13, 1, 0.5, 1
0-4, 2022-W14, -1, -0.5, 
0-4, 2022-W15, 2, 1, 2
0-4, 2022-W16, -2, -1, 
0-4, 2022-W17, , , 
0-4, 2022-W18, , , 
0-4, 2022-W19, 2, 1, 2
0-4, 2022-W20, -2, -1, 
0-4, 2022-W21, , , 
0-4, 2022-W22, , , 
0-4, 2022-W23, 2, 1, 2
0-4, 2022-W24, -2, -1, 
0-4, 2022-W25, 1, 0.5, 1
0-4, 2022-W26, , , 1
0-4, 2022-W27, -1, -0.5, 
0-4, 2022-W28, 2, 1, 2
0-4, 2022-W29, -2, -1, 
0-4, 2022-W30, , , 
0-4, 2022-W31, , , 
0-4, 2022-W32, , , 
0-4, 2022-W33, , , 
0-4, 2022-W34, 1, 0.5, 1
0-4, 2022-W35, -1, -0.5, 
0-4, 2022-W36, , , 
0-4, 2022-W37, 1, 0.5, 1
0-4, 2022-W38, -1, -0.5, 
0-4, 2022-W39, , , 
0-4, 2022-W40, 1, 0.5, 1
0-4, 2022-W41, -1, -0.5, 
0-4, 2022-W42, , , 
