Altersgruppe, Week, difference, trend, value
5-14, 2020-12, , , 2.9
5-14, 2020-13, 2.9, 0.2071, 5.8
5-14, 2020-14, 1, 0.0714, 6.8
5-14, 2020-15, 0.4, 0.0286, 7.2
5-14, 2020-16, -1.3, -0.1733, 5.9
5-14, 2020-17, -1.6, -0.2133, 4.3
5-14, 2020-18, -1.6, -0.2133, 2.7
5-14, 2020-19, -0.2, -0.0267, 2.5
5-14, 2020-20, -0.7, -0.0933, 1.8
5-14, 2020-21, -0.6, -0.08, 1.2
5-14, 2020-22, 0.3, 0.0214, 1.5
5-14, 2020-23, -0.1, -0.0133, 1.4
5-14, 2020-24, , , 1.4
5-14, 2020-25, 0.2, 0.0143, 1.6
5-14, 2020-26, -1, -0.1333, 0.6
5-14, 2020-27, 0.1, 0.0071, 0.7
5-14, 2020-28, -0.2, -0.0267, 0.5
5-14, 2020-29, 0.1, 0.0071, 0.6
5-14, 2020-30, 0.1, 0.0071, 0.7
5-14, 2020-31, 0.5, 0.0357, 1.2
5-14, 2020-32, 0.2, 0.0143, 1.4
5-14, 2020-33, -0.1, -0.0133, 1.3
5-14, 2020-34, -0.4, -0.0533, 0.9
5-14, 2020-35, -0.2, -0.0267, 0.7
5-14, 2020-36, , , 0.7
5-14, 2020-37, 0.2, 0.0143, 0.9
5-14, 2020-38, 0.2, 0.0143, 1.1
5-14, 2020-39, -0.1, -0.0133, 1
5-14, 2020-40, 0.3, 0.0214, 1.3
5-14, 2020-41, 0.6, 0.0429, 1.9
5-14, 2020-42, 1, 0.0714, 2.9
5-14, 2020-43, 2.2, 0.1571, 5.1
5-14, 2020-44, 1.7, 0.1214, 6.8
5-14, 2020-45, 0.5, 0.0357, 7.3
5-14, 2020-46, 0.7, 0.05, 8
5-14, 2020-47, -0.2, -0.0267, 7.8
5-14, 2020-48, -0.2, -0.0267, 7.6
5-14, 2020-49, 0.9, 0.0643, 8.5
5-14, 2020-50, 0.8, 0.0571, 9.3
5-14, 2020-51, -0.5, -0.0667, 8.8
5-14, 2020-52, 1.1, 0.0786, 9.9
5-14, 2020-53, 5.4, 0.3857, 15.3
5-14, 2021-01, -0.4, -0.0533, 14.9
5-14, 2021-02, -2.2, -0.2933, 12.7
5-14, 2021-03, -0.5, -0.0667, 12.2
5-14, 2021-04, -1.5, -0.2, 10.7
5-14, 2021-05, -0.8, -0.1067, 9.9
5-14, 2021-06, -0.5, -0.0667, 9.4
5-14, 2021-07, 0.1, 0.0071, 9.5
5-14, 2021-08, 0.4, 0.0286, 9.9
5-14, 2021-09, -0.3, -0.04, 9.6
5-14, 2021-10, -1.2, -0.16, 8.4
5-14, 2021-11, -0.1, -0.0133, 8.3
5-14, 2021-12, 1.4, 0.1, 9.7
5-14, 2021-13, 1.8, 0.1286, 11.5
5-14, 2021-14, 4.9, 0.35, 16.4
