Altersgruppe, Meldedatum, value
60-79, 2023-01-16, 9.39
60-79, 2023-01-15, 9.74
60-79, 2023-01-14, 10.08
60-79, 2023-01-13, 10.93
60-79, 2023-01-12, 12.24
60-79, 2023-01-11, 13.37
60-79, 2023-01-10, 14.56
60-79, 2023-01-09, 15.84
60-79, 2023-01-08, 15.98
60-79, 2023-01-07, 16.21
60-79, 2023-01-06, 17.47
60-79, 2023-01-05, 18.67
60-79, 2023-01-04, 20.1
60-79, 2023-01-03, 22.92
60-79, 2023-01-02, 18.61
60-79, 2023-01-01, 18.84
60-79, 2022-12-31, 19.03
60-79, 2022-12-30, 19.82
60-79, 2022-12-29, 20.37
60-79, 2022-12-28, 20.91
60-79, 2022-12-27, 20.46
60-79, 2022-12-26, 26.28
60-79, 2022-12-25, 26.48
60-79, 2022-12-24, 26.54
60-79, 2022-12-23, 26.33
60-79, 2022-12-22, 25.97
60-79, 2022-12-21, 25.28
60-79, 2022-12-20, 24.14
60-79, 2022-12-19, 23.69
60-79, 2022-12-18, 23.59
60-79, 2022-12-17, 23.56
60-79, 2022-12-16, 23.41
60-79, 2022-12-15, 22.8
60-79, 2022-12-14, 22.17
60-79, 2022-12-13, 21.45
60-79, 2022-12-12, 20.33
60-79, 2022-12-11, 20.3
60-79, 2022-12-10, 20.08
60-79, 2022-12-09, 19.35
60-79, 2022-12-08, 18.94
60-79, 2022-12-07, 18.43
60-79, 2022-12-06, 17.72
60-79, 2022-12-05, 17.15
60-79, 2022-12-04, 16.98
60-79, 2022-12-03, 16.94
60-79, 2022-12-02, 16.77
60-79, 2022-12-01, 16.37
60-79, 2022-11-30, 15.87
60-79, 2022-11-29, 15.48
60-79, 2022-11-28, 14.85
60-79, 2022-11-27, 14.68
60-79, 2022-11-26, 14.66
60-79, 2022-11-25, 14.31
60-79, 2022-11-24, 14.03
60-79, 2022-11-23, 13.84
60-79, 2022-11-22, 13.42
60-79, 2022-11-21, 12.98
60-79, 2022-11-20, 12.99
60-79, 2022-11-19, 12.95
60-79, 2022-11-18, 13.14
60-79, 2022-11-17, 13.17
60-79, 2022-11-16, 13.52
60-79, 2022-11-15, 13.88
60-79, 2022-11-14, 14.47
60-79, 2022-11-13, 14.54
60-79, 2022-11-12, 14.74
60-79, 2022-11-11, 15
60-79, 2022-11-10, 15.81
60-79, 2022-11-09, 17.24
60-79, 2022-11-08, 17.43
60-79, 2022-11-07, 16.57
60-79, 2022-11-06, 16.75
60-79, 2022-11-05, 16.76
60-79, 2022-11-04, 17.23
60-79, 2022-11-03, 17.83
60-79, 2022-11-02, 17.76
60-79, 2022-11-01, 19.67
60-79, 2022-10-31, 23.57
60-79, 2022-10-30, 23.86
60-79, 2022-10-29, 24.21
60-79, 2022-10-28, 25.35
60-79, 2022-10-27, 26.58
60-79, 2022-10-26, 27.53
60-79, 2022-10-25, 29.32
60-79, 2022-10-24, 31.52
60-79, 2022-10-23, 31.75
60-79, 2022-10-22, 32.03
60-79, 2022-10-21, 32.88
60-79, 2022-10-20, 33.59
60-79, 2022-10-19, 34.89
60-79, 2022-10-18, 34.71
60-79, 2022-10-17, 34.06
60-79, 2022-10-16, 34.01
60-79, 2022-10-15, 33.98
60-79, 2022-10-14, 33.62
60-79, 2022-10-13, 33.43
60-79, 2022-10-12, 33.82
60-79, 2022-10-11, 35.88
60-79, 2022-10-10, 28.6
60-79, 2022-10-09, 28.35
60-79, 2022-10-08, 27.99
60-79, 2022-10-07, 26.64
