Altersgruppe, Meldedatum, value, difference, trend
5-14, 2020-03-02, , , 
5-14, 2020-03-03, , , 
5-14, 2020-03-04, 0.1, , 
5-14, 2020-03-05, 0.1, , 
5-14, 2020-03-06, 0.2, , 
5-14, 2020-03-07, 0.3, , 
5-14, 2020-03-08, 0.3, , 
5-14, 2020-03-09, 0.4, , 
5-14, 2020-03-10, 0.5, 0.1048, 0.0006
5-14, 2020-03-11, 0.7, 0.2883, 0.0015
5-14, 2020-03-12, 1, 0.6028, 0.0032
5-14, 2020-03-13, 1.1, 0.6945, 0.0037
5-14, 2020-03-14, 1.6, 0.8124, 0.0043
5-14, 2020-03-15, 1.9, 0.9959, 0.0053
5-14, 2020-03-16, 2.1, 1.3497, 0.0072
5-14, 2020-03-17, 2.5, 1.5593, 0.0083
5-14, 2020-03-18, 3.2, 1.5986, 0.0085
5-14, 2020-03-19, 3.6, 1.8345, 0.0098
5-14, 2020-03-20, 4.2, 2.2931, 0.0122
5-14, 2020-03-21, 4.9, 2.411, 0.0129
5-14, 2020-03-22, 5.3, 2.4372, 0.013
5-14, 2020-03-23, 5.5, 2.7255, 0.0145
5-14, 2020-03-24, 5.9, 2.9352, 0.0157
5-14, 2020-03-25, 6.1, 2.8041, 0.015
5-14, 2020-03-26, 6.8, 2.6207, 0.014
5-14, 2020-03-27, 7.3, 2.6993, 0.0144
5-14, 2020-03-28, 7.6, 2.909, 0.0155
5-14, 2020-03-29, 8, 3.1579, 0.0169
5-14, 2020-03-30, 8.2, 2.9221, 0.0156
5-14, 2020-03-31, 8.1, 2.4765, 0.0132
5-14, 2020-04-01, 8.8, 2.7386, 0.0146
5-14, 2020-04-02, 9.1, 2.3324, 0.0124
5-14, 2020-04-03, 9.4, 2.0834, 0.0111
5-14, 2020-04-04, 9.6, 1.7559, 0.0094
5-14, 2020-04-05, 9.6, 1.7165, 0.0092
5-14, 2020-04-06, 9.5, 1.52, 0.0081
5-14, 2020-04-07, 9.5, 1.3628, 0.0073
5-14, 2020-04-08, 9.1, 0.2752, 0.0015
5-14, 2020-04-09, 8.7, 0.0655, 0.0003
5-14, 2020-04-10, 8.4, -0.5241, -0.0007
5-14, 2020-04-11, 7.6, -1.389, -0.002
5-14, 2020-04-12, 7.2, -2.4634, -0.0035
5-14, 2020-04-13, 7.1, -2.5814, -0.0036
5-14, 2020-04-14, 6.7, -2.6207, -0.0037
5-14, 2020-04-15, 6, -2.6993, -0.0038
5-14, 2020-04-16, 5.5, -2.8959, -0.0041
5-14, 2020-04-17, 5.3, -2.9483, -0.0042
5-14, 2020-04-18, 5.6, -1.9524, -0.0028
5-14, 2020-04-19, 5.3, -1.5855, -0.0022
5-14, 2020-04-20, 5.2, -1.5069, -0.0021
5-14, 2020-04-21, 5.2, -1.0876, -0.0015
5-14, 2020-04-22, 5.5, -0.2752, -0.0004
5-14, 2020-04-23, 5.4, 0.131, 0.0007
5-14, 2020-04-24, 5.3, 0.1703, 0.0009
5-14, 2020-04-25, 5, -0.3145, -0.0004
5-14, 2020-04-26, 4.7, -0.1966, -0.0003
5-14, 2020-04-27, 4.5, -0.4193, -0.0006
5-14, 2020-04-28, 4.6, -0.5241, -0.0007
5-14, 2020-04-29, 4.2, -1.0352, -0.0015
5-14, 2020-04-30, 4, -1.2972, -0.0018
5-14, 2020-05-01, 3.7, -1.1793, -0.0017
5-14, 2020-05-02, 3.3, -1.4021, -0.002
5-14, 2020-05-03, 3.4, -1.4021, -0.002
5-14, 2020-05-04, 3.4, -0.9565, -0.0014
5-14, 2020-05-05, 3.2, -1.389, -0.002
5-14, 2020-05-06, 3.1, -0.9959, -0.0014
5-14, 2020-05-07, 3.1, -0.7862, -0.0011
5-14, 2020-05-08, 3.1, -0.7338, -0.001
