Altersgruppe, Week, difference, trend, value
60-79, 2020-W11, , , 5
60-79, 2020-W12, 2, 0.0136, 7
60-79, 2020-W13, 99, 0.6735, 106
60-79, 2020-W14, 213, 1.449, 319
60-79, 2020-W15, 111, 0.7551, 430
60-79, 2020-W16, 77, 0.5238, 507
60-79, 2020-W17, -75, -1, 432
60-79, 2020-W18, -146, -1.9467, 286
60-79, 2020-W19, -59, -0.7867, 227
60-79, 2020-W20, -59, -0.7867, 168
60-79, 2020-W21, -58, -0.7733, 110
60-79, 2020-W22, -22, -0.2933, 88
60-79, 2020-W23, -31, -0.4133, 57
60-79, 2020-W24, -12, -0.16, 45
60-79, 2020-W25, -10, -0.1333, 35
60-79, 2020-W26, -12, -0.16, 23
60-79, 2020-W27, -2, -0.0267, 21
60-79, 2020-W28, 4, 0.0272, 25
60-79, 2020-W29, -14, -0.1867, 11
60-79, 2020-W30, -4, -0.0533, 7
60-79, 2020-W31, 2, 0.0136, 9
60-79, 2020-W32, 5, 0.034, 14
60-79, 2020-W33, -3, -0.04, 11
60-79, 2020-W34, -4, -0.0533, 7
60-79, 2020-W35, 9, 0.0612, 16
60-79, 2020-W36, , , 16
60-79, 2020-W37, -3, -0.04, 13
60-79, 2020-W38, -1, -0.0133, 12
60-79, 2020-W39, 13, 0.0884, 25
60-79, 2020-W40, -9, -0.12, 16
60-79, 2020-W41, 16, 0.1088, 32
60-79, 2020-W42, 9, 0.0612, 41
60-79, 2020-W43, 24, 0.1633, 65
60-79, 2020-W44, 57, 0.3878, 122
60-79, 2020-W45, 95, 0.6463, 217
60-79, 2020-W46, 86, 0.585, 303
60-79, 2020-W47, 112, 0.7619, 415
60-79, 2020-W48, 149, 1.0136, 564
60-79, 2020-W49, 138, 0.9388, 702
60-79, 2020-W50, 61, 0.415, 763
60-79, 2020-W51, 315, 2.1429, 1078
60-79, 2020-W52, -158, -2.1067, 920
60-79, 2020-W53, 198, 1.3469, 1118
60-79, 2021-W01, 371, 2.5238, 1489
60-79, 2021-W02, 48, 0.3265, 1537
60-79, 2021-W03, -171, -2.28, 1366
60-79, 2021-W04, -72, -0.96, 1294
60-79, 2021-W05, -90, -1.2, 1204
60-79, 2021-W06, -266, -3.5467, 938
60-79, 2021-W07, -113, -1.5067, 825
60-79, 2021-W08, -189, -2.52, 636
60-79, 2021-W09, -50, -0.6667, 586
60-79, 2021-W10, -110, -1.4667, 476
60-79, 2021-W11, -45, -0.6, 431
60-79, 2021-W12, -10, -0.1333, 421
60-79, 2021-W13, -56, -0.7467, 365
60-79, 2021-W14, 166, 1.1293, 531
60-79, 2021-W15, 106, 0.7211, 637
60-79, 2021-W16, 67, 0.4558, 704
60-79, 2021-W17, 45, 0.3061, 749
60-79, 2021-W18, -69, -0.92, 680
60-79, 2021-W19, -102, -1.36, 578
60-79, 2021-W20, 30, 0.2041, 608
60-79, 2021-W21, -143, -1.9067, 465
60-79, 2021-W22, -101, -1.3467, 364
60-79, 2021-W23, -87, -1.16, 277
60-79, 2021-W24, -58, -0.7733, 219
60-79, 2021-W25, -51, -0.68, 168
60-79, 2021-W26, -41, -0.5467, 127
60-79, 2021-W27, -37, -0.4933, 90
60-79, 2021-W28, -25, -0.3333, 65
60-79, 2021-W29, -6, -0.08, 59
60-79, 2021-W30, -2, -0.0267, 57
60-79, 2021-W31, -11, -0.1467, 46
60-79, 2021-W32, -3, -0.04, 43
60-79, 2021-W33, 4, 0.0272, 47
60-79, 2021-W34, 13, 0.0884, 60
60-79, 2021-W35, 16, 0.1088, 76
60-79, 2021-W36, 8, 0.0544, 84
60-79, 2021-W37, 46, 0.3129, 130
60-79, 2021-W38, 2, 0.0136, 132
60-79, 2021-W39, 11, 0.0748, 143
60-79, 2021-W40, -3, -0.04, 140
60-79, 2021-W41, -3, -0.04, 137
60-79, 2021-W42, 5, 0.034, 142
60-79, 2021-W43, 46, 0.3129, 188
60-79, 2021-W44, 49, 0.3333, 237
60-79, 2021-W45, 70, 0.4762, 307
60-79, 2021-W46, 114, 0.7755, 421
60-79, 2021-W47, 138, 0.9388, 559
60-79, 2021-W48, 117, 0.7959, 676
60-79, 2021-W49, 145, 0.9864, 821
60-79, 2021-W50, 101, 0.6871, 922
60-79, 2021-W51, -177, -2.36, 745
60-79, 2021-W52, -53, -0.7067, 692
60-79, 2022-W01, -67, -0.8933, 625
60-79, 2022-W02, -30, -0.4, 595
60-79, 2022-W03, -177, -2.36, 418
60-79, 2022-W04, -89, -1.1867, 329
60-79, 2022-W05, -6, -0.08, 323
60-79, 2022-W06, 52, 0.3537, 375
60-79, 2022-W07, 3, 0.0204, 378
60-79, 2022-W08, 26, 0.1769, 404
60-79, 2022-W09, -1, -0.0133, 403
60-79, 2022-W10, -16, -0.2133, 387
60-79, 2022-W11, -8, -0.1067, 379
60-79, 2022-W12, 28, 0.1905, 407
60-79, 2022-W13, 30, 0.2041, 437
60-79, 2022-W14, 52, 0.3537, 489
60-79, 2022-W15, -158, -2.1067, 331
60-79, 2022-W16, 11, 0.0748, 342
60-79, 2022-W17, -11, -0.1467, 331
60-79, 2022-W18, -37, -0.4933, 294
60-79, 2022-W19, -32, -0.4267, 262
60-79, 2022-W20, -35, -0.4667, 227
60-79, 2022-W21, -47, -0.6267, 180
60-79, 2022-W22, -14, -0.1867, 166
60-79, 2022-W23, -37, -0.4933, 129
60-79, 2022-W24, -4, -0.0533, 125
60-79, 2022-W25, 54, 0.3673, 179
60-79, 2022-W26, -1, -0.0133, 178
60-79, 2022-W27, -4, -0.0533, 174
60-79, 2022-W28, 12, 0.0816, 186
60-79, 2022-W29, 3, 0.0204, 189
60-79, 2022-W30, 33, 0.2245, 222
60-79, 2022-W31, 22, 0.1497, 244
60-79, 2022-W32, -15, -0.2, 229
60-79, 2022-W33, 12, 0.0816, 241
60-79, 2022-W34, -75, -1, 166
60-79, 2022-W35, 16, 0.1088, 182
60-79, 2022-W36, -18, -0.24, 164
60-79, 2022-W37, 23, 0.1565, 187
60-79, 2022-W38, -43, -0.5733, 144
60-79, 2022-W39, 24, 0.1633, 168
60-79, 2022-W40, -46, -0.6133, 122
60-79, 2022-W41, 112, 0.7619, 234
60-79, 2022-W42, 63, 0.4286, 297
60-79, 2022-W43, -10, -0.1333, 287
60-79, 2022-W44, 1, 0.0068, 288
60-79, 2022-W45, 3, 0.0204, 291
60-79, 2022-W46, -8, -0.1067, 283
60-79, 2022-W47, -58, -0.7733, 225
