Altersgruppe, Week, difference, trend, value
15-34, 2020-12, , , 7.4
15-34, 2020-13, 0.7, 0.0614, 8.1
15-34, 2020-14, -0.2, -0.0238, 7.9
15-34, 2020-15, -0.8, -0.0952, 7.1
15-34, 2020-16, -1.4, -0.1667, 5.7
15-34, 2020-17, -0.9, -0.1071, 4.8
15-34, 2020-18, -1.5, -0.1786, 3.3
15-34, 2020-19, -1, -0.119, 2.3
15-34, 2020-20, -0.4, -0.0476, 1.9
15-34, 2020-21, -0.3, -0.0357, 1.6
15-34, 2020-22, -0.3, -0.0357, 1.3
15-34, 2020-23, -0.2, -0.0238, 1.1
15-34, 2020-24, 0.1, 0.0088, 1.2
15-34, 2020-25, 0.1, 0.0088, 1.3
15-34, 2020-26, -0.4, -0.0476, 0.9
15-34, 2020-27, -0.1, -0.0119, 0.8
15-34, 2020-28, , , 0.8
15-34, 2020-29, 0.1, 0.0088, 0.9
15-34, 2020-30, , , 0.9
15-34, 2020-31, 0.3, 0.0263, 1.2
15-34, 2020-32, 0.2, 0.0175, 1.4
15-34, 2020-33, 0.1, 0.0088, 1.5
15-34, 2020-34, -0.2, -0.0238, 1.3
15-34, 2020-35, -0.2, -0.0238, 1.1
15-34, 2020-36, , , 1.1
15-34, 2020-37, 0.1, 0.0088, 1.2
15-34, 2020-38, 0.3, 0.0263, 1.5
15-34, 2020-39, -0.1, -0.0119, 1.4
15-34, 2020-40, 0.4, 0.0351, 1.8
15-34, 2020-41, 0.7, 0.0614, 2.5
15-34, 2020-42, 1.4, 0.1228, 3.9
15-34, 2020-43, 2.2, 0.193, 6.1
15-34, 2020-44, 1.4, 0.1228, 7.5
15-34, 2020-45, 0.7, 0.0614, 8.2
15-34, 2020-46, 0.9, 0.0789, 9.1
15-34, 2020-47, 0.1, 0.0088, 9.2
15-34, 2020-48, -0.5, -0.0595, 8.7
15-34, 2020-49, 0.8, 0.0702, 9.5
15-34, 2020-50, 0.8, 0.0702, 10.3
15-34, 2020-51, -0.8, -0.0952, 9.5
15-34, 2020-52, 1.4, 0.1228, 10.9
15-34, 2020-53, 3.4, 0.2982, 14.3
15-34, 2021-01, -1.8, -0.2143, 12.5
15-34, 2021-02, -2.8, -0.3333, 9.7
15-34, 2021-03, -0.9, -0.1071, 8.8
15-34, 2021-04, -1, -0.119, 7.8
15-34, 2021-05, -1.1, -0.131, 6.7
15-34, 2021-06, -0.8, -0.0952, 5.9
15-34, 2021-07, , , 5.9
15-34, 2021-08, 0.6, 0.0526, 6.5
15-34, 2021-09, , , 6.5
15-34, 2021-10, 0.9, 0.0789, 7.4
15-34, 2021-11, 1.4, 0.1228, 8.8
15-34, 2021-12, 1.5, 0.1316, 10.3
15-34, 2021-13, 1.7, 0.1491, 12
15-34, 2021-14, 1.7, 0.1491, 13.7
15-34, 2021-15, 0.2, 0.0175, 13.9
15-34, 2021-16, 0.2, 0.0175, 14.1
15-34, 2021-17, -1.4, -0.1667, 12.7
15-34, 2021-18, -1.2, -0.1429, 11.5
15-34, 2021-19, -1, -0.119, 10.5
15-34, 2021-20, -2.8, -0.3333, 7.7
15-34, 2021-21, -2, -0.2381, 5.7
15-34, 2021-22, -1.3, -0.1548, 4.4
15-34, 2021-23, -1, -0.119, 3.4
15-34, 2021-24, -1.3, -0.1548, 2.1
15-34, 2021-25, -0.6, -0.0714, 1.5
15-34, 2021-26, -0.2, -0.0238, 1.3
