Altersgruppe, Meldedatum, value
60-79, 2022-10-19, 20.24
60-79, 2022-10-18, 23.65
60-79, 2022-10-17, 25.72
60-79, 2022-10-16, 26.01
60-79, 2022-10-15, 26.33
60-79, 2022-10-14, 26.85
60-79, 2022-10-13, 27.52
60-79, 2022-10-12, 28.57
60-79, 2022-10-11, 31.16
60-79, 2022-10-10, 25.14
60-79, 2022-10-09, 25.05
60-79, 2022-10-08, 24.82
60-79, 2022-10-07, 23.8
60-79, 2022-10-06, 22.32
60-79, 2022-10-05, 19.98
60-79, 2022-10-04, 15.99
60-79, 2022-10-03, 19.05
60-79, 2022-10-02, 18.79
60-79, 2022-10-01, 18.65
60-79, 2022-09-30, 17.81
60-79, 2022-09-29, 16.78
60-79, 2022-09-28, 15.73
60-79, 2022-09-27, 13.9
60-79, 2022-09-26, 12.18
60-79, 2022-09-25, 11.88
60-79, 2022-09-24, 11.55
60-79, 2022-09-23, 10.79
60-79, 2022-09-22, 10.1
60-79, 2022-09-21, 9.31
60-79, 2022-09-20, 8.87
60-79, 2022-09-19, 8.54
60-79, 2022-09-18, 8.54
60-79, 2022-09-17, 8.47
60-79, 2022-09-16, 8.43
60-79, 2022-09-15, 8.16
60-79, 2022-09-14, 8.02
60-79, 2022-09-13, 7.98
60-79, 2022-09-12, 7.59
60-79, 2022-09-11, 7.66
60-79, 2022-09-10, 7.76
60-79, 2022-09-09, 7.57
60-79, 2022-09-08, 7.5
60-79, 2022-09-07, 7.58
60-79, 2022-09-06, 7.62
60-79, 2022-09-05, 8.08
60-79, 2022-09-04, 8.07
60-79, 2022-09-03, 8.06
60-79, 2022-09-02, 8.23
60-79, 2022-09-01, 8.56
60-79, 2022-08-31, 8.69
60-79, 2022-08-30, 8.94
60-79, 2022-08-29, 9.1
60-79, 2022-08-28, 9.03
60-79, 2022-08-27, 9.14
60-79, 2022-08-26, 9.51
60-79, 2022-08-25, 9.77
60-79, 2022-08-24, 10.08
60-79, 2022-08-23, 11.13
60-79, 2022-08-22, 11.4
60-79, 2022-08-21, 11.61
60-79, 2022-08-20, 11.61
60-79, 2022-08-19, 11.93
60-79, 2022-08-18, 12.1
60-79, 2022-08-17, 12.23
60-79, 2022-08-16, 11.63
60-79, 2022-08-15, 11.89
60-79, 2022-08-14, 11.87
60-79, 2022-08-13, 11.93
60-79, 2022-08-12, 12.11
60-79, 2022-08-11, 12.44
60-79, 2022-08-10, 12.79
60-79, 2022-08-09, 13.52
60-79, 2022-08-08, 14.47
60-79, 2022-08-07, 14.5
60-79, 2022-08-06, 14.65
60-79, 2022-08-05, 14.84
60-79, 2022-08-04, 15.26
60-79, 2022-08-03, 15.8
60-79, 2022-08-02, 16.48
60-79, 2022-08-01, 17.31
60-79, 2022-07-31, 17.53
60-79, 2022-07-30, 17.72
60-79, 2022-07-29, 18.3
60-79, 2022-07-28, 19
60-79, 2022-07-27, 19.26
60-79, 2022-07-26, 19.05
60-79, 2022-07-25, 18.42
60-79, 2022-07-24, 18.36
60-79, 2022-07-23, 18.23
60-79, 2022-07-22, 18.31
60-79, 2022-07-21, 18.07
60-79, 2022-07-20, 17.76
60-79, 2022-07-19, 17.4
60-79, 2022-07-18, 17.62
60-79, 2022-07-17, 17.62
60-79, 2022-07-16, 17.53
60-79, 2022-07-15, 16.82
60-79, 2022-07-14, 16.12
60-79, 2022-07-13, 15.98
60-79, 2022-07-12, 15.59
60-79, 2022-07-11, 14.65
60-79, 2022-07-10, 14.52
60-79, 2022-07-09, 14.5
60-79, 2022-07-08, 14.25
60-79, 2022-07-07, 13.88
60-79, 2022-07-06, 13.33
60-79, 2022-07-05, 13.33
60-79, 2022-07-04, 13.18
60-79, 2022-07-03, 13.14
60-79, 2022-07-02, 13.05
60-79, 2022-07-01, 12.74
60-79, 2022-06-30, 12.45
60-79, 2022-06-29, 12.27
60-79, 2022-06-28, 11.88
60-79, 2022-06-27, 11.67
60-79, 2022-06-26, 11.57
60-79, 2022-06-25, 11.53
60-79, 2022-06-24, 11.67
60-79, 2022-06-23, 10.72
60-79, 2022-06-22, 10.15
60-79, 2022-06-21, 9.5
60-79, 2022-06-20, 8.49
60-79, 2022-06-19, 8.39
60-79, 2022-06-18, 8.24
60-79, 2022-06-17, 7.59
60-79, 2022-06-16, 8.07
60-79, 2022-06-15, 8.05
60-79, 2022-06-14, 8.49
60-79, 2022-06-13, 6.75
60-79, 2022-06-12, 6.68
60-79, 2022-06-11, 6.75
60-79, 2022-06-10, 6.44
60-79, 2022-06-09, 6.08
60-79, 2022-06-08, 5.57
60-79, 2022-06-07, 4.52
60-79, 2022-06-06, 5.36
60-79, 2022-06-05, 5.3
60-79, 2022-06-04, 5.07
60-79, 2022-06-03, 5.11
60-79, 2022-06-02, 4.44
60-79, 2022-06-01, 4.39
60-79, 2022-05-31, 4.46
60-79, 2022-05-30, 4.63
60-79, 2022-05-29, 4.71
60-79, 2022-05-28, 4.92
60-79, 2022-05-27, 4.96
60-79, 2022-05-26, 5.77
60-79, 2022-05-25, 6.16
60-79, 2022-05-24, 6.44
60-79, 2022-05-23, 6.65
60-79, 2022-05-22, 6.64
60-79, 2022-05-21, 6.6
60-79, 2022-05-20, 6.94
60-79, 2022-05-19, 7.35
60-79, 2022-05-18, 7.64
60-79, 2022-05-17, 7.76
60-79, 2022-05-16, 8.34
60-79, 2022-05-15, 8.41
60-79, 2022-05-14, 8.59
60-79, 2022-05-13, 8.76
60-79, 2022-05-12, 9
60-79, 2022-05-11, 9.16
60-79, 2022-05-10, 9.7
60-79, 2022-05-09, 9.58
60-79, 2022-05-08, 9.68
60-79, 2022-05-07, 9.71
