Altersgruppe, Meldedatum, value, difference, trend
0-4, 2020-03-02, 0.1, , 
0-4, 2020-03-03, 0.1, , 
0-4, 2020-03-04, 0.1, , 
0-4, 2020-03-05, 0.1, , 
0-4, 2020-03-06, 0.2, , 
0-4, 2020-03-07, 0.2, , 
0-4, 2020-03-08, 0.2, , 
0-4, 2020-03-09, 0.2, , 
0-4, 2020-03-10, 0.3, 0.0503, 0.0004
0-4, 2020-03-11, 0.4, 0.1258, 0.001
0-4, 2020-03-12, 0.5, 0.327, 0.0026
0-4, 2020-03-13, 0.5, 0.3773, 0.003
0-4, 2020-03-14, 0.5, 0.4276, 0.0034
0-4, 2020-03-15, 0.8, 0.4276, 0.0034
0-4, 2020-03-16, 0.9, 0.6037, 0.0048
0-4, 2020-03-17, 1, 0.8553, 0.0068
0-4, 2020-03-18, 1.3, 0.9559, 0.0077
0-4, 2020-03-19, 1.9, 1.132, 0.0091
0-4, 2020-03-20, 2.5, 1.4842, 0.0119
0-4, 2020-03-21, 2.9, 1.7609, 0.0141
0-4, 2020-03-22, 3.3, 1.5848, 0.0127
0-4, 2020-03-23, 3.6, 2.0124, 0.0161
0-4, 2020-03-24, 4.1, 2.5658, 0.0205
0-4, 2020-03-25, 4.8, 2.6413, 0.0211
0-4, 2020-03-26, 4.8, 2.44, 0.0195
0-4, 2020-03-27, 5.3, 2.2388, 0.0179
0-4, 2020-03-28, 5.9, 2.5658, 0.0205
0-4, 2020-03-29, 6.2, 2.8425, 0.0228
0-4, 2020-03-30, 6.4, 3.0689, 0.0246
0-4, 2020-03-31, 6.1, 2.3143, 0.0185
0-4, 2020-04-01, 6.1, 1.9873, 0.0159
0-4, 2020-04-02, 6.8, 2.3897, 0.0191
0-4, 2020-04-03, 6.8, 2.2137, 0.0177
0-4, 2020-04-04, 6.9, 1.8615, 0.0149
0-4, 2020-04-05, 6.7, 1.8363, 0.0147
0-4, 2020-04-06, 6.7, 1.1823, 0.0095
0-4, 2020-04-07, 7, 1.2829, 0.0103
0-4, 2020-04-08, 7.4, 1.0817, 0.0087
0-4, 2020-04-09, 7.1, 0.2264, 0.0018
0-4, 2020-04-10, 6.5, -0.1761, -0.0006
0-4, 2020-04-11, 6.1, -1.0062, -0.0035
0-4, 2020-04-12, 6.4, -1.2829, -0.0045
0-4, 2020-04-13, 6, -1.5848, -0.0055
0-4, 2020-04-14, 5.5, -1.9621, -0.0068
0-4, 2020-04-15, 4.7, -2.7168, -0.0095
0-4, 2020-04-16, 4, -2.7671, -0.0096
0-4, 2020-04-17, 4.4, -2.3394, -0.0081
0-4, 2020-04-18, 4.3, -1.5596, -0.0054
0-4, 2020-04-19, 3.9, -2.1885, -0.0076
0-4, 2020-04-20, 4, -1.7609, -0.0061
0-4, 2020-04-21, 4.3, -1.3835, -0.0048
0-4, 2020-04-22, 4.3, -0.3019, -0.0011
0-4, 2020-04-23, 4.7, 0.5786, 0.0046
0-4, 2020-04-24, 4.5, 0.1006, 0.0008
0-4, 2020-04-25, 4.6, -0.1258, -0.0004
0-4, 2020-04-26, 4.6, 0.805, 0.0064
0-4, 2020-04-27, 4.7, 0.5031, 0.004
0-4, 2020-04-28, 4.5, 0.4025, 0.0032
0-4, 2020-04-29, 4.7, 0.3773, 0.003
0-4, 2020-04-30, 4.2, -0.7295, -0.0025
0-4, 2020-05-01, 3.9, -0.4025, -0.0014
0-4, 2020-05-02, 3.5, -0.7043, -0.0025
0-4, 2020-05-03, 3.4, -1.1068, -0.0039
0-4, 2020-05-04, 3.3, -1.0817, -0.0038
0-4, 2020-05-05, 3.5, -1.0565, -0.0037
0-4, 2020-05-06, 3.4, -1.2326, -0.0043
0-4, 2020-05-07, 3.7, -0.5283, -0.0018
0-4, 2020-05-08, 3.7, -0.3773, -0.0013
0-4, 2020-05-09, 3.7, 0.0252, 0.0002
0-4, 2020-05-10, 3.6, 0.1761, 0.0014
0-4, 2020-05-11, 3.5, , 
0-4, 2020-05-12, 3.2, -0.2516, -0.0009
0-4, 2020-05-13, 2.9, -0.3773, -0.0013
0-4, 2020-05-14, 2.8, -0.8301, -0.0029
0-4, 2020-05-15, 2.7, -0.6037, -0.0021
0-4, 2020-05-16, 2.6, -0.9559, -0.0033
0-4, 2020-05-17, 2.7, -0.9307, -0.0032
0-4, 2020-05-18, 2.9, -0.6792, -0.0024
0-4, 2020-05-19, 3.1, -0.3019, -0.0011
0-4, 2020-05-20, 3.4, 0.4025, 0.0032
0-4, 2020-05-21, 3.4, 0.6792, 0.0054
0-4, 2020-05-22, 3.4, 0.5786, 0.0046
0-4, 2020-05-23, 3.5, 0.8301, 0.0066
0-4, 2020-05-24, 3.2, 0.8301, 0.0066
0-4, 2020-05-25, 3.1, 0.6792, 0.0054
0-4, 2020-05-26, 2.8, 0.1761, 0.0014
0-4, 2020-05-27, 2.4, -0.8301, -0.0029
0-4, 2020-05-28, 2.1, -1.0314, -0.0036
0-4, 2020-05-29, 2.1, -1.2074, -0.0042
0-4, 2020-05-30, 1.9, -1.3332, -0.0046
0-4, 2020-05-31, 2.1, -1.2326, -0.0043
0-4, 2020-06-01, 2.2, -1.1823, -0.0041
0-4, 2020-06-02, 2, -1.0314, -0.0036
0-4, 2020-06-03, 2.2, -0.4276, -0.0015
0-4, 2020-06-04, 2.2, -0.0503, -0.0002
0-4, 2020-06-05, 2.4, 0.1761, 0.0014
0-4, 2020-06-06, 2.6, 0.6037, 0.0048
0-4, 2020-06-07, 2.6, 0.4779, 0.0038
0-4, 2020-06-08, 2.7, 0.4276, 0.0034
0-4, 2020-06-09, 3, 0.981, 0.0079
0-4, 2020-06-10, 2.8, 0.9056, 0.0072
0-4, 2020-06-11, 3.1, 0.805, 0.0064
0-4, 2020-06-12, 2.8, 0.5031, 0.004
0-4, 2020-06-13, 2.8, 0.1258, 0.001
0-4, 2020-06-14, 2.9, 0.1509, 0.0012
0-4, 2020-06-15, 2.7, 0.2012, 0.0016
0-4, 2020-06-16, 2.6, -0.1761, -0.0006
0-4, 2020-06-17, 2.9, -0.1258, -0.0004
0-4, 2020-06-18, 2.9, -0.3019, -0.0011
0-4, 2020-06-19, 3.3, 0.2012, 0.0016
0-4, 2020-06-20, 3.9, 0.8553, 0.0068
0-4, 2020-06-21, 3.9, 0.6792, 0.0054
0-4, 2020-06-22, 4, 1.0565, 0.0085
0-4, 2020-06-23, 4.1, 1.3332, 0.0107
0-4, 2020-06-24, 3.9, 0.981, 0.0079
0-4, 2020-06-25, 3.8, 1.0062, 0.0081
0-4, 2020-06-26, 3.6, 0.2012, 0.0016
0-4, 2020-06-27, 3.3, -0.4528, -0.0016
0-4, 2020-06-28, 3.3, -0.1509, -0.0005
0-4, 2020-06-29, 3.4, -0.5283, -0.0018
0-4, 2020-06-30, 3.4, -0.6792, -0.0024
0-4, 2020-07-01, 3.6, -0.2264, -0.0008
0-4, 2020-07-02, 3.7, -0.1509, -0.0005
0-4, 2020-07-03, 3.7, 0.3019, 0.0024
0-4, 2020-07-04, 3.6, 0.1509, 0.0012
0-4, 2020-07-05, 3.7, -0.0252, -0.0001
0-4, 2020-07-06, 3.6, -0.1258, -0.0004
0-4, 2020-07-07, 3.8, 0.0252, 0.0002
0-4, 2020-07-08, 3.7, 0.1006, 0.0008
0-4, 2020-07-09, 3.6, 0.1258, 0.001
0-4, 2020-07-10, 3.7, 0.0755, 0.0006
0-4, 2020-07-11, 3.8, 0.327, 0.0026
0-4, 2020-07-12, 3.9, 0.4276, 0.0034
0-4, 2020-07-13, 3.7, 0.5031, 0.004
0-4, 2020-07-14, 3.5, 0.0755, 0.0006
0-4, 2020-07-15, 3.4, -0.2767, -0.001
0-4, 2020-07-16, 3.4, -0.327, -0.0011
0-4, 2020-07-17, 3.7, -0.0755, -0.0003
0-4, 2020-07-18, 3.5, -0.2264, -0.0008
0-4, 2020-07-19, 3.4, -0.654, -0.0023
0-4, 2020-07-20, 3.5, -0.4276, -0.0015
0-4, 2020-07-21, 3.7, -0.0252, -0.0001
0-4, 2020-07-22, 3.7, 0.2516, 0.002
0-4, 2020-07-23, 3.7, 0.1509, 0.0012
0-4, 2020-07-24, 3.7, -0.0503, -0.0002
0-4, 2020-07-25, 4.2, 0.327, 0.0026
0-4, 2020-07-26, 4.2, 0.5786, 0.0046
0-4, 2020-07-27, 4, 0.3522, 0.0028
0-4, 2020-07-28, 3.9, 0.1509, 0.0012
0-4, 2020-07-29, 4.2, 0.3773, 0.003
0-4, 2020-07-30, 4.2, 0.6037, 0.0048
0-4, 2020-07-31, 4.1, 0.3773, 0.003
0-4, 2020-08-01, 3.7, -0.0252, -0.0001
0-4, 2020-08-02, 3.6, -0.0252, -0.0001
0-4, 2020-08-03, 3.8, 0.0503, 0.0004
0-4, 2020-08-04, 4.1, 0.327, 0.0026
0-4, 2020-08-05, 3.9, -0.1761, -0.0006
0-4, 2020-08-06, 3.9, -0.2516, -0.0009
0-4, 2020-08-07, 4.3, 0.0755, 0.0006
0-4, 2020-08-08, 4.6, 0.5283, 0.0042
0-4, 2020-08-09, 4.7, 0.7043, 0.0056
0-4, 2020-08-10, 4.7, 0.7295, 0.0058
0-4, 2020-08-11, 4.9, 0.5031, 0.004
0-4, 2020-08-12, 5.5, 1.2074, 0.0097
0-4, 2020-08-13, 6.4, 2.1633, 0.0173
0-4, 2020-08-14, 6.6, 2.2137, 0.0177
0-4, 2020-08-15, 6.7, 2.0376, 0.0163
0-4, 2020-08-16, 6.9, 2.0627, 0.0165
0-4, 2020-08-17, 6.9, 2.1885, 0.0175
0-4, 2020-08-18, 7.2, 2.2388, 0.0179
0-4, 2020-08-19, 7.4, 1.8363, 0.0147
0-4, 2020-08-20, 6.8, 0.4025, 0.0032
0-4, 2020-08-21, 6.7, -0.0755, -0.0003
0-4, 2020-08-22, 6.9, 0.2012, 0.0016
0-4, 2020-08-23, 7, 0.1509, 0.0012
0-4, 2020-08-24, 7.1, 0.1509, 0.0012
0-4, 2020-08-25, 6.8, -0.2516, -0.0009
0-4, 2020-08-26, 6.5, -0.7547, -0.0026
0-4, 2020-08-27, 6.4, -0.1761, -0.0006
0-4, 2020-08-28, 6, -0.327, -0.0011
0-4, 2020-08-29, 5.8, -0.8804, -0.0031
0-4, 2020-08-30, 5.7, -1.1571, -0.004
0-4, 2020-08-31, 5.6, -1.3332, -0.0046
0-4, 2020-09-01, 5.4, -1.2578, -0.0044
0-4, 2020-09-02, 5.2, -1.0314, -0.0036
0-4, 2020-09-03, 5.2, -1.2326, -0.0043
0-4, 2020-09-04, 5.4, -0.805, -0.0028
0-4, 2020-09-05, 5.5, -0.5786, -0.002
0-4, 2020-09-06, 5.6, -0.1761, -0.0006
0-4, 2020-09-07, 5.7, 0.1006, 0.0008
0-4, 2020-09-08, 5.8, 0.4779, 0.0038
