Meldedatum, difference, group, quantity, trend, value
2022-06-08, , steigend, 10, , 80
2022-06-15, -5, steigend, 12, -0.1166, 75
2022-06-22, 3.6, steigend, 14, 0.0841, 78.6
2022-06-29, , steigend, 14, , 78.6
2022-07-06, -42.9, steigend, 14, -1, 35.7
2022-07-13, , steigend, 14, , 35.7
2022-07-20, -14.3, steigend, 14, -0.3333, 21.4
2022-07-27, -14.3, steigend, 14, -0.3333, 7.1
2022-08-03, -7.1, steigend, 14, -0.1655, 
2022-08-10, , steigend, 14, , 
2022-08-17, 7.1, steigend, 14, 0.1659, 7.1
2022-08-24, 7.2, steigend, 14, 0.1682, 14.3
2022-08-31, 7.1, steigend, 14, 0.1659, 21.4
2022-09-07, 21.5, steigend, 14, 0.5023, 42.9
2022-09-14, 42.8, steigend, 14, 1, 85.7
2022-09-21, -7.1, steigend, 14, -0.1655, 78.6
2022-09-28, 14.3, steigend, 14, 0.3341, 92.9
2022-10-05, -7.2, steigend, 14, -0.1678, 85.7
2022-10-12, -37.6, steigend, 27, -0.8765, 48.1
2022-10-19, -12.4, steigend, 28, -0.289, 35.7
2022-10-26, -28.8, steigend, 29, -0.6713, 6.9
2022-11-02, -3.6, steigend, 30, -0.0839, 3.3
2022-11-09, 10, steigend, 30, 0.2336, 13.3
2022-11-16, -3.6, steigend, 31, -0.0839, 9.7
2022-11-23, 15.3, steigend, 32, 0.3575, 25
2022-11-30, 21.9, steigend, 32, 0.5117, 46.9
2022-12-07, 3.1, steigend, 32, 0.0724, 50
2022-12-14, 13.6, steigend, 33, 0.3178, 63.6
2022-12-21, -33.3, steigend, 33, -0.7762, 30.3
2022-12-28, -9.7, steigend, 34, -0.2261, 20.6
2023-01-04, -11.8, steigend, 34, -0.2751, 8.8
2023-01-11, -2.9, steigend, 34, -0.0676, 5.9
2023-01-18, 2.9, steigend, 34, 0.0678, 8.8
2023-01-25, 20.6, steigend, 34, 0.4813, 29.4
2023-02-01, 35.3, steigend, 34, 0.8248, 64.7
2023-02-08, 8.8, steigend, 34, 0.2056, 73.5
2023-02-15, 3, steigend, 34, 0.0701, 76.5
2023-02-22, -32.4, steigend, 34, -0.7552, 44.1
2023-03-01, -23.5, steigend, 34, -0.5478, 20.6
2023-03-08, , steigend, 34, , 20.6
2023-03-15, -14.7, steigend, 34, -0.3427, 5.9
2023-03-22, -5.9, steigend, 34, -0.1375, 
2023-03-29, , steigend, 36, , 
2023-04-05, 2.8, steigend, 36, 0.0654, 2.8
2023-04-12, 5.5, steigend, 36, 0.1285, 8.3
2023-04-19, 8.4, steigend, 36, 0.1963, 16.7
2023-04-26, , steigend, 36, , 16.7
2023-05-03, -13.9, steigend, 36, -0.324, 2.8
2023-05-10, 0.1, steigend, 34, 0.0023, 2.9
2023-05-17, -2.9, steigend, 29, -0.0676, 
2023-05-24, , steigend, 10, , 
