Meldedatum, difference, group, trend, value
2020-03-03, , Inc_50-250, , 
2020-03-04, , Inc_50-250, , 
2020-03-05, , Inc_50-250, , 1
2020-03-06, , Inc_50-250, , 1
2020-03-07, , Inc_50-250, , 1
2020-03-08, , Inc_50-250, , 1
2020-03-09, , Inc_50-250, , 1
2020-03-10, 1, Inc_50-250, 0.0065, 1
2020-03-11, 1, Inc_50-250, 0.0065, 1
2020-03-12, , Inc_50-250, , 1
2020-03-13, , Inc_50-250, , 1
2020-03-14, , Inc_50-250, , 1
2020-03-15, , Inc_50-250, , 1
2020-03-16, , Inc_50-250, , 1
2020-03-17, 1, Inc_50-250, 0.0065, 2
2020-03-18, 3, Inc_50-250, 0.0196, 4
2020-03-19, 4, Inc_50-250, 0.0261, 5
2020-03-20, 11, Inc_50-250, 0.0719, 12
2020-03-21, 24, Inc_50-250, 0.1569, 25
2020-03-22, 32, Inc_50-250, 0.2092, 33
2020-03-23, 40, Inc_50-250, 0.2614, 41
2020-03-24, 44, Inc_50-250, 0.2876, 46
2020-03-25, 54, Inc_50-250, 0.3529, 58
2020-03-26, 64, Inc_50-250, 0.4183, 69
2020-03-27, 72, Inc_50-250, 0.4706, 84
2020-03-28, 72, Inc_50-250, 0.4706, 97
2020-03-29, 71, Inc_50-250, 0.4641, 104
2020-03-30, 71, Inc_50-250, 0.4641, 112
2020-03-31, 63, Inc_50-250, 0.4118, 109
2020-04-01, 61, Inc_50-250, 0.3987, 119
2020-04-02, 57, Inc_50-250, 0.3725, 126
2020-04-03, 36, Inc_50-250, 0.2353, 120
2020-04-04, 35, Inc_50-250, 0.2288, 132
2020-04-05, 29, Inc_50-250, 0.1895, 133
2020-04-06, 13, Inc_50-250, 0.085, 125
2020-04-07, 13, Inc_50-250, 0.085, 122
2020-04-08, , Inc_50-250, , 119
2020-04-09, -2, Inc_50-250, -0.0098, 124
2020-04-10, -11, Inc_50-250, -0.0539, 109
2020-04-11, -43, Inc_50-250, -0.2108, 89
2020-04-12, -58, Inc_50-250, -0.2843, 75
2020-04-13, -50, Inc_50-250, -0.2451, 75
2020-04-14, -55, Inc_50-250, -0.2696, 67
2020-04-15, -65, Inc_50-250, -0.3186, 54
2020-04-16, -78, Inc_50-250, -0.3824, 46
2020-04-17, -68, Inc_50-250, -0.3333, 41
2020-04-18, -49, Inc_50-250, -0.2402, 40
2020-04-19, -44, Inc_50-250, -0.2157, 31
2020-04-20, -45, Inc_50-250, -0.2206, 30
2020-04-21, -36, Inc_50-250, -0.1765, 31
2020-04-22, -22, Inc_50-250, -0.1078, 32
2020-04-23, -19, Inc_50-250, -0.0931, 27
2020-04-24, -17, Inc_50-250, -0.0833, 24
2020-04-25, -19, Inc_50-250, -0.0931, 21
2020-04-26, -11, Inc_50-250, -0.0539, 20
2020-04-27, -14, Inc_50-250, -0.0686, 16
2020-04-28, -18, Inc_50-250, -0.0882, 13
2020-04-29, -19, Inc_50-250, -0.0931, 13
2020-04-30, -19, Inc_50-250, -0.0931, 8
2020-05-01, -18, Inc_50-250, -0.0882, 6
2020-05-02, -17, Inc_50-250, -0.0833, 4
2020-05-03, -16, Inc_50-250, -0.0784, 4
2020-05-04, -14, Inc_50-250, -0.0686, 2
2020-05-05, -11, Inc_50-250, -0.0539, 2
2020-05-06, -11, Inc_50-250, -0.0539, 2
2020-05-07, -6, Inc_50-250, -0.0294, 2
2020-05-08, -1, Inc_50-250, -0.0049, 5
2020-05-09, , Inc_50-250, , 4
2020-05-10, 1, Inc_50-250, 0.0065, 5
2020-05-11, 2, Inc_50-250, 0.0131, 4
2020-05-12, 1, Inc_50-250, 0.0065, 3
2020-05-13, 2, Inc_50-250, 0.0131, 4
2020-05-14, 3, Inc_50-250, 0.0196, 5
2020-05-15, , Inc_50-250, , 5
2020-05-16, 1, Inc_50-250, 0.0065, 5
2020-05-17, -1, Inc_50-250, -0.0049, 4
2020-05-18, 1, Inc_50-250, 0.0065, 5
2020-05-19, -1, Inc_50-250, -0.0049, 2
2020-05-20, -1, Inc_50-250, -0.0049, 3
2020-05-21, -4, Inc_50-250, -0.0196, 1
2020-05-22, -4, Inc_50-250, -0.0196, 1
2020-05-23, -4, Inc_50-250, -0.0196, 1
2020-05-24, -4, Inc_50-250, -0.0196, 
2020-05-25, -4, Inc_50-250, -0.0196, 1
2020-05-26, -1, Inc_50-250, -0.0049, 1
2020-05-27, -2, Inc_50-250, -0.0098, 1
2020-05-28, -1, Inc_50-250, -0.0049, 
2020-05-29, , Inc_50-250, , 1
2020-05-30, , Inc_50-250, , 1
2020-05-31, 1, Inc_50-250, 0.0065, 1
2020-06-01, , Inc_50-250, , 1
2020-06-02, , Inc_50-250, , 1
2020-06-03, -1, Inc_50-250, -0.0049, 
2020-06-04, , Inc_50-250, , 
2020-06-05, , Inc_50-250, , 1
2020-06-06, , Inc_50-250, , 1
2020-06-07, -1, Inc_50-250, -0.0049, 
2020-06-08, -1, Inc_50-250, -0.0049, 
2020-06-09, -1, Inc_50-250, -0.0049, 
2020-06-10, , Inc_50-250, , 
2020-06-11, 1, Inc_50-250, 0.0065, 1
2020-06-12, , Inc_50-250, , 1
2020-06-13, , Inc_50-250, , 1
2020-06-14, 1, Inc_50-250, 0.0065, 1
2020-06-15, 1, Inc_50-250, 0.0065, 1
2020-06-16, 1, Inc_50-250, 0.0065, 1
2020-06-17, , Inc_50-250, , 
2020-06-18, , Inc_50-250, , 1
2020-06-19, , Inc_50-250, , 1
2020-06-20, 1, Inc_50-250, 0.0065, 2
2020-06-21, , Inc_50-250, , 1
2020-06-22, , Inc_50-250, , 1
2020-06-23, , Inc_50-250, , 1
2020-06-24, 2, Inc_50-250, 0.0131, 2
2020-06-25, 1, Inc_50-250, 0.0065, 2
2020-06-26, 1, Inc_50-250, 0.0065, 2
2020-06-27, -1, Inc_50-250, -0.0049, 1
2020-06-28, , Inc_50-250, , 1
2020-06-29, , Inc_50-250, , 1
2020-06-30, , Inc_50-250, , 1
2020-07-01, -1, Inc_50-250, -0.0049, 1
2020-07-02, -1, Inc_50-250, -0.0049, 1
2020-07-03, -1, Inc_50-250, -0.0049, 1
2020-07-04, , Inc_50-250, , 1
2020-07-05, , Inc_50-250, , 1
2020-07-06, , Inc_50-250, , 1
2020-07-07, -1, Inc_50-250, -0.0049, 
