Altersgruppe, Meldedatum, value
0-4, 2020-03-02, 0.1
0-4, 2020-03-03, 0.1
0-4, 2020-03-04, 0.1
0-4, 2020-03-05, 0.1
0-4, 2020-03-06, 0.2
0-4, 2020-03-07, 0.2
0-4, 2020-03-08, 0.2
0-4, 2020-03-09, 0.2
0-4, 2020-03-10, 0.3
0-4, 2020-03-11, 0.4
0-4, 2020-03-12, 0.5
0-4, 2020-03-13, 0.5
0-4, 2020-03-14, 0.5
0-4, 2020-03-15, 0.8
0-4, 2020-03-16, 0.9
0-4, 2020-03-17, 1
0-4, 2020-03-18, 1.3
0-4, 2020-03-19, 1.9
0-4, 2020-03-20, 2.5
0-4, 2020-03-21, 2.9
0-4, 2020-03-22, 3.3
0-4, 2020-03-23, 3.6
0-4, 2020-03-24, 4.2
0-4, 2020-03-25, 4.9
0-4, 2020-03-26, 4.8
0-4, 2020-03-27, 5.4
0-4, 2020-03-28, 6
0-4, 2020-03-29, 6.3
0-4, 2020-03-30, 6.4
0-4, 2020-03-31, 6.2
0-4, 2020-04-01, 6.2
0-4, 2020-04-02, 6.8
0-4, 2020-04-03, 6.8
0-4, 2020-04-04, 6.9
0-4, 2020-04-05, 6.7
0-4, 2020-04-06, 6.8
0-4, 2020-04-07, 7
0-4, 2020-04-08, 7.4
0-4, 2020-04-09, 7.1
0-4, 2020-04-10, 6.5
0-4, 2020-04-11, 6.2
0-4, 2020-04-12, 6.4
0-4, 2020-04-13, 6
0-4, 2020-04-14, 5.5
0-4, 2020-04-15, 4.7
0-4, 2020-04-16, 4.1
0-4, 2020-04-17, 4.4
0-4, 2020-04-18, 4.3
0-4, 2020-04-19, 3.9
0-4, 2020-04-20, 4
0-4, 2020-04-21, 4.4
0-4, 2020-04-22, 4.3
0-4, 2020-04-23, 4.7
0-4, 2020-04-24, 4.5
0-4, 2020-04-25, 4.6
0-4, 2020-04-26, 4.6
0-4, 2020-04-27, 4.7
0-4, 2020-04-28, 4.5
0-4, 2020-04-29, 4.7
0-4, 2020-04-30, 4.2
0-4, 2020-05-01, 3.9
0-4, 2020-05-02, 3.5
0-4, 2020-05-03, 3.4
0-4, 2020-05-04, 3.3
0-4, 2020-05-05, 3.5
0-4, 2020-05-06, 3.4
0-4, 2020-05-07, 3.7
0-4, 2020-05-08, 3.7
0-4, 2020-05-09, 3.7
0-4, 2020-05-10, 3.6
0-4, 2020-05-11, 3.5
0-4, 2020-05-12, 3.2
0-4, 2020-05-13, 2.9
0-4, 2020-05-14, 2.8
0-4, 2020-05-15, 2.7
0-4, 2020-05-16, 2.6
0-4, 2020-05-17, 2.7
0-4, 2020-05-18, 2.9
0-4, 2020-05-19, 3.1
0-4, 2020-05-20, 3.4
0-4, 2020-05-21, 3.4
0-4, 2020-05-22, 3.4
0-4, 2020-05-23, 3.5
0-4, 2020-05-24, 3.2
0-4, 2020-05-25, 3.1
0-4, 2020-05-26, 2.8
0-4, 2020-05-27, 2.4
0-4, 2020-05-28, 2.1
0-4, 2020-05-29, 2.1
0-4, 2020-05-30, 1.9
0-4, 2020-05-31, 2.1
0-4, 2020-06-01, 2.2
0-4, 2020-06-02, 2
0-4, 2020-06-03, 2.2
0-4, 2020-06-04, 2.2
0-4, 2020-06-05, 2.4
0-4, 2020-06-06, 2.6
0-4, 2020-06-07, 2.6
0-4, 2020-06-08, 2.7
0-4, 2020-06-09, 3
0-4, 2020-06-10, 2.9
0-4, 2020-06-11, 3.1
0-4, 2020-06-12, 2.9
0-4, 2020-06-13, 2.8
0-4, 2020-06-14, 2.9
0-4, 2020-06-15, 2.8
0-4, 2020-06-16, 2.6
0-4, 2020-06-17, 2.9
0-4, 2020-06-18, 2.9
0-4, 2020-06-19, 3.3
0-4, 2020-06-20, 3.9
0-4, 2020-06-21, 3.9
0-4, 2020-06-22, 4
0-4, 2020-06-23, 4.1
0-4, 2020-06-24, 3.9
0-4, 2020-06-25, 3.8
0-4, 2020-06-26, 3.6
0-4, 2020-06-27, 3.3
0-4, 2020-06-28, 3.3
0-4, 2020-06-29, 3.4
0-4, 2020-06-30, 3.4
0-4, 2020-07-01, 3.6
0-4, 2020-07-02, 3.7
0-4, 2020-07-03, 3.7
0-4, 2020-07-04, 3.6
0-4, 2020-07-05, 3.7
0-4, 2020-07-06, 3.6
0-4, 2020-07-07, 3.8
0-4, 2020-07-08, 3.7
0-4, 2020-07-09, 3.6
0-4, 2020-07-10, 3.7
0-4, 2020-07-11, 3.8
0-4, 2020-07-12, 3.9
0-4, 2020-07-13, 3.7
0-4, 2020-07-14, 3.5
0-4, 2020-07-15, 3.4
0-4, 2020-07-16, 3.4
0-4, 2020-07-17, 3.7
0-4, 2020-07-18, 3.5
0-4, 2020-07-19, 3.4
0-4, 2020-07-20, 3.5
0-4, 2020-07-21, 3.7
0-4, 2020-07-22, 3.7
0-4, 2020-07-23, 3.7
0-4, 2020-07-24, 3.7
0-4, 2020-07-25, 4.2
0-4, 2020-07-26, 4.2
0-4, 2020-07-27, 4
0-4, 2020-07-28, 3.9
0-4, 2020-07-29, 4.2
0-4, 2020-07-30, 4.2
0-4, 2020-07-31, 4.1
0-4, 2020-08-01, 3.7
0-4, 2020-08-02, 3.6
0-4, 2020-08-03, 3.8
0-4, 2020-08-04, 4.1
0-4, 2020-08-05, 3.9
0-4, 2020-08-06, 3.9
0-4, 2020-08-07, 4.3
0-4, 2020-08-08, 4.6
0-4, 2020-08-09, 4.7
0-4, 2020-08-10, 4.7
0-4, 2020-08-11, 4.9
0-4, 2020-08-12, 5.5
0-4, 2020-08-13, 6.4
0-4, 2020-08-14, 6.6
0-4, 2020-08-15, 6.7
0-4, 2020-08-16, 6.9
0-4, 2020-08-17, 6.9
0-4, 2020-08-18, 7.2
0-4, 2020-08-19, 7.4
0-4, 2020-08-20, 6.8
0-4, 2020-08-21, 6.7
0-4, 2020-08-22, 6.9
0-4, 2020-08-23, 7
0-4, 2020-08-24, 7.1
0-4, 2020-08-25, 6.8
0-4, 2020-08-26, 6.5
0-4, 2020-08-27, 6.4
0-4, 2020-08-28, 6
0-4, 2020-08-29, 5.8
0-4, 2020-08-30, 5.7
0-4, 2020-08-31, 5.6
0-4, 2020-09-01, 5.4
0-4, 2020-09-02, 5.2
0-4, 2020-09-03, 5.2
0-4, 2020-09-04, 5.4
0-4, 2020-09-05, 5.5
0-4, 2020-09-06, 5.6
0-4, 2020-09-07, 5.7
0-4, 2020-09-08, 5.8
0-4, 2020-09-09, 5.6
0-4, 2020-09-10, 5.7
0-4, 2020-09-11, 5.8
0-4, 2020-09-12, 5.9
0-4, 2020-09-13, 5.9
0-4, 2020-09-14, 5.7
0-4, 2020-09-15, 5.7
0-4, 2020-09-16, 6.1
0-4, 2020-09-17, 6.6
0-4, 2020-09-18, 7.1
0-4, 2020-09-19, 7.3
0-4, 2020-09-20, 7.2
0-4, 2020-09-21, 7.3
0-4, 2020-09-22, 7.5
0-4, 2020-09-23, 7.6
0-4, 2020-09-24, 7.4
0-4, 2020-09-25, 6.8
0-4, 2020-09-26, 6.9
0-4, 2020-09-27, 7.1
0-4, 2020-09-28, 7.5
0-4, 2020-09-29, 7.1
0-4, 2020-09-30, 7.6
0-4, 2020-10-01, 7.9
0-4, 2020-10-02, 8.3
0-4, 2020-10-03, 8.2
0-4, 2020-10-04, 8.3
0-4, 2020-10-05, 8.3
0-4, 2020-10-06, 8.4
0-4, 2020-10-07, 9.2
0-4, 2020-10-08, 9.4
0-4, 2020-10-09, 10.2
0-4, 2020-10-10, 11.7
0-4, 2020-10-11, 12.4
0-4, 2020-10-12, 13.1
0-4, 2020-10-13, 14.6
0-4, 2020-10-14, 14.9
0-4, 2020-10-15, 17.7
0-4, 2020-10-16, 19.3
0-4, 2020-10-17, 20.9
0-4, 2020-10-18, 21.8
0-4, 2020-10-19, 22.3
0-4, 2020-10-20, 23.8
0-4, 2020-10-21, 25.4
0-4, 2020-10-22, 26.8
0-4, 2020-10-23, 29.5
0-4, 2020-10-24, 31.7
0-4, 2020-10-25, 34.6
0-4, 2020-10-26, 36.5
0-4, 2020-10-27, 39.4
0-4, 2020-10-28, 42.7
0-4, 2020-10-29, 46.4
0-4, 2020-10-30, 49.5
0-4, 2020-10-31, 51.9
0-4, 2020-11-01, 53.4
0-4, 2020-11-02, 55.9
0-4, 2020-11-03, 56.9
0-4, 2020-11-04, 58.7
0-4, 2020-11-05, 58.2
0-4, 2020-11-06, 58.5
0-4, 2020-11-07, 60.2
0-4, 2020-11-08, 61.9
0-4, 2020-11-09, 60.7
0-4, 2020-11-10, 60.1
0-4, 2020-11-11, 60.3
0-4, 2020-11-12, 61.3
0-4, 2020-11-13, 62.2
0-4, 2020-11-14, 61.8
0-4, 2020-11-15, 61.2
0-4, 2020-11-16, 60.7
0-4, 2020-11-17, 60.4
0-4, 2020-11-18, 59.4
0-4, 2020-11-19, 59.3
0-4, 2020-11-20, 59.2
0-4, 2020-11-21, 60.6
0-4, 2020-11-22, 59.7
0-4, 2020-11-23, 60
0-4, 2020-11-24, 60.4
0-4, 2020-11-25, 59.6
0-4, 2020-11-26, 60.7
0-4, 2020-11-27, 61
0-4, 2020-11-28, 58.6
0-4, 2020-11-29, 58.6
0-4, 2020-11-30, 58.3
0-4, 2020-12-01, 57
0-4, 2020-12-02, 58.3
0-4, 2020-12-03, 57.3
0-4, 2020-12-04, 56.5
0-4, 2020-12-05, 56.1
0-4, 2020-12-06, 57.6
0-4, 2020-12-07, 57.9
0-4, 2020-12-08, 59.3
0-4, 2020-12-09, 58.9
0-4, 2020-12-10, 58.6
0-4, 2020-12-11, 61.4
0-4, 2020-12-12, 65.2
0-4, 2020-12-13, 66
0-4, 2020-12-14, 67.1
0-4, 2020-12-15, 69.2
0-4, 2020-12-16, 72.6
0-4, 2020-12-17, 76.2
0-4, 2020-12-18, 76.4
0-4, 2020-12-19, 77.2
0-4, 2020-12-20, 78
0-4, 2020-12-21, 77.7
0-4, 2020-12-22, 76.7
0-4, 2020-12-23, 76
0-4, 2020-12-24, 74.8
0-4, 2020-12-25, 69.7
0-4, 2020-12-26, 61.3
0-4, 2020-12-27, 55
0-4, 2020-12-28, 53
0-4, 2020-12-29, 49.6
0-4, 2020-12-30, 46.8
0-4, 2020-12-31, 43.6
0-4, 2021-01-01, 41.6
0-4, 2021-01-02, 40.3
0-4, 2021-01-03, 39.1
0-4, 2021-01-04, 38.3
0-4, 2021-01-05, 37.6
0-4, 2021-01-06, 37.8
0-4, 2021-01-07, 37.1
0-4, 2021-01-08, 39.3
0-4, 2021-01-09, 43.6
0-4, 2021-01-10, 47.3
0-4, 2021-01-11, 47.9
0-4, 2021-01-12, 47.9
0-4, 2021-01-13, 46.8
0-4, 2021-01-14, 46.7
0-4, 2021-01-15, 47.6
0-4, 2021-01-16, 46.9
