Altersgruppe, Week, difference, trend, value
5-14, 2022-32, 4.6, 0.2822, 50.8
5-14, 2022-33, 3.4, 0.2086, 54.2
5-14, 2022-34, -4.6, -0.2347, 49.6
5-14, 2022-35, -5.7, -0.2908, 43.9
5-14, 2022-36, -1.8, -0.0918, 42.1
5-14, 2022-37, 0.9, 0.0552, 43
5-14, 2022-38, 0.1, 0.0061, 43.1
5-14, 2022-39, 3.4, 0.2086, 46.5
5-14, 2022-40, 0.8, 0.0491, 47.3
5-14, 2022-41, -3.2, -0.1633, 44.1
5-14, 2022-42, 2.3, 0.1411, 46.4
5-14, 2022-43, -1.2, -0.0612, 45.2
5-14, 2022-44, -2.8, -0.1429, 42.4
5-14, 2022-45, -6.8, -0.3469, 35.6
5-14, 2022-46, -4.7, -0.2398, 30.9
5-14, 2022-47, -4.7, -0.2398, 26.2
5-14, 2022-48, -4.5, -0.2296, 21.7
5-14, 2022-49, -3.1, -0.1582, 18.6
5-14, 2022-50, 0.7, 0.0429, 19.3
5-14, 2022-51, 3.7, 0.227, 23
5-14, 2022-52, -2.1, -0.1071, 20.9
5-14, 2023-01, -6.4, -0.3265, 14.5
5-14, 2023-02, 2.5, 0.1534, 17
