Altersgruppe, Meldedatum, value
60-79, 2023-04-05, 7.22
60-79, 2023-04-04, 8.43
60-79, 2023-04-03, 9.84
60-79, 2023-04-02, 9.96
60-79, 2023-04-01, 10.06
60-79, 2023-03-31, 10.89
60-79, 2023-03-30, 11.57
60-79, 2023-03-29, 12.52
60-79, 2023-03-28, 13.3
60-79, 2023-03-27, 14.47
60-79, 2023-03-26, 14.75
60-79, 2023-03-25, 14.91
60-79, 2023-03-24, 15.17
60-79, 2023-03-23, 15.63
60-79, 2023-03-22, 15.96
60-79, 2023-03-21, 16.69
60-79, 2023-03-20, 17.15
60-79, 2023-03-19, 17.14
60-79, 2023-03-18, 17.23
60-79, 2023-03-17, 17.43
60-79, 2023-03-16, 17.55
60-79, 2023-03-15, 17.23
60-79, 2023-03-14, 17.1
60-79, 2023-03-13, 16.45
60-79, 2023-03-12, 16.4
60-79, 2023-03-11, 16.33
60-79, 2023-03-10, 16.05
60-79, 2023-03-09, 15.57
60-79, 2023-03-08, 15.72
60-79, 2023-03-07, 15.72
60-79, 2023-03-06, 16.38
60-79, 2023-03-05, 16.4
60-79, 2023-03-04, 16.53
60-79, 2023-03-03, 17.16
60-79, 2023-03-02, 18.15
60-79, 2023-03-01, 18.85
60-79, 2023-02-28, 19.48
60-79, 2023-02-27, 18.97
60-79, 2023-02-26, 19.06
60-79, 2023-02-25, 18.95
60-79, 2023-02-24, 18.77
60-79, 2023-02-23, 18.33
60-79, 2023-02-22, 18.1
60-79, 2023-02-21, 17.65
60-79, 2023-02-20, 17.61
60-79, 2023-02-19, 17.34
60-79, 2023-02-18, 17.34
60-79, 2023-02-17, 16.76
60-79, 2023-02-16, 16.26
60-79, 2023-02-15, 15.54
60-79, 2023-02-14, 14.59
60-79, 2023-02-13, 13.62
60-79, 2023-02-12, 13.63
60-79, 2023-02-11, 13.52
60-79, 2023-02-10, 13.39
60-79, 2023-02-09, 12.87
60-79, 2023-02-08, 12.24
60-79, 2023-02-07, 12.15
60-79, 2023-02-06, 11.4
60-79, 2023-02-05, 11.35
60-79, 2023-02-04, 11.25
60-79, 2023-02-03, 10.84
60-79, 2023-02-02, 10.68
60-79, 2023-02-01, 10.38
60-79, 2023-01-31, 9.89
60-79, 2023-01-30, 9.55
60-79, 2023-01-29, 9.47
60-79, 2023-01-28, 9.45
60-79, 2023-01-27, 9.16
60-79, 2023-01-26, 8.88
60-79, 2023-01-25, 8.8
60-79, 2023-01-24, 8.61
60-79, 2023-01-23, 8.97
60-79, 2023-01-22, 9.07
60-79, 2023-01-21, 9.19
60-79, 2023-01-20, 9.66
60-79, 2023-01-19, 10.24
60-79, 2023-01-18, 10.88
60-79, 2023-01-17, 11.72
60-79, 2023-01-16, 13.31
60-79, 2023-01-15, 13.36
60-79, 2023-01-14, 13.4
60-79, 2023-01-13, 13.49
60-79, 2023-01-12, 14.27
60-79, 2023-01-11, 15.25
60-79, 2023-01-10, 16.44
60-79, 2023-01-09, 17.44
60-79, 2023-01-08, 17.58
60-79, 2023-01-07, 17.78
60-79, 2023-01-06, 18.94
60-79, 2023-01-05, 20.02
60-79, 2023-01-04, 21.36
60-79, 2023-01-03, 24.08
60-79, 2023-01-02, 19.53
60-79, 2023-01-01, 19.75
