Altersgruppe, Meldedatum, value
35-59, 2020-03-02, 0.2
35-59, 2020-03-03, 0.3
35-59, 2020-03-04, 0.4
35-59, 2020-03-05, 0.6
35-59, 2020-03-06, 0.9
35-59, 2020-03-07, 1.3
35-59, 2020-03-08, 1.5
35-59, 2020-03-09, 1.6
35-59, 2020-03-10, 2.2
35-59, 2020-03-11, 3.2
35-59, 2020-03-12, 4.3
35-59, 2020-03-13, 6.1
35-59, 2020-03-14, 8.6
35-59, 2020-03-15, 10.9
35-59, 2020-03-16, 12.6
35-59, 2020-03-17, 15.8
35-59, 2020-03-18, 20.4
35-59, 2020-03-19, 25.7
35-59, 2020-03-20, 30.9
35-59, 2020-03-21, 35
35-59, 2020-03-22, 38
35-59, 2020-03-23, 39.8
35-59, 2020-03-24, 42.1
35-59, 2020-03-25, 44.4
35-59, 2020-03-26, 47.4
35-59, 2020-03-27, 49.3
35-59, 2020-03-28, 51.4
35-59, 2020-03-29, 52.7
35-59, 2020-03-30, 53.6
35-59, 2020-03-31, 53.5
35-59, 2020-04-01, 54.5
35-59, 2020-04-02, 53.7
35-59, 2020-04-03, 53.7
35-59, 2020-04-04, 53.1
35-59, 2020-04-05, 52.5
35-59, 2020-04-06, 51.4
35-59, 2020-04-07, 50.1
35-59, 2020-04-08, 48.6
35-59, 2020-04-09, 47.2
35-59, 2020-04-10, 44.6
35-59, 2020-04-11, 40.5
35-59, 2020-04-12, 38
35-59, 2020-04-13, 36.8
35-59, 2020-04-14, 33.7
35-59, 2020-04-15, 29.4
35-59, 2020-04-16, 26.3
35-59, 2020-04-17, 24.4
35-59, 2020-04-18, 23.8
35-59, 2020-04-19, 22.8
35-59, 2020-04-20, 22.2
35-59, 2020-04-21, 22.6
35-59, 2020-04-22, 22.2
35-59, 2020-04-23, 21
35-59, 2020-04-24, 18.8
35-59, 2020-04-25, 17.1
35-59, 2020-04-26, 16
35-59, 2020-04-27, 15.1
35-59, 2020-04-28, 14.3
35-59, 2020-04-29, 13.5
35-59, 2020-04-30, 12.1
35-59, 2020-05-01, 11.4
35-59, 2020-05-02, 10.2
35-59, 2020-05-03, 9.4
35-59, 2020-05-04, 9.1
35-59, 2020-05-05, 8.7
35-59, 2020-05-06, 8.3
35-59, 2020-05-07, 8.1
35-59, 2020-05-08, 7.9
35-59, 2020-05-09, 8
35-59, 2020-05-10, 8.2
35-59, 2020-05-11, 8.1
35-59, 2020-05-12, 8.2
35-59, 2020-05-13, 7.9
35-59, 2020-05-14, 7.5
35-59, 2020-05-15, 7.1
35-59, 2020-05-16, 6.7
35-59, 2020-05-17, 6.3
35-59, 2020-05-18, 6.3
35-59, 2020-05-19, 6
35-59, 2020-05-20, 5.8
