Meldedatum, difference, frozen, trend, value, Lower, Prediction, Upper
2022-11-17, -1.205, 5.7342, -0.2548, 5.73, , , 
2022-11-16, -1.8105, 5.7859, -0.3828, 6.66, , , 
2022-11-15, -1.6111, 5.6141, -0.3406, 7.2, , , 
2022-11-14, -0.7437, 5.8916, -0.1572, 7.81, 9.55, 9.69, 9.87
2022-11-13, -0.835, 6.1871, -0.1765, 7.88, 9.49, 9.65, 9.83
2022-11-12, -0.865, 6.5187, -0.1829, 8.02, 9.59, 9.75, 9.9
2022-11-11, -0.5815, 6.5896, -0.1229, 8.34, 9.74, 9.91, 10.07
2022-11-10, 0.2679, 6.9392, 0.0367, 8.94, 10.23, 10.39, 10.56
2022-11-09, 1.6795, 7.5964, 0.2299, 9.87, 11.03, 11.2, 11.37
2022-11-08, 0.0817, 7.2251, 0.0112, 10.05, 11.07, 11.23, 11.4
2022-11-07, -2.4592, 6.6353, -0.5199, 9.74, 10.56, 10.69, 10.85
2022-11-06, -2.577, 7.0221, -0.5448, 9.87, 10.67, 10.81, 10.97
2022-11-05, -2.7259, 7.3837, -0.5763, 9.9, 10.69, 10.82, 10.98
2022-11-04, -3.1729, 7.1711, -0.6708, 10.16, 10.89, 11.02, 11.17
2022-11-03, -3.854, 6.6713, -0.8148, 10.46, 11.12, 11.25, 11.4
2022-11-02, -4.7299, 5.9168, -1, 10.41, 10.98, 11.09, 11.23
2022-11-01, -3.8841, 7.1434, -0.8212, 11.5, 12.05, 12.16, 12.3
2022-10-31, -2.786, 9.0945, -0.589, 13.67, 14.22, 14.33, 14.48
2022-10-30, -2.8629, 9.5991, -0.6053, 13.83, 14.36, 14.48, 14.63
2022-10-29, -2.9734, 10.1097, -0.6287, 14.02, 14.55, 14.67, 14.81
2022-10-28, -2.8989, 10.3439, -0.6129, 14.77, 15.27, 15.39, 15.54
2022-10-27, -2.3271, 10.5254, -0.492, 15.54, 16, 16.11, 16.26
2022-10-26, -1.9595, 10.6467, -0.4143, 16.32, 16.74, 16.85, 16.99
2022-10-25, -0.8914, 11.0275, -0.1885, 17.62, 18.01, 18.11, 18.25
2022-10-24, -0.2727, 11.8805, -0.0577, 18.96, 19.28, 19.38, 19.51
2022-10-23, -0.2559, 12.462, -0.0541, 19.08, 19.39, 19.48, 19.62
2022-10-22, -0.2235, 13.0831, -0.0472, 19.25, 19.56, 19.65, 19.78
2022-10-21, 0.34, 13.2429, 0.0465, 19.86, 20.13, 20.22, 20.35
2022-10-20, 0.6247, 12.8524, 0.0855, 20.39, 20.63, 20.71, 20.83
2022-10-19, 0.7617, 12.6062, 0.1042, 21.06, 21.27, 21.35, 21.47
2022-10-18, -0.4553, 11.919, -0.0963, 20.86, 21.03, 21.1, 21.21
2022-10-17, 2.4544, 12.1532, 0.3359, 20.67, 20.79, 20.84, 20.94
2022-10-16, 2.5421, 12.7179, 0.3479, 20.67, 20.78, 20.83, 20.93
2022-10-15, 2.6983, 13.3066, 0.3693, 20.66, 20.76, 20.81, 20.9
2022-10-14, 3.3194, 12.9029, 0.4543, 20.42, 20.5, 20.54, 20.61
2022-10-13, 4.4656, 12.2277, 0.6111, 20.43, 20.49, 20.52, 20.58
2022-10-12, 5.7198, 11.8445, 0.7828, 20.71, 20.76, 20.78, 20.82
2022-10-11, 7.3068, 12.3743, 1, 22.08, 22.12, 22.13, 22.15
2022-10-10, 2.1421, 9.6988, 0.2932, 17.57, 17.59, 17.59, 17.59
2022-10-09, 2.267, 10.1757, 0.3103, 17.44, 17.46, 17.46, 17.46
2022-10-08, 2.3235, 10.6082, 0.318, 17.25, 17.26, 17.26, 17.26
2022-10-07, 1.9643, 9.5835, 0.2688, 16.47, 16.49, 16.49, 16.49
2022-10-06, 1.1846, 7.7622, 0.1621, 15.27, 15.28, 15.28, 15.28
2022-10-05, -0.0168, 6.1247, -0.0036, 13.52, 13.53, 13.53, 13.53
2022-10-04, -0.0997, 5.0675, -0.0211, 10.76, 10.77, 10.77, 10.77
2022-10-03, 2.9686, 7.5567, 0.4063, 12.89, 12.91, 12.91, 12.91
2022-10-02, 3.12, 7.9087, 0.427, 12.73, 12.74, 12.74, 12.74
2022-10-01, 3.2954, 8.2848, 0.451, 12.61, 12.62, 12.62, 12.62
2022-09-30, 3.1152, 7.6192, 0.4263, 11.93, 11.94, 11.94, 11.94
2022-09-29, 2.5445, 6.5776, 0.3482, 11.12, 11.13, 11.13, 11.13
2022-09-28, 2.4713, 6.1415, 0.3382, 10.33, 10.34, 10.34, 10.34
2022-09-27, 1.7036, 5.1672, 0.2331, 9.17, 9.18, 9.18, 9.18
2022-09-26, 1.2014, 4.5881, 0.1644, 7.98, 7.99, 7.99, 7.99
2022-09-25, 1.247, 4.7887, 0.1707, 7.8, 7.81, 7.81, 7.81
2022-09-24, 1.2699, 4.9894, 0.1738, 7.61, 7.62, 7.62, 7.62
2022-09-23, 0.9491, 4.504, 0.1299, 7.13, 7.14, 7.14, 7.14
2022-09-22, 0.6548, 4.0331, 0.0896, 6.72, 6.73, 6.73, 6.73
2022-09-21, 0.4325, 3.6702, 0.0592, 6.22, 6.23, 6.23, 6.23
2022-09-20, 0.1478, 3.4636, 0.0202, 5.89, 5.9, 5.9, 5.9
2022-09-19, 0.2847, 3.3867, 0.039, 5.54, 5.55, 5.55, 5.55
2022-09-18, 0.2427, 3.5417, 0.0332, 5.5, 5.51, 5.51, 5.51
2022-09-17, 0.2355, 3.7195, 0.0322, 5.46, 5.46, 5.46, 5.46
2022-09-16, 0.0985, 3.5549, 0.0135, 5.39, 5.4, 5.4, 5.4
2022-09-15, 0.1177, 3.3783, 0.0161, 5.24, 5.24, 5.24, 5.24
2022-09-14, 0.036, 3.2377, 0.0049, 5.23, 5.23, 5.23, 5.23
2022-09-13, 0.1994, 3.3158, 0.0273, 5.18, 5.19, 5.19, 5.19
2022-09-12, -0.1165, 3.102, -0.0246, 5.06, 5.06, 5.06, 5.06
2022-09-11, -0.1081, 3.299, -0.0229, 5.09, 5.09, 5.09, 5.09
2022-09-10, -0.1442, 3.484, -0.0305, 5.11, 5.12, 5.12, 5.12
2022-09-09, -0.1418, 3.4564, -0.03, 5.06, 5.07, 5.07, 5.07
2022-09-08, -0.3592, 3.2606, -0.0759, 5.01, 5.01, 5.01, 5.01
2022-09-07, -0.5094, 3.2017, -0.1077, 4.92, 4.92, 4.92, 4.92
2022-09-06, -0.5214, 3.1164, -0.1102, 4.95, 4.96, 4.96, 4.96
2022-09-05, -0.6487, 3.2185, -0.1372, 5.07, 5.08, 5.08, 5.08
2022-09-04, -0.6728, 3.4071, -0.1422, 5.06, 5.06, 5.06, 5.06
2022-09-03, -0.7052, 3.6282, -0.1491, 5.1, 5.1, 5.1, 5.1
2022-09-02, -0.8001, 3.5982, -0.1692, 5.21, 5.22, 5.22, 5.22
2022-09-01, -0.7316, 3.6198, -0.1547, 5.4, 5.4, 5.4, 5.4
2022-08-31, -0.7244, 3.7111, -0.1532, 5.61, 5.62, 5.62, 5.62
2022-08-30, -0.9467, 3.6378, -0.2002, 5.82, 5.83, 5.83, 5.83
2022-08-29, -0.7148, 3.8673, -0.1511, 6.07, 6.07, 6.07, 6.07
2022-08-28, -0.7449, 4.0799, -0.1575, 6.09, 6.1, 6.1, 6.1
2022-08-27, -0.722, 4.3334, -0.1527, 6.13, 6.14, 6.14, 6.14
2022-08-26, -0.6692, 4.3983, -0.1415, 6.32, 6.33, 6.33, 6.33
2022-08-25, -0.5526, 4.3514, -0.1168, 6.62, 6.62, 6.62, 6.62
2022-08-24, -0.2847, 4.4355, -0.0602, 6.86, 6.87, 6.87, 6.87
2022-08-23, 0.31, 4.5845, 0.0424, 7.36, 7.36, 7.36, 7.36
2022-08-22, -0.0745, 4.5821, -0.0157, 7.47, 7.48, 7.48, 7.48
2022-08-21, -0.0985, 4.8248, -0.0208, 7.53, 7.54, 7.54, 7.54
2022-08-20, -0.1682, 5.0554, -0.0356, 7.53, 7.53, 7.53, 7.53
2022-08-19, -0.179, 5.0675, -0.0378, 7.72, 7.73, 7.73, 7.73
2022-08-18, -0.4505, 4.9041, -0.0953, 7.73, 7.74, 7.74, 7.74
2022-08-17, -0.6764, 4.7202, -0.143, 7.75, 7.76, 7.76, 7.76
2022-08-16, -1.0656, 4.2745, -0.2253, 7.52, 7.53, 7.53, 7.53
