Meldedatum, difference, group, quantity, trend, value
2022-06-08, , trend, 29, , 69
2022-06-15, -0.4, trend, 35, -0.0154, 68.6
2022-06-22, -8.6, trend, 35, -0.332, 60
2022-06-29, -8.6, trend, 35, -0.332, 51.4
2022-07-06, -14.3, trend, 35, -0.5521, 37.1
2022-07-13, -2.8, trend, 35, -0.1081, 34.3
2022-07-20, -9.3, trend, 36, -0.3591, 25
2022-07-27, -19.4, trend, 36, -0.749, 5.6
2022-08-03, -5.6, trend, 36, -0.2162, 
2022-08-10, 2.8, trend, 36, 0.1007, 2.8
2022-08-17, 2.8, trend, 36, 0.1007, 5.6
2022-08-24, 11.1, trend, 36, 0.3993, 16.7
2022-08-31, 8.3, trend, 36, 0.2986, 25
2022-09-07, 5.6, trend, 36, 0.2014, 30.6
2022-09-14, 19.4, trend, 36, 0.6978, 50
2022-09-21, 27.8, trend, 36, 1, 77.8
2022-09-28, -5.6, trend, 36, -0.2162, 72.2
2022-10-05, -5.5, trend, 36, -0.2124, 66.7
2022-10-12, -25.9, trend, 49, -1, 40.8
2022-10-19, -18.8, trend, 50, -0.7259, 22
2022-10-26, -16.1, trend, 51, -0.6216, 5.9
2022-11-02, 3.7, trend, 52, 0.1331, 9.6
2022-11-09, 5.8, trend, 52, 0.2086, 15.4
2022-11-16, 1.6, trend, 53, 0.0576, 17
2022-11-23, 8.9, trend, 54, 0.3201, 25.9
2022-11-30, 9.3, trend, 54, 0.3345, 35.2
2022-12-07, 19.3, trend, 55, 0.6942, 54.5
2022-12-14, 6.2, trend, 56, 0.223, 60.7
2022-12-21, -23.2, trend, 56, -0.8958, 37.5
2022-12-28, -20, trend, 57, -0.7722, 17.5
2023-01-04, -12.2, trend, 57, -0.471, 5.3
2023-01-11, 1.7, trend, 57, 0.0612, 7
2023-01-18, 7.8, trend, 54, 0.2806, 14.8
2023-01-25, 23.2, trend, 50, 0.8345, 38
2023-02-01, 14.1, trend, 48, 0.5072, 52.1
2023-02-08, 12.2, trend, 14, 0.4388, 64.3
