Altersgruppe, Meldedatum, value
5-14, 2020-03-02, 
5-14, 2020-03-03, 
5-14, 2020-03-04, 0.1
5-14, 2020-03-05, 0.1
5-14, 2020-03-06, 0.2
5-14, 2020-03-07, 0.3
5-14, 2020-03-08, 0.3
5-14, 2020-03-09, 0.4
5-14, 2020-03-10, 0.5
5-14, 2020-03-11, 0.7
5-14, 2020-03-12, 1
5-14, 2020-03-13, 1.1
5-14, 2020-03-14, 1.5
5-14, 2020-03-15, 1.9
5-14, 2020-03-16, 2.1
5-14, 2020-03-17, 2.5
5-14, 2020-03-18, 3.1
5-14, 2020-03-19, 3.6
5-14, 2020-03-20, 4.2
5-14, 2020-03-21, 4.9
5-14, 2020-03-22, 5.3
5-14, 2020-03-23, 5.5
5-14, 2020-03-24, 5.9
5-14, 2020-03-25, 6.1
5-14, 2020-03-26, 6.8
5-14, 2020-03-27, 7.3
5-14, 2020-03-28, 7.6
5-14, 2020-03-29, 8
5-14, 2020-03-30, 8.2
5-14, 2020-03-31, 8.1
5-14, 2020-04-01, 8.8
5-14, 2020-04-02, 9.1
5-14, 2020-04-03, 9.4
5-14, 2020-04-04, 9.6
5-14, 2020-04-05, 9.6
5-14, 2020-04-06, 9.4
5-14, 2020-04-07, 9.5
5-14, 2020-04-08, 9.1
5-14, 2020-04-09, 8.7
5-14, 2020-04-10, 8.3
5-14, 2020-04-11, 7.6
5-14, 2020-04-12, 7.2
5-14, 2020-04-13, 7.1
5-14, 2020-04-14, 6.7
5-14, 2020-04-15, 6
5-14, 2020-04-16, 5.5
5-14, 2020-04-17, 5.3
5-14, 2020-04-18, 5.6
5-14, 2020-04-19, 5.3
5-14, 2020-04-20, 5.2
5-14, 2020-04-21, 5.2
5-14, 2020-04-22, 5.5
5-14, 2020-04-23, 5.4
5-14, 2020-04-24, 5.3
5-14, 2020-04-25, 5
5-14, 2020-04-26, 4.7
5-14, 2020-04-27, 4.5
5-14, 2020-04-28, 4.6
5-14, 2020-04-29, 4.2
5-14, 2020-04-30, 4
5-14, 2020-05-01, 3.7
5-14, 2020-05-02, 3.3
5-14, 2020-05-03, 3.3
5-14, 2020-05-04, 3.4
5-14, 2020-05-05, 3.1
5-14, 2020-05-06, 3.1
5-14, 2020-05-07, 3.1
5-14, 2020-05-08, 3.1
5-14, 2020-05-09, 3.3
5-14, 2020-05-10, 3.1
5-14, 2020-05-11, 3
5-14, 2020-05-12, 3.2
5-14, 2020-05-13, 3.2
5-14, 2020-05-14, 3.1
5-14, 2020-05-15, 2.9
5-14, 2020-05-16, 2.8
5-14, 2020-05-17, 2.9
5-14, 2020-05-18, 3
5-14, 2020-05-19, 3
5-14, 2020-05-20, 2.8
5-14, 2020-05-21, 3
5-14, 2020-05-22, 3
5-14, 2020-05-23, 2.8
5-14, 2020-05-24, 2.7
5-14, 2020-05-25, 2.5
5-14, 2020-05-26, 2.3
5-14, 2020-05-27, 2.6
5-14, 2020-05-28, 2.4
5-14, 2020-05-29, 2.5
5-14, 2020-05-30, 2.6
5-14, 2020-05-31, 2.9
5-14, 2020-06-01, 3
5-14, 2020-06-02, 2.9
5-14, 2020-06-03, 2.6
5-14, 2020-06-04, 2.6
5-14, 2020-06-05, 2.9
5-14, 2020-06-06, 2.9
5-14, 2020-06-07, 2.7
5-14, 2020-06-08, 2.7
5-14, 2020-06-09, 2.9
5-14, 2020-06-10, 3.1
5-14, 2020-06-11, 3.2
5-14, 2020-06-12, 2.9
5-14, 2020-06-13, 3
5-14, 2020-06-14, 3.3
5-14, 2020-06-15, 3.2
5-14, 2020-06-16, 3
5-14, 2020-06-17, 3.2
5-14, 2020-06-18, 3.4
5-14, 2020-06-19, 3.9
5-14, 2020-06-20, 4.6
5-14, 2020-06-21, 4.7
5-14, 2020-06-22, 4.8
