Meldedatum, difference, group, quantity, trend, value
2022-06-08, , fallend, 18, , 
2022-06-15, , fallend, 23, , 
2022-06-22, 4.3, fallend, 23, 0.1034, 4.3
2022-06-29, 4.4, fallend, 23, 0.1058, 8.7
2022-07-06, 4.3, fallend, 23, 0.1034, 13
2022-07-13, -4.3, fallend, 23, -0.1291, 8.7
2022-07-20, 8, fallend, 24, 0.1923, 16.7
2022-07-27, 41.6, fallend, 24, 1, 58.3
2022-08-03, 25, fallend, 24, 0.601, 83.3
2022-08-10, 4.2, fallend, 24, 0.101, 87.5
2022-08-17, -12.5, fallend, 24, -0.3754, 75
2022-08-24, -33.3, fallend, 24, -1, 41.7
2022-08-31, -8.4, fallend, 24, -0.2523, 33.3
2022-09-07, -12.5, fallend, 24, -0.3754, 20.8
2022-09-14, -8.3, fallend, 24, -0.2492, 12.5
2022-09-21, -12.5, fallend, 24, -0.3754, 
2022-09-28, , fallend, 24, , 
2022-10-05, 8.3, fallend, 24, 0.1995, 8.3
2022-10-12, 7.5, fallend, 38, 0.1803, 15.8
2022-10-19, 17.5, fallend, 39, 0.4207, 33.3
2022-10-26, 17.9, fallend, 41, 0.4303, 51.2
2022-11-02, -2.4, fallend, 41, -0.0721, 48.8
2022-11-09, 7.3, fallend, 41, 0.1755, 56.1
2022-11-16, -17.1, fallend, 41, -0.5135, 39
2022-11-23, -9.7, fallend, 41, -0.2913, 29.3
2022-11-30, -19.5, fallend, 41, -0.5856, 9.8
2022-12-07, -9.8, fallend, 41, -0.2943, 
2022-12-14, 4.9, fallend, 41, 0.1178, 4.9
2022-12-21, , fallend, 41, , 4.9
2022-12-28, 20.7, fallend, 39, 0.4976, 25.6
2023-01-04, 31.2, fallend, 37, 0.75, 56.8
2023-01-11, 8.7, fallend, 29, 0.2091, 65.5
