Altersgruppe, Meldedatum, value, difference, trend
>=80, 2020-03-05, 0.1, , 
>=80, 2020-03-06, 0.1, , 
>=80, 2020-03-07, 0.2, , 
>=80, 2020-03-08, 0.3, , 
>=80, 2020-03-09, 0.3, , 
>=80, 2020-03-10, 0.4, , 
>=80, 2020-03-11, 0.7, , 
>=80, 2020-03-12, 0.8, , 
>=80, 2020-03-13, 1, , 
>=80, 2020-03-14, 1.4, , 
>=80, 2020-03-15, 1.7, 0.9981, 0.006
>=80, 2020-03-16, 2.2, 1.3908, 0.0083
>=80, 2020-03-17, 2.9, 1.8326, 0.0109
>=80, 2020-03-18, 4.2, 1.9798, 0.0118
>=80, 2020-03-19, 5.5, 2.8797, 0.0172
>=80, 2020-03-20, 7.2, 3.8778, 0.0231
>=80, 2020-03-21, 9.5, 4.4505, 0.0266
>=80, 2020-03-22, 11.6, 4.9414, 0.0295
>=80, 2020-03-23, 12.9, 6.4958, 0.0388
>=80, 2020-03-24, 15.1, 8.7538, 0.0523
>=80, 2020-03-25, 18.3, 10.5536, 0.063
>=80, 2020-03-26, 22.2, 12.4843, 0.0745
>=80, 2020-03-27, 27, 15.3641, 0.0917
>=80, 2020-03-28, 32.4, 18.931, 0.113
>=80, 2020-03-29, 37.2, 21.0418, 0.1256
>=80, 2020-03-30, 39.9, 23.8888, 0.1426
>=80, 2020-03-31, 44.2, 25.4923, 0.1522
>=80, 2020-04-01, 50.6, 27.1939, 0.1623
>=80, 2020-04-02, 57.5, 30.2046, 0.1803
>=80, 2020-04-03, 64.7, 29.6974, 0.1773
>=80, 2020-04-04, 71.2, 30.4337, 0.1817
>=80, 2020-04-05, 73.4, 34.2133, 0.2042
>=80, 2020-04-06, 75, 34.246, 0.2044
>=80, 2020-04-07, 76.9, 31.4808, 0.1879
>=80, 2020-04-08, 77.6, 26.2449, 0.1567
>=80, 2020-04-09, 78.5, 18.9801, 0.1133
>=80, 2020-04-10, 76.9, 15.5768, 0.093
