Altersgruppe, Meldedatum, value
35-59, 2022-10-21, 5.2
35-59, 2022-10-20, 5.95
35-59, 2022-10-19, 6.38
35-59, 2022-10-18, 6.51
35-59, 2022-10-17, 6.84
35-59, 2022-10-16, 6.85
35-59, 2022-10-15, 6.85
35-59, 2022-10-14, 6.97
35-59, 2022-10-13, 7.08
35-59, 2022-10-12, 7.43
35-59, 2022-10-11, 8
35-59, 2022-10-10, 6.37
35-59, 2022-10-09, 6.38
35-59, 2022-10-08, 6.33
35-59, 2022-10-07, 6.01
35-59, 2022-10-06, 5.6
35-59, 2022-10-05, 4.92
35-59, 2022-10-04, 4.17
35-59, 2022-10-03, 5.13
35-59, 2022-10-02, 5.07
35-59, 2022-10-01, 5.04
35-59, 2022-09-30, 4.81
35-59, 2022-09-29, 4.46
35-59, 2022-09-28, 4.17
35-59, 2022-09-27, 3.67
35-59, 2022-09-26, 3.16
35-59, 2022-09-25, 3.13
35-59, 2022-09-24, 3.09
35-59, 2022-09-23, 2.97
35-59, 2022-09-22, 2.91
35-59, 2022-09-21, 2.7
35-59, 2022-09-20, 2.56
35-59, 2022-09-19, 2.5
35-59, 2022-09-18, 2.5
35-59, 2022-09-17, 2.45
35-59, 2022-09-16, 2.36
35-59, 2022-09-15, 2.29
35-59, 2022-09-14, 2.26
35-59, 2022-09-13, 2.23
35-59, 2022-09-12, 2.2
35-59, 2022-09-11, 2.17
35-59, 2022-09-10, 2.22
35-59, 2022-09-09, 2.26
35-59, 2022-09-08, 2.24
35-59, 2022-09-07, 2.31
35-59, 2022-09-06, 2.36
35-59, 2022-09-05, 2.31
35-59, 2022-09-04, 2.31
35-59, 2022-09-03, 2.36
35-59, 2022-09-02, 2.41
35-59, 2022-09-01, 2.43
35-59, 2022-08-31, 2.53
35-59, 2022-08-30, 2.65
35-59, 2022-08-29, 2.81
35-59, 2022-08-28, 2.84
35-59, 2022-08-27, 2.82
35-59, 2022-08-26, 2.92
35-59, 2022-08-25, 3.11
35-59, 2022-08-24, 3.2
35-59, 2022-08-23, 3.3
35-59, 2022-08-22, 3.28
35-59, 2022-08-21, 3.28
35-59, 2022-08-20, 3.28
35-59, 2022-08-19, 3.26
35-59, 2022-08-18, 3.28
35-59, 2022-08-17, 3.2
35-59, 2022-08-16, 3.16
35-59, 2022-08-15, 3.26
35-59, 2022-08-14, 3.28
35-59, 2022-08-13, 3.3
35-59, 2022-08-12, 3.43
35-59, 2022-08-11, 3.45
35-59, 2022-08-10, 3.61
35-59, 2022-08-09, 3.91
35-59, 2022-08-08, 4.19
35-59, 2022-08-07, 4.19
35-59, 2022-08-06, 4.2
35-59, 2022-08-05, 4.21
35-59, 2022-08-04, 4.42
35-59, 2022-08-03, 4.61
35-59, 2022-08-02, 4.59
35-59, 2022-08-01, 4.72
35-59, 2022-07-31, 4.77
35-59, 2022-07-30, 4.78
35-59, 2022-07-29, 4.97
35-59, 2022-07-28, 5.2
35-59, 2022-07-27, 5.29
35-59, 2022-07-26, 5.45
35-59, 2022-07-25, 5.57
35-59, 2022-07-24, 5.56
35-59, 2022-07-23, 5.58
35-59, 2022-07-22, 5.65
35-59, 2022-07-21, 5.45
35-59, 2022-07-20, 5.53
35-59, 2022-07-19, 5.41
35-59, 2022-07-18, 5.25
35-59, 2022-07-17, 5.3
35-59, 2022-07-16, 5.32
35-59, 2022-07-15, 5.18
35-59, 2022-07-14, 5.17
35-59, 2022-07-13, 5.05
35-59, 2022-07-12, 5.04
35-59, 2022-07-11, 5.14
35-59, 2022-07-10, 5.11
35-59, 2022-07-09, 5.09
35-59, 2022-07-08, 5.08
35-59, 2022-07-07, 5
35-59, 2022-07-06, 4.91
35-59, 2022-07-05, 4.76
35-59, 2022-07-04, 4.58
35-59, 2022-07-03, 4.57
35-59, 2022-07-02, 4.51
35-59, 2022-07-01, 4.42
35-59, 2022-06-30, 4.35
35-59, 2022-06-29, 4.17
35-59, 2022-06-28, 4.24
35-59, 2022-06-27, 4.27
35-59, 2022-06-26, 4.22
35-59, 2022-06-25, 4.26
35-59, 2022-06-24, 4.25
35-59, 2022-06-23, 3.77
35-59, 2022-06-22, 3.63
35-59, 2022-06-21, 3.36
35-59, 2022-06-20, 3.02
35-59, 2022-06-19, 3.02
35-59, 2022-06-18, 2.96
35-59, 2022-06-17, 2.72
35-59, 2022-06-16, 3.04
35-59, 2022-06-15, 3.14
35-59, 2022-06-14, 3.17
35-59, 2022-06-13, 2.5
