Altersgruppe, Week, difference, trend, value
0-4, 2020-12, , , 1.9
0-4, 2020-13, 1.1, 0.1264, 3
0-4, 2020-14, 1.4, 0.1609, 4.4
0-4, 2020-15, -0.3, -0.0361, 4.1
0-4, 2020-16, -1.1, -0.1325, 3
0-4, 2020-17, -0.7, -0.0843, 2.3
0-4, 2020-18, -1.1, -0.1325, 1.2
0-4, 2020-19, -0.2, -0.0241, 1
0-4, 2020-20, 0.1, 0.0115, 1.1
0-4, 2020-21, -0.1, -0.012, 1
0-4, 2020-22, -0.1, -0.012, 0.9
0-4, 2020-23, 0.2, 0.023, 1.1
0-4, 2020-24, -0.4, -0.0482, 0.7
0-4, 2020-25, 0.1, 0.0115, 0.8
0-4, 2020-26, -0.2, -0.0241, 0.6
0-4, 2020-27, -0.2, -0.0241, 0.4
0-4, 2020-28, , , 0.4
0-4, 2020-29, -0.1, -0.012, 0.3
0-4, 2020-30, 0.1, 0.0115, 0.4
0-4, 2020-31, 0.2, 0.023, 0.6
0-4, 2020-32, 0.1, 0.0115, 0.7
0-4, 2020-33, 0.3, 0.0345, 1
0-4, 2020-34, -0.1, -0.012, 0.9
0-4, 2020-35, -0.4, -0.0482, 0.5
0-4, 2020-36, , , 0.5
0-4, 2020-37, 0.2, 0.023, 0.7
0-4, 2020-38, 0.2, 0.023, 0.9
0-4, 2020-39, -0.1, -0.012, 0.8
0-4, 2020-40, 0.3, 0.0345, 1.1
0-4, 2020-41, 0.7, 0.0805, 1.8
0-4, 2020-42, 0.5, 0.0575, 2.3
0-4, 2020-43, 1.2, 0.1379, 3.5
0-4, 2020-44, 0.4, 0.046, 3.9
0-4, 2020-45, 0.1, 0.0115, 4
0-4, 2020-46, 0.6, 0.069, 4.6
0-4, 2020-47, 0.1, 0.0115, 4.7
0-4, 2020-48, 0.1, 0.0115, 4.8
0-4, 2020-49, 0.1, 0.0115, 4.9
0-4, 2020-50, 1.3, 0.1494, 6.2
0-4, 2020-51, -0.2, -0.0241, 6
0-4, 2020-52, 0.3, 0.0345, 6.3
0-4, 2020-53, 2.3, 0.2644, 8.6
0-4, 2021-01, 1, 0.1149, 9.6
0-4, 2021-02, -1.9, -0.2289, 7.7
0-4, 2021-03, -1, -0.1205, 6.7
0-4, 2021-04, -0.3, -0.0361, 6.4
0-4, 2021-05, 0.3, 0.0345, 6.7
0-4, 2021-06, -0.4, -0.0482, 6.3
0-4, 2021-07, -0.6, -0.0723, 5.7
0-4, 2021-08, 0.9, 0.1034, 6.6
0-4, 2021-09, -0.5, -0.0602, 6.1
0-4, 2021-10, -0.6, -0.0723, 5.5
0-4, 2021-11, -0.2, -0.0241, 5.3
0-4, 2021-12, 1.6, 0.1839, 6.9
0-4, 2021-13, 0.4, 0.046, 7.3
0-4, 2021-14, 2, 0.2299, 9.3
0-4, 2021-15, -0.7, -0.0843, 8.6
0-4, 2021-16, -0.1, -0.012, 8.5
0-4, 2021-17, -0.7, -0.0843, 7.8
0-4, 2021-18, 0.2, 0.023, 8
0-4, 2021-19, 0.2, 0.023, 8.2
0-4, 2021-20, -1.4, -0.1687, 6.8
0-4, 2021-21, -1.8, -0.2169, 5
0-4, 2021-22, -1.6, -0.1928, 3.4
0-4, 2021-23, -1.2, -0.1446, 2.2
0-4, 2021-24, -0.5, -0.0602, 1.7
0-4, 2021-25, -0.8, -0.0964, 0.9
0-4, 2021-26, -0.4, -0.0482, 0.5
0-4, 2021-27, 0.1, 0.0115, 0.6
0-4, 2021-28, 0.3, 0.0345, 0.9
0-4, 2021-29, 0.1, 0.0115, 1
0-4, 2021-30, 1.2, 0.1379, 2.2
0-4, 2021-31, 1.5, 0.1724, 3.7
0-4, 2021-32, 1.7, 0.1954, 5.4
0-4, 2021-33, 1.4, 0.1609, 6.8
0-4, 2021-34, 1.5, 0.1724, 8.3
0-4, 2021-35, 0.3, 0.0345, 8.6
0-4, 2021-36, -1.7, -0.2048, 6.9
0-4, 2021-37, -0.8, -0.0964, 6.1
0-4, 2021-38, -0.9, -0.1084, 5.2
0-4, 2021-39, -0.5, -0.0602, 4.7
0-4, 2021-40, -0.4, -0.0482, 4.3
0-4, 2021-41, 0.2, 0.023, 4.5
0-4, 2021-42, 1.4, 0.1609, 5.9
0-4, 2021-43, 1.4, 0.1609, 7.3
0-4, 2021-44, 1.3, 0.1494, 8.6
0-4, 2021-45, 1.5, 0.1724, 10.1
0-4, 2021-46, 1.8, 0.2069, 11.9
0-4, 2021-47, 1.4, 0.1609, 13.3
0-4, 2021-48, 0.7, 0.0805, 14
0-4, 2021-49, 0.4, 0.046, 14.4
0-4, 2021-50, -0.7, -0.0843, 13.7
0-4, 2021-51, 0.1, 0.0115, 13.8
0-4, 2021-52, 9.7, 1.1149, 23.5
0-4, 2022-01, -5.5, -0.6627, 18
0-4, 2022-02, 3.1, 0.3563, 21.1
0-4, 2022-03, 8.7, 1, 29.8
0-4, 2022-04, 2.6, 0.2989, 32.4
0-4, 2022-05, 3.7, 0.4253, 36.1
0-4, 2022-06, -2, -0.241, 34.1
0-4, 2022-07, 1.8, 0.2069, 35.9
0-4, 2022-08, 1.7, 0.1954, 37.6
0-4, 2022-09, 1.9, 0.2184, 39.5
0-4, 2022-10, -2, -0.241, 37.5
0-4, 2022-11, 3.3, 0.3793, 40.8
0-4, 2022-12, -1.5, -0.1807, 39.3
0-4, 2022-13, -3.4, -0.4096, 35.9
0-4, 2022-14, 4.4, 0.5057, 40.3
0-4, 2022-15, 1.6, 0.1839, 41.9
0-4, 2022-16, -3.5, -0.4217, 38.4
0-4, 2022-17, -8.3, -1, 30.1
0-4, 2022-18, 6, 0.6897, 36.1
0-4, 2022-19, -7.5, -0.9036, 28.6
0-4, 2022-20, -6.1, -0.7349, 22.5
0-4, 2022-21, -4.5, -0.5422, 18
0-4, 2022-22, 3.1, 0.3563, 21.1
0-4, 2022-23, 5.3, 0.6092, 26.4
0-4, 2022-24, 4.4, 0.5057, 30.8
0-4, 2022-25, 4.1, 0.4713, 34.9
0-4, 2022-26, 0.8, 0.092, 35.7
0-4, 2022-27, 1.1, 0.1264, 36.8
0-4, 2022-28, 1.8, 0.2069, 38.6
0-4, 2022-29, -1.2, -0.1446, 37.4
0-4, 2022-30, -5.2, -0.6265, 32.2
0-4, 2022-31, -2.9, -0.3494, 29.3
0-4, 2022-32, -1.3, -0.1566, 28
0-4, 2022-33, 1.8, 0.2069, 29.8
0-4, 2022-34, -5.1, -0.6145, 24.7
0-4, 2022-35, -3.9, -0.4699, 20.8
0-4, 2022-36, -0.6, -0.0723, 20.2
0-4, 2022-37, 0.9, 0.1034, 21.1
0-4, 2022-38, 0.6, 0.069, 21.7
0-4, 2022-39, 0.7, 0.0805, 22.4
0-4, 2022-40, 4.4, 0.5057, 26.8
0-4, 2022-41, -0.8, -0.0964, 26
0-4, 2022-42, -2.4, -0.2892, 23.6
0-4, 2022-43, -2.8, -0.3373, 20.8
0-4, 2022-44, -6.3, -0.759, 14.5
0-4, 2022-45, -2.6, -0.3133, 11.9
0-4, 2022-46, -1.5, -0.1807, 10.4
0-4, 2022-47, -1.5, -0.1807, 8.9
0-4, 2022-48, -0.9, -0.1084, 8
0-4, 2022-49, -0.3, -0.0361, 7.7
0-4, 2022-50, 1, 0.1149, 8.7
0-4, 2022-51, 2.2, 0.2529, 10.9
0-4, 2022-52, 1.6, 0.1839, 12.5
0-4, 2023-01, -2.7, -0.3253, 9.8
0-4, 2023-02, -0.6, -0.0723, 9.2
