Meldedatum, difference, frozen, trend, value, Lower, Prediction, Upper
2020-03-03, , 0.024, , 0.0565, , , 
2020-03-04, , 0.03, , 0.0781, , , 
2020-03-05, , 0.0312, , 0.0925, , , 
2020-03-06, , 0.0396, , 0.1105, , , 
2020-03-07, , 0.0432, , 0.161, , , 
2020-03-08, , 0.0673, , 0.1802, , , 
2020-03-09, , 0.0781, , 0.1934, , , 
2020-03-10, 0.0625, 0.0865, 0.0201, 0.2199, , , 
2020-03-11, 0.0901, 0.1201, 0.0289, 0.2667, , , 
2020-03-12, 0.137, 0.1682, 0.044, 0.3172, , , 
2020-03-13, 0.1514, 0.191, 0.0486, 0.388, , , 
2020-03-14, 0.155, 0.1982, 0.0497, 0.4757, , , 
2020-03-15, 0.149, 0.2162, 0.0478, 0.543, , , 
2020-03-16, 0.185, 0.2631, 0.0594, 0.6319, , , 
2020-03-17, 0.2571, 0.3436, 0.0825, 0.8254, , , 
2020-03-18, 0.2235, 0.3436, 0.0717, 1.032, , , 
2020-03-19, 0.2679, 0.4361, 0.086, 1.3552, , , 
2020-03-20, 0.3977, 0.5887, 0.1277, 1.6843, , , 
2020-03-21, 0.5058, 0.704, 0.1624, 2.0279, , , 
2020-03-22, 0.5995, 0.8157, 0.1924, 2.4232, , , 
2020-03-23, 0.8085, 1.0716, 0.2595, 2.6815, , , 
2020-03-24, 1.014, 1.3576, 0.3255, 3.0431, , , 
2020-03-25, 1.2302, 1.5738, 0.3949, 3.6006, , , 
2020-03-26, 1.4753, 1.9114, 0.4736, 4.1892, , , 
2020-03-27, 1.6855, 2.2742, 0.5411, 4.7779, , , 
2020-03-28, 1.9943, 2.6983, 0.6402, 5.363, , , 
2020-03-29, 2.0424, 2.8581, 0.6556, 5.8411, , , 
2020-03-30, 2.1625, 3.2341, 0.6942, 6.1775, , , 
2020-03-31, 2.2898, 3.6474, 0.7351, 6.5728, , , 
2020-04-01, 2.3247, 3.8985, 0.7462, 7.087, , , 
2020-04-02, 2.2142, 4.1256, 0.7108, 7.3561, , , 
2020-04-03, 2.0327, 4.307, 0.6525, 7.5123, , , 
2020-04-04, 1.6195, 4.3178, 0.5199, 7.6216, , , 
2020-04-05, 1.539, 4.3971, 0.494, 7.4834, , , 
2020-04-06, 1.1437, 4.3779, 0.3671, 7.3273, , , 
2020-04-07, 0.6475, 4.295, 0.2079, 7.2456, , , 
2020-04-08, 0.1334, 4.0319, 0.0428, 6.9404, , , 
2020-04-09, -0.2715, 3.854, -0.0942, 6.7434, , , 
2020-04-10, -0.5346, 3.7724, -0.1854, 6.5271, , , 
2020-04-11, -0.8205, 3.4972, -0.2846, 5.9721, , , 
2020-04-12, -1.0668, 3.3302, -0.37, 5.7619, , , 
2020-04-13, -1.0488, 3.329, -0.3637, 5.6886, , , 
2020-04-14, -1.235, 3.0599, -0.4283, 5.2356, , , 
2020-04-15, -1.0861, 2.9458, -0.3767, 4.8836, , , 
2020-04-16, -1.062, 2.792, -0.3683, 4.6446, , , 
2020-04-17, -1.0969, 2.6755, -0.3804, 4.3911, , , 
2020-04-18, -0.7413, 2.756, -0.2571, 4.3791, , , 
2020-04-19, -0.6608, 2.6695, -0.2292, 4.2121, , , 
2020-04-20, -0.704, 2.625, -0.2442, 4.0643, , , 
2020-04-21, -0.4193, 2.6406, -0.1454, 4.1063, , , 
2020-04-22, -0.3905, 2.5554, -0.1354, 3.8985, , , 
2020-04-23, -0.4349, 2.3571, -0.1508, 3.6018, , , 
2020-04-24, -0.4649, 2.2106, -0.1613, 3.281, , , 
2020-04-25, -0.7473, 2.0087, -0.2592, 3.0347, , , 
2020-04-26, -0.7797, 1.8898, -0.2704, 2.8677, , , 
2020-04-27, -0.8422, 1.7829, -0.2921, 2.6875, , , 
2020-04-28, -1.0188, 1.6219, -0.3533, 2.4676, , , 
2020-04-29, -1.0368, 1.5186, -0.3596, 2.3595, , , 
2020-04-30, -0.9875, 1.3696, -0.3425, 2.1241, , , 
2020-05-01, -0.8049, 1.4056, -0.2792, 2.0532, , , 
2020-05-02, -0.734, 1.2747, -0.2546, 1.8489, , , 
2020-05-03, -0.71, 1.1798, -0.2462, 1.694, , , 
2020-05-04, -0.6355, 1.1473, -0.2204, 1.6363, , , 
2020-05-05, -0.5466, 1.0752, -0.1896, 1.5486, , , 
2020-05-06, -0.5334, 0.9851, -0.185, 1.4284, , , 
2020-05-07, -0.4133, 0.9563, -0.1433, 1.3984, , , 
2020-05-08, -0.4962, 0.9094, -0.1721, 1.3275, , , 
2020-05-09, -0.3328, 0.9419, -0.1154, 1.3371, , , 
2020-05-10, -0.2775, 0.9022, -0.0963, 1.3167, , , 
2020-05-11, -0.2583, 0.889, -0.0896, 1.3035, , , 
2020-05-12, -0.2199, 0.8554, -0.0762, 1.2831, , , 
2020-05-13, -0.1706, 0.8145, -0.0592, 1.211, , , 
2020-05-14, -0.1982, 0.7581, -0.0688, 1.1077, , , 
2020-05-15, -0.2175, 0.692, -0.0754, 1.0104, , , 
2020-05-16, -0.2823, 0.6596, -0.0979, 0.9719, , , 
2020-05-17, -0.2511, 0.6512, -0.0871, 0.9359, , , 
2020-05-18, -0.2571, 0.6319, -0.0892, 0.9143, , , 
2020-05-19, -0.2703, 0.5851, -0.0938, 0.823, , , 
2020-05-20, -0.2823, 0.5322, -0.0979, 0.7773, , , 
2020-05-21, -0.2451, 0.513, -0.085, 0.7473, , , 
2020-05-22, -0.2343, 0.4577, -0.0812, 0.6692, , , 
2020-05-23, -0.2175, 0.4421, -0.0754, 0.6331, , , 
2020-05-24, -0.209, 0.4421, -0.0725, 0.6223, , , 
2020-05-25, -0.1946, 0.4373, -0.0675, 0.6163, , , 
2020-05-26, -0.1406, 0.4445, -0.0488, 0.6259, , , 
2020-05-27, -0.1346, 0.3977, -0.0467, 0.5875, , , 
2020-05-28, -0.1382, 0.3748, -0.0479, 0.5478, , , 
2020-05-29, -0.0589, 0.3989, -0.0204, 0.5755, , , 
2020-05-30, -0.0709, 0.3712, -0.0246, 0.5346, , , 
2020-05-31, -0.0841, 0.358, -0.0292, 0.5238, , , 
2020-06-01, -0.0685, 0.3688, -0.0238, 0.5046, , , 
2020-06-02, -0.1297, 0.3148, -0.045, 0.4409, , , 
2020-06-03, -0.1105, 0.2871, -0.0383, 0.4061, , , 
2020-06-04, -0.0853, 0.2895, -0.0296, 0.4097, , , 
2020-06-05, -0.1189, 0.2799, -0.0412, 0.382, , , 
2020-06-06, -0.0841, 0.2871, -0.0292, 0.3712, , , 
2020-06-07, -0.0817, 0.2763, -0.0283, 0.3688, , , 
2020-06-08, -0.0949, 0.2739, -0.0329, 0.3676, , , 
2020-06-09, -0.0324, 0.2823, -0.0112, 0.3736, , , 
2020-06-10, -0.018, 0.2691, -0.0062, 0.3604, , , 
2020-06-11, -0.0445, 0.2451, -0.0154, 0.3412, , , 
2020-06-12, -0.0517, 0.2283, -0.0179, 0.3196, , , 
2020-06-13, -0.0541, 0.2331, -0.0187, 0.3388, , , 
2020-06-14, -0.0541, 0.2223, -0.0187, 0.3316, , , 
2020-06-15, -0.0408, 0.2331, -0.0142, 0.3496, , , 
2020-06-16, -0.0276, 0.2547, -0.0096, 0.3556, , , 
2020-06-17, 0.0012, 0.2703, 0.0004, 0.3808, , , 
2020-06-18, 0.0312, 0.2763, 0.01, 0.37, , , 
2020-06-19, 0.0505, 0.2787, 0.0162, 0.3905, , , 
2020-06-20, 0.042, 0.2751, 0.0135, 0.3917, , , 
2020-06-21, 0.0481, 0.2703, 0.0154, 0.3989, , , 
2020-06-22, 0.0252, 0.2583, 0.0081, 0.388, , , 
2020-06-23, 0.0216, 0.2763, 0.0069, 0.3929, , , 
2020-06-24, 0.0012, 0.2715, 0.0004, 0.3832, , , 
2020-06-25, -0.0096, 0.2667, -0.0033, 0.3868, , , 
2020-06-26, -0.0024, 0.2763, -0.0008, 0.3917, , , 
2020-06-27, 0.0096, 0.2847, 0.0031, 0.388, , , 
2020-06-28, -0.0108, 0.2595, -0.0038, 0.3712, , , 
2020-06-29, -0.0084, 0.2499, -0.0029, 0.3568, , , 
2020-06-30, -0.012, 0.2643, -0.0042, 0.3652, , , 
2020-07-01, -0.0228, 0.2487, -0.0079, 0.352, , , 
2020-07-02, -0.0216, 0.2451, -0.0075, 0.3364, , , 
2020-07-03, -0.0481, 0.2283, -0.0167, 0.322, , , 
2020-07-04, -0.0565, 0.2283, -0.0196, 0.316, , , 
2020-07-05, -0.0445, 0.215, -0.0154, 0.3148, , , 
2020-07-06, -0.0348, 0.215, -0.0121, 0.3148, , , 
2020-07-07, -0.0457, 0.2187, -0.0158, 0.3052, , , 
2020-07-08, -0.0348, 0.2138, -0.0121, 0.2991, , , 
2020-07-09, -0.012, 0.2331, -0.0042, 0.3208, , , 
2020-07-10, -0.0096, 0.2187, -0.0033, 0.3136, , , 
2020-07-11, -0.0204, 0.2078, -0.0071, 0.3003, , , 
2020-07-12, 0.0072, 0.2223, 0.0023, 0.3088, , , 
2020-07-13, 0.0024, 0.2175, 0.0008, 0.31, , , 
2020-07-14, 0.0132, 0.2319, 0.0042, 0.3148, , , 
