Week, difference, trend, value
2020-W10, , , 0.3
2020-W11, , , 1.2
2020-W12, , , 3
2020-W13, , , 6.6
2020-W14, , , 6.3
2020-W15, , , 5.1
2020-W16, , , 3.5
2020-W17, , , 2.7
2020-W18, , , 1.3
2020-W19, , , 1.3
2020-W20, , , 0.7
2020-W21, , , 0.6
2020-W22, , , 0.5
2020-W23, , , 0.4
2020-W24, , , 0.6
2020-W25, , , 0.5
2020-W26, , , 0.2
2020-W27, , , 0.3
2020-W28, , , 0.3
2020-W29, , , 0.5
2020-W30, , , 0.3
2020-W31, , , 0.7
2020-W32, , , 0.5
2020-W33, , , 0.4
2020-W34, , , 0.3
2020-W35, , , 0.5
2020-W36, , , 0.6
2020-W37, , , 0.5
2020-W38, , , 0.7
2020-W39, , , 0.9
2020-W40, , , 1.1
2020-W41, , , 1.4
2020-W42, , , 2.7
2020-W43, , , 5.9
2020-W44, , , 9.7
2020-W45, , , 11.2
2020-W46, , , 14.1
2020-W47, , , 14.5
2020-W48, , , 15.2
2020-W49, , , 16.7
2020-W50, , , 20.1
2020-W51, , , 21
2020-W52, , , 21.8
2020-W53, , , 21.5
2021-W01, , , 18.7
2021-W02, , , 16.8
2021-W03, , , 14.7
2021-W04, , , 12.6
2021-W05, , , 10.7
2021-W06, , , 9.4
2021-W07, , , 7.8
2021-W08, , , 7.7
2021-W09, , , 7.9
2021-W10, , , 8.6
2021-W11, , , 9.2
2021-W12, , , 11.6
2021-W13, , , 12.7
2021-W14, , , 13.7
2021-W15, , , 13
2021-W16, , , 13.9
2021-W17, , , 12.4
2021-W18, , , 8.4
2021-W19, , , 7.2
2021-W20, , , 5.1
2021-W21, , , 2.6
2021-W22, , , 2.1
2021-W23, , , 0.9
2021-W24, , , 0.6
2021-W25, , , 0.4
2021-W26, , , 0.3
2021-W27, , , 0.3
2021-W28, , , 0.3
2021-W29, , , 0.7
2021-W30, , , 0.5
2021-W31, , , 1.1
2021-W32, , , 1.7
2021-W33, , , 1.9
2021-W34, , , 3.4
2021-W35, , , 3.6
2021-W36, , , 3.2
2021-W37, , , 3.2
2021-W38, , , 3.3
2021-W39, , , 3.2
2021-W40, , , 3.3
2021-W41, , , 3.9
2021-W42, , , 6.5
2021-W43, , , 9.2
2021-W44, , , 11
2021-W45, , , 12.1
2021-W46, , , 14.3
2021-W47, , , 15.7
2021-W48, , , 15.8
2021-W49, , , 14.1
2021-W50, , , 10.8
2021-W51, , , 6.3
2021-W52, , , 5
2022-W01, , , 7.8
2022-W02, , , 6.4
2022-W03, , , 5.9
2022-W04, , , 7.2
2022-W05, , , 8.5
2022-W06, , , 9.6
2022-W07, , , 8.5
2022-W08, , , 8.8
2022-W09, , , 9.9
2022-W10, , , 10.7
2022-W11, , , 10.6
2022-W12, , , 10.6
2022-W13, , , 9.5
2022-W14, , , 8.2
2022-W15, , , 6.4
2022-W16, , , 5.4
2022-W17, , , 4.5
2022-W18, , , 4.3
2022-W19, , , 3.2
2022-W20, , , 2.1
2022-W21, , , 2.3
2022-W22, , , 2.2
2022-W23, , , 3
2022-W24, , , 3.8
2022-W25, , , 5.5
2022-W26, , , 5.7
2022-W27, , , 5.9
2022-W28, , , 6.9
2022-W29, , , 8.6
2022-W30, , , 6
2022-W31, , , 5.9
2022-W32, , , 4.3
2022-W33, , , 4.7
2022-W34, , , 4
2022-W35, , , 3.1
2022-W36, , , 4.2
2022-W37, , , 4
2022-W38, , , 6.3
2022-W39, , , 9.3
2022-W40, , , 10.7
2022-W41, , , 11.2
2022-W42, , , 10.3
2022-W43, , , 8.2
2022-W44, , , 5.7
2022-W45, , , 5.3
2022-W46, , , 5.6
2022-W47, , , 6.6
2022-W48, , , 7.2
2022-W49, , , 8.3
2022-W50, , , 9.3
2022-W51, , , 9.2
2022-W52, , , 9.1
2023-W01, , , 7.4
2023-W02, , , 4
2023-W03, , , 3.4
2023-W04, , , 3.8
2023-W05, , , 4.6
2023-W06, 0.7, 0.875, 5.4
2023-W07, 0.1, 0.125, 5.9
2023-W08, 0.5, 0.625, 6.7
2023-W09, -0.3, -0.25, 6.8
2023-W10, 0.6, 0.75, 7.3
2023-W11, -0.2, -0.1667, 7.5
2023-W12, 0.2, 0.25, 6.2
2023-W13, -1.2, -1, 4.2
2023-W14, -1.1, -0.9167, 3.5
2023-W15, 0.8, 1, 2.8
2023-W16, -0.6, -0.5, 1.5
