Week, difference, trend, value
2020-W40, , , 14
2020-W41, 12, 0.055, 26
2020-W42, 2, 0.0092, 28
2020-W43, 11, 0.0505, 39
2020-W44, 29, 0.133, 68
2020-W45, 4, 0.0183, 72
2020-W46, -8, -0.0406, 64
2020-W47, 3, 0.0138, 67
2020-W48, 7, 0.0321, 74
2020-W49, -1, -0.0051, 73
2020-W50, 13, 0.0596, 86
2020-W51, 8, 0.0367, 94
2020-W52, -24, -0.1218, 70
2020-W53, -3, -0.0152, 67
2021-W01, 38, 0.1743, 105
2021-W02, -37, -0.1878, 68
2021-W03, -11, -0.0558, 57
2021-W04, -12, -0.0609, 45
2021-W05, -3, -0.0152, 42
2021-W06, -8, -0.0406, 34
2021-W07, -5, -0.0254, 29
2021-W08, 2, 0.0092, 31
2021-W09, 1, 0.0046, 32
2021-W10, 8, 0.0367, 40
2021-W11, 24, 0.1101, 64
2021-W12, 9, 0.0413, 73
2021-W13, -6, -0.0305, 67
2021-W14, 9, 0.0413, 76
2021-W15, 7, 0.0321, 83
2021-W16, -7, -0.0355, 76
2021-W17, -13, -0.066, 63
2021-W18, -10, -0.0508, 53
2021-W19, -20, -0.1015, 33
2021-W20, , , 33
2021-W21, -14, -0.0711, 19
2021-W22, -10, -0.0508, 9
2021-W23, 3, 0.0138, 12
2021-W24, -6, -0.0305, 6
2021-W25, 2, 0.0092, 8
2021-W26, , , 8
2021-W27, -1, -0.0051, 7
2021-W28, 2, 0.0092, 9
2021-W29, -2, -0.0102, 7
2021-W30, 4, 0.0183, 11
2021-W31, -1, -0.0051, 10
2021-W32, 3, 0.0138, 13
2021-W33, 14, 0.0642, 27
2021-W34, 18, 0.0826, 45
2021-W35, 1, 0.0046, 46
2021-W36, -5, -0.0254, 41
2021-W37, -4, -0.0203, 37
2021-W38, -6, -0.0305, 31
2021-W39, 4, 0.0183, 35
2021-W40, -2, -0.0102, 33
2021-W41, 11, 0.0505, 44
2021-W42, 7, 0.0321, 51
2021-W43, 25, 0.1147, 76
2021-W44, 34, 0.156, 110
2021-W45, 98, 0.4495, 208
2021-W46, 13, 0.0596, 221
2021-W47, 30, 0.1376, 251
2021-W48, -4, -0.0203, 247
2021-W49, -41, -0.2081, 206
2021-W50, -39, -0.198, 167
2021-W51, -65, -0.3299, 102
2021-W52, 1, 0.0046, 103
2022-W01, 90, 0.4128, 193
2022-W02, 80, 0.367, 273
2022-W03, 141, 0.6468, 414
2022-W04, 148, 0.6789, 562
2022-W05, 93, 0.4266, 655
2022-W06, 11, 0.0505, 666
2022-W07, -94, -0.4772, 572
2022-W08, -28, -0.1421, 544
2022-W09, 69, 0.3165, 613
2022-W10, 218, 1, 831
2022-W11, 122, 0.5596, 953
2022-W12, -92, -0.467, 861
2022-W13, -106, -0.5381, 755
2022-W14, -197, -1, 558
2022-W15, -174, -0.8832, 384
2022-W16, 43, 0.1972, 427
2022-W17, -50, -0.2538, 377
2022-W18, -100, -0.5076, 277
2022-W19, -16, -0.0812, 261
2022-W20, -89, -0.4518, 172
2022-W21, -78, -0.3959, 94
2022-W22, 69, 0.3165, 163
2022-W23, 81, 0.3716, 244
2022-W24, 30, 0.1376, 274
2022-W25, 181, 0.8303, 455
2022-W26, 38, 0.1743, 493
2022-W27, 27, 0.1239, 520
2022-W28, 20, 0.0917, 540
2022-W29, -66, -0.335, 474
2022-W30, -153, -0.7766, 321
2022-W31, -44, -0.2234, 277
2022-W32, -17, -0.0863, 260
2022-W33, -23, -0.1168, 237
2022-W34, -34, -0.1726, 203
2022-W35, -30, -0.1523, 173
2022-W36, 16, 0.0734, 189
2022-W37, 35, 0.1606, 224
2022-W38, 44, 0.2018, 268
2022-W39, 150, 0.6881, 418
2022-W40, 131, 0.6009, 549
2022-W41, 5, 0.0229, 554
2022-W42, -120, -0.6091, 434
2022-W43, -104, -0.5279, 330
2022-W44, -123, -0.6244, 207
2022-W45, -18, -0.0914, 189
2022-W46, -40, -0.203, 149
2022-W47, 1, 0.0046, 150
2022-W48, 24, 0.1101, 174
2022-W49, 7, 0.0321, 181
2022-W50, 16, 0.0734, 197
2022-W51, -9, -0.0457, 188
2022-W52, -43, -0.2183, 145
2023-W01, 3, 0.0138, 148
