Meldedatum, difference, group, quantity, trend, value
2022-06-08, , fallend, 23, , 4.3
2022-06-15, -4.3, fallend, 28, -0.2077, 
2022-06-22, 6.9, fallend, 29, 0.1821, 6.9
2022-06-29, -3.5, fallend, 29, -0.1691, 3.4
2022-07-06, 6.9, fallend, 29, 0.1821, 10.3
2022-07-13, 3.5, fallend, 29, 0.0923, 13.8
2022-07-20, , fallend, 29, , 13.8
2022-07-27, 37.9, fallend, 29, 1, 51.7
2022-08-03, 27.6, fallend, 29, 0.7282, 79.3
2022-08-10, -3.4, fallend, 29, -0.1643, 75.9
2022-08-17, -17.3, fallend, 29, -0.8357, 58.6
2022-08-24, -10.3, fallend, 29, -0.4976, 48.3
2022-08-31, -20.7, fallend, 29, -1, 27.6
2022-09-07, -6.9, fallend, 29, -0.3333, 20.7
2022-09-14, -6.9, fallend, 29, -0.3333, 13.8
2022-09-21, -13.8, fallend, 29, -0.6667, 
2022-09-28, , fallend, 29, , 
2022-10-05, 6.9, fallend, 29, 0.1821, 6.9
2022-10-12, 7, fallend, 36, 0.1847, 13.9
2022-10-19, 16.7, fallend, 36, 0.4406, 30.6
2022-10-26, 22, fallend, 38, 0.5805, 52.6
2022-11-02, -9, fallend, 39, -0.4348, 43.6
2022-11-09, -2.6, fallend, 39, -0.1256, 41
2022-11-16, -7.7, fallend, 39, -0.372, 33.3
2022-11-23, -20.5, fallend, 39, -0.9903, 12.8
2022-11-30, , fallend, 39, , 12.8
2022-12-07, -10.2, fallend, 38, -0.4928, 2.6
2022-12-14, 3.3, fallend, 34, 0.0871, 5.9
2022-12-21, -2.3, fallend, 28, -0.1111, 3.6
2022-12-28, 10.7, fallend, 14, 0.2823, 14.3
