Altersgruppe, Meldedatum, difference, trend, value
0-4, 2023-02-17, -0.2264, -0.0918, 3.17
0-4, 2023-02-16, -0.327, -0.1327, 3.45
0-4, 2023-02-15, -0.0755, -0.0306, 3.55
0-4, 2023-02-14, -0.0252, -0.0102, 3.45
0-4, 2023-02-13, 0.5786, 0.1742, 4.05
0-4, 2023-02-12, 0.6792, 0.2045, 4.08
0-4, 2023-02-11, 0.7043, 0.2121, 4.1
0-4, 2023-02-10, 0.6289, 0.1894, 4.1
0-4, 2023-02-09, 0.4779, 0.1439, 4.08
0-4, 2023-02-08, 0.2767, 0.0833, 3.95
0-4, 2023-02-07, 0.3019, 0.0909, 4.05
0-4, 2023-02-06, 0.2012, 0.0606, 3.62
0-4, 2023-02-05, 0.1509, 0.0455, 3.5
0-4, 2023-02-04, 0.1006, 0.0303, 3.47
0-4, 2023-02-03, -0.0252, -0.0102, 3.5
0-4, 2023-02-02, 0.1258, 0.0379, 3.52
0-4, 2023-02-01, , , 3.55
0-4, 2023-01-31, -0.0252, -0.0102, 3.42
0-4, 2023-01-30, 0.1006, 0.0303, 3.22
0-4, 2023-01-29, 0.0755, 0.0227, 3.3
0-4, 2023-01-28, 0.1761, 0.053, 3.35
0-4, 2023-01-27, 0.4528, 0.1364, 3.42
0-4, 2023-01-26, 0.327, 0.0985, 3.45
0-4, 2023-01-25, 0.1509, 0.0455, 3.27
0-4, 2023-01-24, 0.1509, 0.0455, 3.25
0-4, 2023-01-23, -0.1761, -0.0714, 3.4
0-4, 2023-01-22, -0.1258, -0.051, 3.4
0-4, 2023-01-21, -0.2012, -0.0816, 3.3
0-4, 2023-01-20, -0.2264, -0.0918, 3.04
0-4, 2023-01-19, -0.1761, -0.0714, 3.07
0-4, 2023-01-18, -0.327, -0.1327, 3.22
0-4, 2023-01-17, -0.3019, -0.1224, 3.17
0-4, 2023-01-16, 0.0755, 0.0227, 3.25
0-4, 2023-01-15, 0.0503, 0.0152, 3.19
0-4, 2023-01-14, , , 3.25
0-4, 2023-01-13, -0.1006, -0.0408, 3.27
0-4, 2023-01-12, -0.3522, -0.1429, 3.5
0-4, 2023-01-11, -0.5031, -0.2041, 3.7
0-4, 2023-01-10, -1.1823, -0.4796, 3.85
0-4, 2023-01-09, -0.5283, -0.2143, 3.7
0-4, 2023-01-08, -0.5786, -0.2347, 3.72
0-4, 2023-01-07, -0.5283, -0.2143, 3.8
0-4, 2023-01-06, -0.4528, -0.1837, 3.9
0-4, 2023-01-05, -0.1258, -0.051, 4.18
0-4, 2023-01-04, 0.5534, 0.1667, 4.7
0-4, 2023-01-03, 1.786, 0.5379, 5.53
0-4, 2023-01-02, -0.1509, -0.0612, 4.73
0-4, 2023-01-01, -0.0503, -0.0204, 4.8
0-4, 2022-12-31, -0.0252, -0.0102, 4.83
0-4, 2022-12-30, 0.0252, 0.0076, 5.03
0-4, 2022-12-29, 0.4276, 0.1288, 4.68
0-4, 2022-12-28, 0.2012, 0.0606, 4.18
0-4, 2022-12-27, -0.7547, -0.3061, 3.27
0-4, 2022-12-26, 0.3773, 0.1136, 4.3
0-4, 2022-12-25, 0.1258, 0.0379, 4.18
0-4, 2022-12-24, 0.2012, 0.0606, 4.1
0-4, 2022-12-23, -0.0252, -0.0102, 3.92
0-4, 2022-12-22, -0.3773, -0.1531, 3.9
0-4, 2022-12-21, -0.4025, -0.1633, 3.77
0-4, 2022-12-20, 0.2767, 0.0833, 3.95
0-4, 2022-12-19, 0.2516, 0.0758, 3.95
0-4, 2022-12-18, 0.3773, 0.1136, 4.2
0-4, 2022-12-17, 0.4025, 0.1212, 4.1
0-4, 2022-12-16, 0.6037, 0.1818, 4.13
0-4, 2022-12-15, 0.3522, 0.1061, 3.97
0-4, 2022-12-14, 0.5283, 0.1591, 4.02
0-4, 2022-12-13, 0.2012, 0.0606, 3.97
0-4, 2022-12-12, 0.1509, 0.0455, 3.82
0-4, 2022-12-11, 0.1258, 0.0379, 3.7
0-4, 2022-12-10, 0.0252, 0.0076, 3.72
0-4, 2022-12-09, 0.1761, 0.053, 3.75
0-4, 2022-12-08, 0.2516, 0.0758, 3.85
0-4, 2022-12-07, 0.2264, 0.0682, 3.57
0-4, 2022-12-06, 0.2012, 0.0606, 3.5
0-4, 2022-12-05, 0.4528, 0.1364, 3.55
0-4, 2022-12-04, 0.5283, 0.1591, 3.57
0-4, 2022-12-03, 0.5786, 0.1742, 3.62
0-4, 2022-12-02, , , 3.37
0-4, 2022-12-01, 0.3019, 0.0909, 3.25
0-4, 2022-11-30, -0.0755, -0.0306, 3.25
0-4, 2022-11-29, -0.3773, -0.1531, 3.12
0-4, 2022-11-28, -0.8804, -0.3571, 2.84
0-4, 2022-11-27, -0.9307, -0.3776, 2.77
0-4, 2022-11-26, -0.9307, -0.3776, 2.72
0-4, 2022-11-25, -0.1761, -0.0714, 3.04
0-4, 2022-11-24, -0.3773, -0.1531, 2.99
0-4, 2022-11-23, -0.1509, -0.0612, 3.35
0-4, 2022-11-22, 0.1509, 0.0455, 3.5
0-4, 2022-11-21, -0.0503, -0.0204, 3.55
0-4, 2022-11-20, 0.0252, 0.0076, 3.6
0-4, 2022-11-19, 0.0252, 0.0076, 3.6
0-4, 2022-11-18, -0.5031, -0.2041, 3.19
0-4, 2022-11-17, -0.7547, -0.3061, 3.37
0-4, 2022-11-16, -0.7295, -0.2959, 3.22
0-4, 2022-11-15, -1.0062, -0.4082, 3.3
0-4, 2022-11-14, -0.2012, -0.0816, 3.72
0-4, 2022-11-13, -0.2264, -0.0918, 3.65
0-4, 2022-11-12, -0.2516, -0.102, 3.65
0-4, 2022-11-11, 0.0503, 0.0152, 4.02
0-4, 2022-11-10, 0.4779, 0.1439, 4.3
0-4, 2022-11-09, 0.7043, 0.2121, 4.4
0-4, 2022-11-08, 0.3773, 0.1136, 4.5
0-4, 2022-11-07, -0.7043, -0.2857, 4.33
0-4, 2022-11-06, -0.805, -0.3265, 4.4
0-4, 2022-11-05, -1.0062, -0.4082, 4.43
0-4, 2022-11-04, -1.3584, -0.551, 4.3
0-4, 2022-11-03, -1.3081, -0.5306, 4.43
0-4, 2022-11-02, -1.7357, -0.7041, 4.4
0-4, 2022-11-01, -1.6351, -0.6633, 4.48
0-4, 2022-10-31, -0.805, -0.3265, 5.21
0-4, 2022-10-30, -0.9307, -0.3776, 5.28
