Meldedatum, difference, group, quantity, trend, value
2022-06-08, , gleichbleibend, 29, , 24.1
2022-06-15, 4.5, gleichbleibend, 35, 0.1779, 28.6
2022-06-22, 5.7, gleichbleibend, 35, 0.2253, 34.3
2022-06-29, 2.8, gleichbleibend, 35, 0.1107, 37.1
2022-07-06, 17.2, gleichbleibend, 35, 0.6798, 54.3
2022-07-13, -5.7, gleichbleibend, 35, -0.2568, 48.6
2022-07-20, 9.7, gleichbleibend, 36, 0.3834, 58.3
2022-07-27, -22.2, gleichbleibend, 36, -1, 36.1
2022-08-03, -13.9, gleichbleibend, 36, -0.6261, 22.2
2022-08-10, 2.8, gleichbleibend, 36, 0.1107, 25
2022-08-17, 5.6, gleichbleibend, 36, 0.2213, 30.6
2022-08-24, 11.1, gleichbleibend, 36, 0.4387, 41.7
2022-08-31, 11.1, gleichbleibend, 36, 0.4387, 52.8
2022-09-07, , gleichbleibend, 36, , 52.8
2022-09-14, -13.9, gleichbleibend, 36, -0.6261, 38.9
2022-09-21, -11.1, gleichbleibend, 36, -0.5, 27.8
2022-09-28, , gleichbleibend, 36, , 27.8
2022-10-05, , gleichbleibend, 36, , 27.8
2022-10-12, 25.3, gleichbleibend, 49, 1, 53.1
2022-10-19, -9.1, gleichbleibend, 50, -0.4099, 44
2022-10-26, 1.1, gleichbleibend, 51, 0.0435, 45.1
2022-11-02, -4.7, gleichbleibend, 52, -0.2117, 40.4
2022-11-09, -7.7, gleichbleibend, 52, -0.3468, 32.7
2022-11-16, 18.2, gleichbleibend, 53, 0.7194, 50.9
2022-11-23, 1, gleichbleibend, 54, 0.0395, 51.9
2022-11-30, , gleichbleibend, 54, , 51.9
2022-12-07, -11.9, gleichbleibend, 55, -0.536, 40
2022-12-14, -7.9, gleichbleibend, 56, -0.3559, 32.1
2022-12-21, 19.7, gleichbleibend, 56, 0.7787, 51.8
2022-12-28, -6.2, gleichbleibend, 57, -0.2793, 45.6
2023-01-04, -12.3, gleichbleibend, 57, -0.5541, 33.3
2023-01-11, 1.8, gleichbleibend, 57, 0.0711, 35.1
2023-01-18, 18.6, gleichbleibend, 54, 0.7352, 53.7
2023-01-25, 2.1, gleichbleibend, 52, 0.083, 55.8
2023-02-01, -20.5, gleichbleibend, 51, -0.9234, 35.3
2023-02-08, -9.7, gleichbleibend, 39, -0.4369, 25.6
