Meldedatum, difference, group, quantity, trend, value
2022-06-08, , steigend, 29, , 69
2022-06-15, -0.4, steigend, 35, -0.0147, 68.6
2022-06-22, -8.6, steigend, 35, -0.3162, 60
2022-06-29, -5.7, steigend, 35, -0.2096, 54.3
2022-07-06, -17.2, steigend, 35, -0.6324, 37.1
2022-07-13, -5.7, steigend, 35, -0.2096, 31.4
2022-07-20, -6.4, steigend, 36, -0.2353, 25
2022-07-27, -19.4, steigend, 36, -0.7132, 5.6
2022-08-03, -5.6, steigend, 36, -0.2059, 
2022-08-10, , steigend, 36, , 
2022-08-17, 8.3, steigend, 36, 0.2721, 8.3
2022-08-24, 5.6, steigend, 36, 0.1836, 13.9
2022-08-31, 11.1, steigend, 36, 0.3639, 25
2022-09-07, 11.1, steigend, 36, 0.3639, 36.1
2022-09-14, 5.6, steigend, 36, 0.1836, 41.7
2022-09-21, 30.5, steigend, 36, 1, 72.2
2022-09-28, , steigend, 36, , 72.2
2022-10-05, -8.3, steigend, 36, -0.3051, 63.9
2022-10-12, -27.2, steigend, 49, -1, 36.7
2022-10-19, -8.7, steigend, 50, -0.3199, 28
2022-10-26, -20.2, steigend, 51, -0.7426, 7.8
2022-11-02, -0.1, steigend, 52, -0.0037, 7.7
2022-11-09, 9.6, steigend, 52, 0.3148, 17.3
2022-11-16, -0.3, steigend, 53, -0.011, 17
2022-11-23, 5.2, steigend, 54, 0.1705, 22.2
2022-11-30, 16.7, steigend, 54, 0.5475, 38.9
2022-12-07, 15.6, steigend, 55, 0.5115, 54.5
2022-12-14, 8, steigend, 56, 0.2623, 62.5
2022-12-21, -21.4, steigend, 56, -0.7868, 41.1
2022-12-28, -21.8, steigend, 57, -0.8015, 19.3
2023-01-04, -14, steigend, 57, -0.5147, 5.3
2023-01-11, , steigend, 57, , 5.3
2023-01-18, 9.5, steigend, 54, 0.3115, 14.8
2023-01-25, 16, steigend, 52, 0.5246, 30.8
2023-02-01, 20.2, steigend, 51, 0.6623, 51
2023-02-08, 8, steigend, 39, 0.2623, 59
