Meldedatum, difference, group, quantity, trend, value
2022-06-08, , trend, 15, , 66.7
2022-06-15, 1.7, trend, 19, 0.068, 68.4
2022-06-22, 6.6, trend, 20, 0.264, 75
2022-06-29, -5, trend, 20, -0.1538, 70
2022-07-06, -25, trend, 20, -0.7692, 45
2022-07-13, 5, trend, 20, 0.2, 50
2022-07-20, -20, trend, 20, -0.6154, 30
2022-07-27, -20, trend, 20, -0.6154, 10
2022-08-03, -5, trend, 20, -0.1538, 5
2022-08-10, -5, trend, 20, -0.1538, 
2022-08-17, 5, trend, 20, 0.2, 5
2022-08-24, 10, trend, 20, 0.4, 15
2022-08-31, 5, trend, 20, 0.2, 20
2022-09-07, 25, trend, 20, 1, 45
2022-09-14, 15, trend, 20, 0.6, 60
2022-09-21, 25, trend, 20, 1, 85
2022-09-28, -5, trend, 20, -0.1538, 80
2022-10-05, -10, trend, 20, -0.3077, 70
2022-10-12, -15.5, trend, 33, -0.4769, 54.5
2022-10-19, -19.2, trend, 34, -0.5908, 35.3
2022-10-26, -26.7, trend, 35, -0.8215, 8.6
2022-11-02, -0.3, trend, 36, -0.0092, 8.3
2022-11-09, 2.8, trend, 36, 0.112, 11.1
2022-11-16, -0.3, trend, 37, -0.0092, 10.8
2022-11-23, 7.6, trend, 38, 0.304, 18.4
2022-11-30, 15.8, trend, 38, 0.632, 34.2
2022-12-07, 24.8, trend, 39, 0.992, 59
2022-12-14, 8.5, trend, 40, 0.34, 67.5
2022-12-21, -32.5, trend, 40, -1, 35
2022-12-28, -17.9, trend, 41, -0.5508, 17.1
2023-01-04, -7.3, trend, 41, -0.2246, 9.8
2023-01-11, -2.5, trend, 41, -0.0769, 7.3
2023-01-18, 9.8, trend, 41, 0.392, 17.1
2023-01-25, 24.4, trend, 41, 0.976, 41.5
2023-02-01, 12.2, trend, 41, 0.488, 53.7
2023-02-08, 9.7, trend, 41, 0.388, 63.4
2023-02-15, -2.4, trend, 41, -0.0738, 61
2023-02-22, -19.5, trend, 41, -0.6, 41.5
2023-03-01, -19.5, trend, 41, -0.6, 22
2023-03-08, 7.3, trend, 41, 0.292, 29.3
2023-03-15, -17.1, trend, 41, -0.5262, 12.2
2023-03-22, -7.3, trend, 41, -0.2246, 4.9
2023-03-29, -2.6, trend, 43, -0.08, 2.3
2023-04-05, 4.7, trend, 43, 0.188, 7
2023-04-12, 4.6, trend, 43, 0.184, 11.6
2023-04-19, 5.9, trend, 40, 0.236, 17.5
2023-04-26, 16.7, trend, 38, 0.668, 34.2
2023-05-03, -0.9, trend, 30, -0.0277, 33.3
