Meldedatum, difference, group, quantity, trend, value
2022-06-08, , gleichbleibend, 15, , 20
2022-06-15, 6.3, gleichbleibend, 19, 0.2291, 26.3
2022-06-22, -6.3, gleichbleibend, 20, -0.1575, 20
2022-06-29, , gleichbleibend, 20, , 20
2022-07-06, 25, gleichbleibend, 20, 0.9091, 45
2022-07-13, -5, gleichbleibend, 20, -0.125, 40
2022-07-20, 20, gleichbleibend, 20, 0.7273, 60
2022-07-27, -40, gleichbleibend, 20, -1, 20
2022-08-03, -15, gleichbleibend, 20, -0.375, 5
2022-08-10, 5, gleichbleibend, 20, 0.1818, 10
2022-08-17, 5, gleichbleibend, 20, 0.1818, 15
2022-08-24, 20, gleichbleibend, 20, 0.7273, 35
2022-08-31, 15, gleichbleibend, 20, 0.5455, 50
2022-09-07, -5, gleichbleibend, 20, -0.125, 45
2022-09-14, -15, gleichbleibend, 20, -0.375, 30
2022-09-21, -20, gleichbleibend, 20, -0.5, 10
2022-09-28, 10, gleichbleibend, 20, 0.3636, 20
2022-10-05, , gleichbleibend, 20, , 20
2022-10-12, 10.3, gleichbleibend, 33, 0.3745, 30.3
2022-10-19, -0.9, gleichbleibend, 34, -0.0225, 29.4
2022-10-26, 22, gleichbleibend, 35, 0.8, 51.4
2022-11-02, -7, gleichbleibend, 36, -0.175, 44.4
2022-11-09, -2.7, gleichbleibend, 36, -0.0675, 41.7
2022-11-16, -1.2, gleichbleibend, 37, -0.03, 40.5
2022-11-23, 14.8, gleichbleibend, 38, 0.5382, 55.3
2022-11-30, , gleichbleibend, 38, , 55.3
2022-12-07, -16.8, gleichbleibend, 39, -0.42, 38.5
2022-12-14, -6, gleichbleibend, 40, -0.15, 32.5
2022-12-21, 27.5, gleichbleibend, 40, 1, 60
2022-12-28, -6.3, gleichbleibend, 41, -0.1575, 53.7
2023-01-04, -19.6, gleichbleibend, 41, -0.49, 34.1
2023-01-11, 4.9, gleichbleibend, 41, 0.1782, 39
2023-01-18, 14.7, gleichbleibend, 41, 0.5345, 53.7
2023-01-25, , gleichbleibend, 41, , 53.7
2023-02-01, -14.7, gleichbleibend, 41, -0.3675, 39
2023-02-08, -9.7, gleichbleibend, 41, -0.2425, 29.3
2023-02-15, , gleichbleibend, 41, , 29.3
2023-02-22, 17, gleichbleibend, 41, 0.6182, 46.3
2023-03-01, 17.1, gleichbleibend, 41, 0.6218, 63.4
2023-03-08, -7.3, gleichbleibend, 41, -0.1825, 56.1
2023-03-15, -7.3, gleichbleibend, 41, -0.1825, 48.8
2023-03-22, -14.7, gleichbleibend, 41, -0.3675, 34.1
2023-03-29, -1.5, gleichbleibend, 43, -0.0375, 32.6
2023-04-05, 11.6, gleichbleibend, 43, 0.4218, 44.2
2023-04-12, 13.9, gleichbleibend, 43, 0.5055, 58.1
2023-04-19, -3.1, gleichbleibend, 40, -0.0775, 55
2023-04-26, -15.5, gleichbleibend, 38, -0.3875, 39.5
2023-05-03, 3.8, gleichbleibend, 30, 0.1382, 43.3
