Altersgruppe, Meldedatum, value
15-34, 2020-03-02, 0.3
15-34, 2020-03-03, 0.4
15-34, 2020-03-04, 0.5
15-34, 2020-03-05, 0.8
15-34, 2020-03-06, 1.1
15-34, 2020-03-07, 1.2
15-34, 2020-03-08, 1.3
15-34, 2020-03-09, 1.4
15-34, 2020-03-10, 1.8
15-34, 2020-03-11, 2.4
15-34, 2020-03-12, 3.2
15-34, 2020-03-13, 4
15-34, 2020-03-14, 5.6
15-34, 2020-03-15, 7.3
15-34, 2020-03-16, 8.5
15-34, 2020-03-17, 10.8
15-34, 2020-03-18, 14.3
15-34, 2020-03-19, 18.5
15-34, 2020-03-20, 23.2
15-34, 2020-03-21, 27.3
15-34, 2020-03-22, 30.3
15-34, 2020-03-23, 32.1
15-34, 2020-03-24, 34.5
15-34, 2020-03-25, 36.8
15-34, 2020-03-26, 39.1
15-34, 2020-03-27, 41.2
15-34, 2020-03-28, 43.1
15-34, 2020-03-29, 44.4
15-34, 2020-03-30, 45.4
15-34, 2020-03-31, 45.4
15-34, 2020-04-01, 46
15-34, 2020-04-02, 46.2
15-34, 2020-04-03, 46.2
15-34, 2020-04-04, 45.9
15-34, 2020-04-05, 44.7
15-34, 2020-04-06, 43.7
15-34, 2020-04-07, 43.1
15-34, 2020-04-08, 42
15-34, 2020-04-09, 40.7
15-34, 2020-04-10, 38.9
15-34, 2020-04-11, 35.6
15-34, 2020-04-12, 34.2
15-34, 2020-04-13, 33.3
15-34, 2020-04-14, 30.7
15-34, 2020-04-15, 27.5
15-34, 2020-04-16, 25.3
15-34, 2020-04-17, 23.8
15-34, 2020-04-18, 24.1
15-34, 2020-04-19, 23.3
15-34, 2020-04-20, 22.8
15-34, 2020-04-21, 23.1
15-34, 2020-04-22, 23
15-34, 2020-04-23, 22.6
15-34, 2020-04-24, 20.6
15-34, 2020-04-25, 19.2
15-34, 2020-04-26, 18
15-34, 2020-04-27, 17.3
15-34, 2020-04-28, 16.9
15-34, 2020-04-29, 16.1
15-34, 2020-04-30, 14.6
15-34, 2020-05-01, 13.9
15-34, 2020-05-02, 12.2
15-34, 2020-05-03, 11.4
15-34, 2020-05-04, 11.2
15-34, 2020-05-05, 10.6
15-34, 2020-05-06, 10.1
15-34, 2020-05-07, 9.7
15-34, 2020-05-08, 9.4
15-34, 2020-05-09, 9.6
15-34, 2020-05-10, 9.7
15-34, 2020-05-11, 9.5
15-34, 2020-05-12, 9.4
15-34, 2020-05-13, 9
15-34, 2020-05-14, 8.6
15-34, 2020-05-15, 7.8
15-34, 2020-05-16, 7.5
15-34, 2020-05-17, 7.3
15-34, 2020-05-18, 7.4
15-34, 2020-05-19, 7.2
15-34, 2020-05-20, 7.1
15-34, 2020-05-21, 7.1
15-34, 2020-05-22, 6.8
15-34, 2020-05-23, 6.5
15-34, 2020-05-24, 6.2
15-34, 2020-05-25, 6
15-34, 2020-05-26, 5.6
15-34, 2020-05-27, 5.5
15-34, 2020-05-28, 5.3
15-34, 2020-05-29, 5.5
15-34, 2020-05-30, 5.3
15-34, 2020-05-31, 5.5
15-34, 2020-06-01, 5.5
15-34, 2020-06-02, 5.1
15-34, 2020-06-03, 4.7
15-34, 2020-06-04, 4.5
15-34, 2020-06-05, 4.6
15-34, 2020-06-06, 4.7
15-34, 2020-06-07, 4.4
15-34, 2020-06-08, 4.3
15-34, 2020-06-09, 4.6
15-34, 2020-06-10, 4.9
15-34, 2020-06-11, 4.9
15-34, 2020-06-12, 4.4
15-34, 2020-06-13, 4.2
15-34, 2020-06-14, 4.3
15-34, 2020-06-15, 4.4
15-34, 2020-06-16, 4.3
15-34, 2020-06-17, 4.4
15-34, 2020-06-18, 4.9
15-34, 2020-06-19, 5.9
15-34, 2020-06-20, 7.1
15-34, 2020-06-21, 7.7
15-34, 2020-06-22, 7.7
15-34, 2020-06-23, 8
15-34, 2020-06-24, 7.9
15-34, 2020-06-25, 7.4
15-34, 2020-06-26, 7
15-34, 2020-06-27, 6.2
15-34, 2020-06-28, 5.7
15-34, 2020-06-29, 5.7
15-34, 2020-06-30, 5.7
15-34, 2020-07-01, 5.7
15-34, 2020-07-02, 5.7
15-34, 2020-07-03, 5.7
15-34, 2020-07-04, 5.4
15-34, 2020-07-05, 5.3
15-34, 2020-07-06, 5.1
15-34, 2020-07-07, 4.9
15-34, 2020-07-08, 4.7
15-34, 2020-07-09, 4.6
15-34, 2020-07-10, 4.5
15-34, 2020-07-11, 4.6
15-34, 2020-07-12, 4.6
15-34, 2020-07-13, 4.6
15-34, 2020-07-14, 4.7
15-34, 2020-07-15, 4.9
15-34, 2020-07-16, 5.2
15-34, 2020-07-17, 5.5
15-34, 2020-07-18, 5.6
15-34, 2020-07-19, 5.9
15-34, 2020-07-20, 5.9
15-34, 2020-07-21, 6.3
15-34, 2020-07-22, 6.3
15-34, 2020-07-23, 6.5
15-34, 2020-07-24, 6.7
15-34, 2020-07-25, 7.3
15-34, 2020-07-26, 7.4
15-34, 2020-07-27, 7.5
15-34, 2020-07-28, 7.6
15-34, 2020-07-29, 8
15-34, 2020-07-30, 8.6
15-34, 2020-07-31, 9
15-34, 2020-08-01, 9.3
15-34, 2020-08-02, 9.5
15-34, 2020-08-03, 9.7
15-34, 2020-08-04, 10.3
15-34, 2020-08-05, 10.8
15-34, 2020-08-06, 11.4
15-34, 2020-08-07, 12.1
15-34, 2020-08-08, 12.3
15-34, 2020-08-09, 12.7
15-34, 2020-08-10, 12.9
15-34, 2020-08-11, 13.7
15-34, 2020-08-12, 14.5
15-34, 2020-08-13, 15.4
15-34, 2020-08-14, 16.7
15-34, 2020-08-15, 17.9
15-34, 2020-08-16, 18
15-34, 2020-08-17, 18.3
15-34, 2020-08-18, 19.8
15-34, 2020-08-19, 21
15-34, 2020-08-20, 22.1
15-34, 2020-08-21, 22.7
15-34, 2020-08-22, 23.4
15-34, 2020-08-23, 24
15-34, 2020-08-24, 24.3
15-34, 2020-08-25, 24
15-34, 2020-08-26, 23.9
15-34, 2020-08-27, 23.4
15-34, 2020-08-28, 23.2
15-34, 2020-08-29, 22.8
15-34, 2020-08-30, 22.6
15-34, 2020-08-31, 22.6
15-34, 2020-09-01, 22.2
15-34, 2020-09-02, 22
15-34, 2020-09-03, 21.5
15-34, 2020-09-04, 21.5
15-34, 2020-09-05, 21.5
15-34, 2020-09-06, 21.9
15-34, 2020-09-07, 21.9
15-34, 2020-09-08, 22.1
15-34, 2020-09-09, 21.7
15-34, 2020-09-10, 21.9
15-34, 2020-09-11, 21.8
15-34, 2020-09-12, 21.9
15-34, 2020-09-13, 22.2
15-34, 2020-09-14, 22.8
15-34, 2020-09-15, 22.7
15-34, 2020-09-16, 24.3
15-34, 2020-09-17, 25.2
15-34, 2020-09-18, 26.7
15-34, 2020-09-19, 28
15-34, 2020-09-20, 28.3
15-34, 2020-09-21, 27.9
15-34, 2020-09-22, 28.4
