Meldedatum, difference, group, quantity, trend, value
2022-06-08, , gleichbleibend, 26, , 23.1
2022-06-15, 2.7, gleichbleibend, 31, 0.1429, 25.8
2022-06-22, -0.8, gleichbleibend, 32, -0.0233, 25
2022-06-29, 9.4, gleichbleibend, 32, 0.4974, 34.4
2022-07-06, 15.6, gleichbleibend, 32, 0.8254, 50
2022-07-13, -3.1, gleichbleibend, 32, -0.0901, 46.9
2022-07-20, 18.7, gleichbleibend, 32, 0.9894, 65.6
2022-07-27, -31.2, gleichbleibend, 32, -0.907, 34.4
2022-08-03, -18.8, gleichbleibend, 32, -0.5465, 15.6
2022-08-10, , gleichbleibend, 32, , 15.6
2022-08-17, 6.3, gleichbleibend, 32, 0.3333, 21.9
2022-08-24, 15.6, gleichbleibend, 32, 0.8254, 37.5
2022-08-31, 15.6, gleichbleibend, 32, 0.8254, 53.1
2022-09-07, 12.5, gleichbleibend, 32, 0.6614, 65.6
2022-09-14, -34.4, gleichbleibend, 32, -1, 31.2
2022-09-21, -12.4, gleichbleibend, 32, -0.3605, 18.8
2022-09-28, 9.3, gleichbleibend, 32, 0.4921, 28.1
2022-10-05, 6.3, gleichbleibend, 32, 0.3333, 34.4
2022-10-12, 18.9, gleichbleibend, 45, 1, 53.3
2022-10-19, -16.3, gleichbleibend, 46, -0.4738, 37
2022-10-26, 5.6, gleichbleibend, 47, 0.2963, 42.6
2022-11-02, 1.2, gleichbleibend, 48, 0.0635, 43.8
2022-11-09, -12.6, gleichbleibend, 48, -0.3663, 31.2
2022-11-16, 13.7, gleichbleibend, 49, 0.7249, 44.9
2022-11-23, 15.1, gleichbleibend, 50, 0.7989, 60
2022-11-30, , gleichbleibend, 50, , 60
2022-12-07, -24.7, gleichbleibend, 51, -0.718, 35.3
2022-12-14, 1.2, gleichbleibend, 52, 0.0635, 36.5
2022-12-21, 15.4, gleichbleibend, 52, 0.8148, 51.9
2022-12-28, 4.7, gleichbleibend, 53, 0.2487, 56.6
2023-01-04, -26.4, gleichbleibend, 53, -0.7674, 30.2
2023-01-11, 9.4, gleichbleibend, 53, 0.4974, 39.6
2023-01-18, 9.5, gleichbleibend, 53, 0.5026, 49.1
2023-01-25, 1.8, gleichbleibend, 53, 0.0952, 50.9
2023-02-01, -9.4, gleichbleibend, 53, -0.2733, 41.5
2023-02-08, -15.1, gleichbleibend, 53, -0.439, 26.4
2023-02-15, 0.7, gleichbleibend, 48, 0.037, 27.1
2023-02-22, 12, gleichbleibend, 46, 0.6349, 39.1
2023-03-01, -24.8, gleichbleibend, 14, -0.7209, 14.3
