Meldedatum, difference, group, quantity, trend, value
2022-06-08, , trend, 18, , 72.2
2022-06-15, -2.6, trend, 23, -0.0858, 69.6
2022-06-22, , trend, 23, , 69.6
2022-06-29, -13.1, trend, 23, -0.4323, 56.5
2022-07-06, , trend, 23, , 56.5
2022-07-13, -21.7, trend, 23, -0.7162, 34.8
2022-07-20, -14, trend, 24, -0.462, 20.8
2022-07-27, -16.6, trend, 24, -0.5479, 4.2
2022-08-03, -4.2, trend, 24, -0.1386, 
2022-08-10, , trend, 24, , 
2022-08-17, , trend, 24, , 
2022-08-24, 16.7, trend, 24, 0.5, 16.7
2022-08-31, 4.1, trend, 24, 0.1228, 20.8
2022-09-07, , trend, 24, , 20.8
2022-09-14, 33.4, trend, 24, 1, 54.2
2022-09-21, 25, trend, 24, 0.7485, 79.2
2022-09-28, , trend, 24, , 79.2
2022-10-05, -8.4, trend, 24, -0.2772, 70.8
2022-10-12, -30.3, trend, 37, -1, 40.5
2022-10-19, -11.6, trend, 38, -0.3828, 28.9
2022-10-26, -21.4, trend, 40, -0.7063, 7.5
2022-11-02, 10, trend, 40, 0.2994, 17.5
2022-11-09, -5, trend, 40, -0.165, 12.5
2022-11-16, -5, trend, 40, -0.165, 7.5
2022-11-23, 5, trend, 40, 0.1497, 12.5
2022-11-30, 20, trend, 40, 0.5988, 32.5
2022-12-07, 22.5, trend, 40, 0.6737, 55
2022-12-14, , trend, 40, , 55
2022-12-21, -30, trend, 40, -0.9901, 25
2022-12-28, -14.2, trend, 37, -0.4686, 10.8
2023-01-04, 1.7, trend, 32, 0.0509, 12.5
2023-01-11, -6.9, trend, 18, -0.2277, 5.6
